,Site,Year,Date,Day,Stage,Mean,Stdev,Sterror,Logmean,,
164,East,2011,6/15/2011,6/15/2017,Beetle,0.533333333,0.743223353,0.191899445,0.185636577,,
169,East,2011,6/17/2011,6/17/2017,Beetle,0.266666667,0.59361684,0.153271209,0.102662342,,
174,East,2012,5/8/2012,5/8/2017,Beetle,0,0,0,0,,
179,East,2012,5/11/2012,5/11/2017,Beetle,0,0,0,0,,
184,East,2012,5/14/2012,5/14/2017,Beetle,0,0,0,0,,
189,East,2012,5/16/2012,5/16/2017,Beetle,0,0,0,0,,
194,East,2012,5/18/2012,5/18/2017,Beetle,0,0,0,0,,
199,East,2012,5/21/2012,5/21/2017,Beetle,0,0,0,0,,
204,East,2012,5/23/2012,5/23/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
209,East,2012,5/28/2012,5/28/2017,Beetle,0.333333333,0.6172134,0.159363815,0.124938737,,
214,East,2012,5/31/2012,5/31/2017,Beetle,0.266666667,0.59361684,0.153271209,0.102662342,,
219,East,2012,6/4/2012,6/4/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
224,East,2012,6/7/2012,6/7/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
229,East,2012,6/11/2012,6/11/2017,Beetle,,,,0,,
234,East,2012,6/12/2012,6/12/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
239,East,2016,6/4/2016,6/4/2017,Beetle,0.933333333,1.334523279,0.344572429,0.286306739,,
244,East,2016,6/7/2016,6/7/2017,Beetle,0.8,1.320173149,0.340867241,0.255272505,,
249,East,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
254,East,2017,5/19/2017,5/19/2017,Beetle,0,0,0,0,,
259,East,2017,5/22/2017,5/22/2017,Beetle,0,0,0,0,,
264,East,2017,5/25/2017,5/25/2017,Beetle,0,0,0,0,,
269,East,2017,5/28/2017,5/28/2017,Beetle,0.214285714,0.801783726,0.214285714,0.084320886,,
274,East,2017,6/1/2017,6/1/2017,Beetle,1,1.463850109,0.377964473,0.301029996,,
279,East,2017,6/5/2017,6/5/2017,Beetle,0.8,1.082325539,0.279455252,0.255272505,,
284,East,2017,6/8/2017,6/8/2017,Beetle,0.133333333,0.516397779,0.133333333,0.054357662,,
289,East,2017,6/11/2017,6/11/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
294,East,2017,6/14/2017,6/14/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
131,East,2011,5/24/2011,5/24/2017,Larvae,25.4,12.84968037,3.317773206,1.421603927,,
136,East,2011,5/30/2011,5/30/2017,Larvae,18.4,12.52882391,3.234928423,1.28780173,,
141,East,2011,6/1/2011,6/1/2017,Larvae,11.46666667,8.592909591,2.218679716,1.095750347,,
146,East,2011,6/6/2011,6/6/2017,Larvae,5.466666667,2.972893412,0.767597778,0.810680475,,
151,East,2011,6/8/2011,6/8/2017,Larvae,3.266666667,2.63131327,0.679402165,0.630088715,,
156,East,2011,6/13/2011,6/13/2017,Larvae,0.8,0.941123948,0.242997159,0.255272505,,
161,East,2011,6/15/2011,6/15/2017,Larvae,0.133333333,0.351865775,0.090851353,0.054357662,,
166,East,2011,6/17/2011,6/17/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
171,East,2012,5/8/2012,5/8/2017,Larvae,5.533333333,10.32933871,2.667023786,0.815134817,,
176,East,2012,5/11/2012,5/11/2017,Larvae,6.666666667,10.35558281,2.673799983,0.884606581,,
181,East,2012,5/14/2012,5/14/2017,Larvae,5.6,6.895132859,1.780315649,0.819543936,,
186,East,2012,5/16/2012,5/16/2017,Larvae,5.8,5.954590066,1.537468544,0.832508913,,
191,East,2012,5/18/2012,5/18/2017,Larvae,3.666666667,4.169046939,1.076443291,0.669006781,,
196,East,2012,5/21/2012,5/21/2017,Larvae,3.533333333,3.563037762,0.919972394,0.656417654,,
201,East,2012,5/23/2012,5/23/2017,Larvae,2.933333333,2.051712409,0.529749866,0.594760753,,
206,East,2012,5/28/2012,5/28/2017,Larvae,1.866666667,1.922300209,0.49633578,0.457377197,,
211,East,2012,5/31/2012,5/31/2017,Larvae,1.2,1.207121724,0.311677489,0.342422681,,
216,East,2012,6/4/2012,6/4/2017,Larvae,0.2,0.414039336,0.106904497,0.079181246,,
221,East,2012,6/7/2012,6/7/2017,Larvae,0.2,0.414039336,0.106904497,0.079181246,,
226,East,2012,6/11/2012,6/11/2017,Larvae,,,,0,,
231,East,2012,6/12/2012,6/12/2017,Larvae,0,0,0,0,,
236,East,2016,6/4/2016,6/4/2017,Larvae,0.2,0.414039336,0.106904497,0.079181246,,
241,East,2016,6/7/2016,6/7/2017,Larvae,0,0,0,0,,
246,East,2017,5/17/2017,5/17/2017,Larvae,24.06666667,29.32202163,7.57091343,1.399096586,,
251,East,2017,5/19/2017,5/19/2017,Larvae,21.4,16.85992713,4.353214466,1.350248018,,
256,East,2017,5/22/2017,5/22/2017,Larvae,11.93333333,6.953587632,1.795408606,1.111710471,,
261,East,2017,5/25/2017,5/25/2017,Larvae,10.46666667,5.974549196,1.542621969,1.059437188,,
266,East,2017,5/28/2017,5/28/2017,Larvae,13,9.559530082,2.554891882,1.146128036,,
271,East,2017,6/1/2017,6/1/2017,Larvae,4.666666667,2.716790824,0.701472374,0.753327667,,
276,East,2017,6/5/2017,6/5/2017,Larvae,2.6,2.693908472,0.695564177,0.556302501,,
281,East,2017,6/8/2017,6/8/2017,Larvae,0.2,0.560611911,0.144749373,0.079181246,,
286,East,2017,6/11/2017,6/11/2017,Larvae,0,0,0,0,,
291,East,2017,6/14/2017,6/14/2017,Larvae,0,0,0,0,,
132,East,2011,5/24/2011,5/24/2017,Pupae,0,0,0,0,,
137,East,2011,5/30/2011,5/30/2017,Pupae,0.2,0.414039336,0.106904497,0.079181246,,
142,East,2011,6/1/2011,6/1/2017,Pupae,0.133333333,0.351865775,0.090851353,0.054357662,,
147,East,2011,6/6/2011,6/6/2017,Pupae,0.2,0.414039336,0.106904497,0.079181246,,
152,East,2011,6/8/2011,6/8/2017,Pupae,0.533333333,0.915475416,0.236374736,0.185636577,,
157,East,2011,6/13/2011,6/13/2017,Pupae,2.533333333,2.099886618,0.542188393,0.548184611,,
162,East,2011,6/15/2011,6/15/2017,Pupae,1.533333333,1.245945806,0.321701824,0.403692338,,
167,East,2011,6/17/2011,6/17/2017,Pupae,0.466666667,0.639940473,0.16523192,0.166331422,,
172,East,2012,5/8/2012,5/8/2017,Pupae,0,0,0,0,,
177,East,2012,5/11/2012,5/11/2017,Pupae,0,0,0,0,,
182,East,2012,5/14/2012,5/14/2017,Pupae,0,0,0,0,,
187,East,2012,5/16/2012,5/16/2017,Pupae,0,0,0,0,,
192,East,2012,5/18/2012,5/18/2017,Pupae,0,0,0,0,,
197,East,2012,5/21/2012,5/21/2017,Pupae,0,0,0,0,,
202,East,2012,5/23/2012,5/23/2017,Pupae,0,0,0,0,,
207,East,2012,5/28/2012,5/28/2017,Pupae,0.266666667,0.59361684,0.153271209,0.102662342,,
212,East,2012,5/31/2012,5/31/2017,Pupae,0.866666667,1.407463101,0.36340541,0.271066772,,
217,East,2012,6/4/2012,6/4/2017,Pupae,1.333333333,1.588650221,0.410187723,0.367976785,,
222,East,2012,6/7/2012,6/7/2017,Pupae,0.6,1.352246808,0.349148624,0.204119983,,
227,East,2012,6/11/2012,6/11/2017,Pupae,,,,0,,
232,East,2012,6/12/2012,6/12/2017,Pupae,0,0,0,0,,
237,East,2016,6/4/2016,6/4/2017,Pupae,2.066666667,1.830950833,0.472749472,0.486666573,,
242,East,2016,6/7/2016,6/7/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
247,East,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
252,East,2017,5/19/2017,5/19/2017,Pupae,0,0,0,0,,
257,East,2017,5/22/2017,5/22/2017,Pupae,0,0,0,0,,
262,East,2017,5/25/2017,5/25/2017,Pupae,0,0,0,0,,
267,East,2017,5/28/2017,5/28/2017,Pupae,0,0,0,0,,
272,East,2017,6/1/2017,6/1/2017,Pupae,0.6,0.828078671,0.213808994,0.204119983,,
277,East,2017,6/5/2017,6/5/2017,Pupae,2.333333333,3.33095153,0.860047987,0.522878745,,
282,East,2017,6/8/2017,6/8/2017,Pupae,5.266666667,3.844600419,0.99267156,0.797036595,,
287,East,2017,6/11/2017,6/11/2017,Pupae,3.4,2.772312083,0.715807902,0.643452676,,
292,East,2017,6/14/2017,6/14/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
133,East,2011,5/24/2011,5/24/2017,Totallarvpup,25.4,12.84968037,3.317773206,1.421603927,,
138,East,2011,5/30/2011,5/30/2017,Totallarvpup,18.6,12.39124115,3.199404707,1.292256071,,
143,East,2011,6/1/2011,6/1/2017,Totallarvpup,11.6,8.72435016,2.252617525,1.100370545,,
148,East,2011,6/6/2011,6/6/2017,Totallarvpup,5.666666667,2.992052966,0.772544754,0.823908741,,
153,East,2011,6/8/2011,6/8/2017,Totallarvpup,3.8,2.704493615,0.698297249,0.681241237,,
158,East,2011,6/13/2011,6/13/2017,Totallarvpup,3.333333333,2.350278606,0.606839327,0.636822098,,
163,East,2011,6/15/2011,6/15/2017,Totallarvpup,1.666666667,1.2344268,0.318727629,0.425968732,,
168,East,2011,6/17/2011,6/17/2017,Totallarvpup,0.533333333,0.743223353,0.191899445,0.185636577,,
173,East,2012,5/8/2012,5/8/2017,Totallarvpup,5.533333333,10.32933871,2.667023786,0.815134817,,
178,East,2012,5/11/2012,5/11/2017,Totallarvpup,6.666666667,10.35558281,2.673799983,0.884606581,,
183,East,2012,5/14/2012,5/14/2017,Totallarvpup,5.6,6.895132859,1.780315649,0.819543936,,
188,East,2012,5/16/2012,5/16/2017,Totallarvpup,5.8,5.954590066,1.537468544,0.832508913,,
193,East,2012,5/18/2012,5/18/2017,Totallarvpup,3.666666667,4.169046939,1.076443291,0.669006781,,
198,East,2012,5/21/2012,5/21/2017,Totallarvpup,3.533333333,3.563037762,0.919972394,0.656417654,,
203,East,2012,5/23/2012,5/23/2017,Totallarvpup,2.933333333,2.051712409,0.529749866,0.594760753,,
208,East,2012,5/28/2012,5/28/2017,Totallarvpup,2.133333333,2.030716505,0.524328747,0.496006599,,
213,East,2012,5/31/2012,5/31/2017,Totallarvpup,2.066666667,2.218965868,0.572934524,0.486666573,,
218,East,2012,6/4/2012,6/4/2017,Totallarvpup,1.533333333,1.505545305,0.388730126,0.403692338,,
223,East,2012,6/7/2012,6/7/2017,Totallarvpup,0.8,1.656157342,0.427617987,0.255272505,,
228,East,2012,6/11/2012,6/11/2017,Totallarvpup,,,,0,,
233,East,2012,6/12/2012,6/12/2017,Totallarvpup,0,0,0,0,,
238,East,2016,6/4/2016,6/4/2017,Totallarvpup,2.266666667,2.051712409,0.529749866,0.514104821,,
243,East,2016,6/7/2016,6/7/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
248,East,2017,5/17/2017,5/17/2017,Totallarvpup,24.06666667,29.32202163,7.57091343,1.399096586,,
253,East,2017,5/19/2017,5/19/2017,Totallarvpup,21.4,16.85992713,4.353214466,1.350248018,,
258,East,2017,5/22/2017,5/22/2017,Totallarvpup,11.93333333,6.953587632,1.795408606,1.111710471,,
263,East,2017,5/25/2017,5/25/2017,Totallarvpup,10.46666667,5.974549196,1.542621969,1.059437188,,
268,East,2017,5/28/2017,5/28/2017,Totallarvpup,13,9.559530082,2.554891882,1.146128036,,
273,East,2017,6/1/2017,6/1/2017,Totallarvpup,5.266666667,2.939063667,0.758862976,0.797036595,,
278,East,2017,6/5/2017,6/5/2017,Totallarvpup,4.933333333,5.391351098,1.392040868,0.773298748,,
283,East,2017,6/8/2017,6/8/2017,Totallarvpup,5.466666667,3.852024823,0.994588533,0.810680475,,
288,East,2017,6/11/2017,6/11/2017,Totallarvpup,3.4,2.772312083,0.715807902,0.643452676,,
293,East,2017,6/14/2017,6/14/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
300,Ice,2011,5/24/2011,5/24/2017,Adultcumulative,,,,0,,
305,Ice,2011,5/30/2011,5/30/2017,Adultcumulative,,,,0,,
310,Ice,2011,6/1/2011,6/1/2017,Adultcumulative,,,,0,,
315,Ice,2011,6/6/2011,6/6/2017,Adultcumulative,,,,0,,
320,Ice,2011,6/8/2011,6/8/2017,Adultcumulative,,,,0,,
325,Ice,2011,6/10/2011,6/10/2017,Adultcumulative,,,,0,,
330,Ice,2011,6/13/2011,6/13/2017,Adultcumulative,,,,0,,
335,Ice,2011,6/15/2011,6/15/2017,Adultcumulative,,,,0,,
340,Ice,2011,6/17/2011,6/17/2017,Adultcumulative,,,,0,,
345,Ice,2012,5/8/2012,5/8/2017,Adultcumulative,0,,,0,,
350,Ice,2012,5/14/2012,5/14/2017,Adultcumulative,0,,,0,,
355,Ice,2012,5/21/2012,5/21/2017,Adultcumulative,0,,,0,,
360,Ice,2012,5/28/2012,5/28/2017,Adultcumulative,0,,,0,,
365,Ice,2012,5/31/2012,5/31/2017,Adultcumulative,0,,,0,,
