Pond,Date,SS,Numbertraps,male,female,Total,Traparea,Perimeter,Length_1.5,Littoral_area
Ice,6/24/2018,N,4,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/24/2018,S,4,0,1,1,0.2827404,127.5,1.5,191.25
Ice,6/24/2018,SE,4,0,5,5,0.2827404,127.5,1.5,191.25
Ice,6/24/2018,WSW,4,0,4,4,0.2827404,127.5,1.5,191.25
NoOil,6/4/2018,NE,3,0,0,0,0.2827404,46,1.5,69
NoOil,6/4/2018,NW,3,0,0,0,0.2827404,46,1.5,69
NoOil,6/4/2018,SW,3,0,0,0,0.2827404,46,1.5,69
NoOil,6/9/2018,NE,3,13,0,13,0.2827404,46,1.5,69
NoOil,6/9/2018,NW,3,47,5,52,0.2827404,46,1.5,69
NoOil,6/9/2018,SW,3,18,1,19,0.2827404,46,1.5,69
NoOil,6/12/2018,NW,2,26,80,106,0.2827404,46,1.5,69
NoOil,6/12/2018,SW,2,173,275,448,0.2827404,46,1.5,69
NoOil,6/14/2018,NE,3,10,31,41,0.2827404,46,1.5,69
NoOil,6/14/2018,NW,3,0,6,6,0.2827404,46,1.5,69
NoOil,6/14/2018,SW,3,3,11,14,0.2827404,46,1.5,69
NoOil,6/17/2018,NE,3,2,4,6,0.2827404,46,1.5,69
NoOil,6/17/2018,NW,3,2,0,2,0.2827404,46,1.5,69
NoOil,6/17/2018,SW,3,0,0,0,0.2827404,46,1.5,69
Oil,6/5/2018,Center,3,0,0,0,0.2827404,125,1.5,187.5
Oil,6/5/2018,E,3,0,0,0,0.2827404,125,1.5,187.5
Oil,6/5/2018,W,3,0,0,0,0.2827404,125,1.5,187.5
Oil,6/7/2018,Center,3,17,2,19,0.2827404,125,1.5,187.5
Oil,6/7/2018,E,3,15,1,16,0.2827404,125,1.5,187.5
Oil,6/7/2018,W,3,1,1,2,0.2827404,125,1.5,187.5
Oil,6/9/2018,Center,3,16,7,23,0.2827404,125,1.5,187.5
Oil,6/9/2018,E,3,7,5,12,0.2827404,125,1.5,187.5
Oil,6/9/2018,W,3,3,3,6,0.2827404,125,1.5,187.5
Oil,6/12/2018,Center,3,16,12,28,0.2827404,125,1.5,187.5
Oil,6/12/2018,E,3,4,16,20,0.2827404,125,1.5,187.5
Oil,6/12/2018,W,3,26,38,64,0.2827404,125,1.5,187.5
Oil,6/14/2018,Center,3,2,7,9,0.2827404,125,1.5,187.5
Oil,6/14/2018,E,3,4,8,12,0.2827404,125,1.5,187.5
Oil,6/14/2018,W,3,2,37,39,0.2827404,125,1.5,187.5
Oil,6/16/2018,Center,3,0,1,1,0.2827404,125,1.5,187.5
Oil,6/16/2018,E,3,1,2,3,0.2827404,125,1.5,187.5
Oil,6/16/2018,W,3,0,6,6,0.2827404,125,1.5,187.5
Vulgaris,6/13/2018,N,3,3,1,4,0.2827404,264.8,1.5,397.2
Vulgaris,6/13/2018,NE,3,4,0,4,0.2827404,264.8,1.5,397.2
Vulgaris,6/13/2018,W,3,0,0,0,0.2827404,264.8,1.5,397.2
Vulgaris,6/16/2018,N,3,75,23,98,0.2827404,264.8,1.5,397.2
Vulgaris,6/16/2018,NE,3,44,26,70,0.2827404,264.8,1.5,397.2
Vulgaris,6/16/2018,NW,3,149,52,201,0.2827404,264.8,1.5,397.2
Vulgaris,6/21/2018,N,3,0,0,0,0.2827404,264.8,1.5,397.2
Vulgaris,6/21/2018,NE,3,0,8,8,0.2827404,264.8,1.5,397.2
Vulgaris,6/21/2018,W,3,4,34,38,0.2827404,264.8,1.5,397.2
Vulgarissmall,6/13/2018,E,3,0,0,0,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/13/2018,NE,3,0,0,0,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/13/2018,SW,3,0,0,0,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/17/2018,E,3,1,0,1,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/17/2018,NE,3,1,2,3,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/17/2018,SW,3,2,1,3,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/21/2018,E,2,15,20,35,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/21/2018,SW,2,90,76,166,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/24/2018,SW,2,1,18,19,0.2827404,226.3,1.5,339.45
Vulgarissmall,6/24/2018,E,2,0,0,0,0.2827404,226.3,1.5,339.45
Waterfall,6/11/2018,NE,3,0,0,0,0.2827404,82.4,1.5,123.6
Waterfall,6/15/2018,NW,3,0,0,0,0.2827404,82.4,1.5,123.6
Waterfall,6/15/2018,S,3,0,0,0,0.2827404,82.4,1.5,123.6
Waterfall,6/15/2018,NE,3,0,0,0,0.2827404,82.4,1.5,123.6
Waterfall,6/15/2018,NW,3,49,10,59,0.2827404,82.4,1.5,123.6
Waterfall,6/15/2018,S,3,3,3,6,0.2827404,82.4,1.5,123.6
Waterfall,6/18/2018,NE,3,0,6,6,0.2827404,82.4,1.5,123.6
Waterfall,6/18/2018,NW,3,1,9,10,0.2827404,82.4,1.5,123.6
Waterfall,6/18/2018,S,3,0,14,14,0.2827404,82.4,1.5,123.6
Waterfall,6/27/2018,NE,3,0,0,0,0.2827404,82.4,1.5,123.6
Waterfall,6/27/2018,NW,3,1,4,5,0.2827404,82.4,1.5,123.6
Waterfall,6/27/2018,S,3,0,0,0,0.2827404,82.4,1.5,123.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
