Date,Day,Site,Year,SiteYear,Sample,Larvae,Pupae,Beetle,Adultcumulative
11-May-12,11-May-17,Black,2012,Black2012,10,19,0,0,
11-May-12,11-May-17,Black,2012,Black2012,11,57,0,0,
11-May-12,11-May-17,Black,2012,Black2012,12,17,0,0,
11-May-12,11-May-17,Black,2012,Black2012,13,26,0,0,
11-May-12,11-May-17,Black,2012,Black2012,14,11,0,0,
11-May-12,11-May-17,Black,2012,Black2012,15,28,0,0,
14-May-12,14-May-17,Black,2012,Black2012,1,47,0,0,0
14-May-12,14-May-17,Black,2012,Black2012,2,42,0,0,
14-May-12,14-May-17,Black,2012,Black2012,3,62,0,0,
14-May-12,14-May-17,Black,2012,Black2012,4,46,0,0,
14-May-12,14-May-17,Black,2012,Black2012,5,45,0,0,
14-May-12,14-May-17,Black,2012,Black2012,6,36,0,0,
14-May-12,14-May-17,Black,2012,Black2012,7,34,0,0,
14-May-12,14-May-17,Black,2012,Black2012,8,21,0,0,
14-May-12,14-May-17,Black,2012,Black2012,9,26,0,0,
14-May-12,14-May-17,Black,2012,Black2012,10,38,0,0,
14-May-12,14-May-17,Black,2012,Black2012,11,18,0,0,
14-May-12,14-May-17,Black,2012,Black2012,12,100,0,0,
14-May-12,14-May-17,Black,2012,Black2012,13,52,0,0,
14-May-12,14-May-17,Black,2012,Black2012,14,50,0,0,
14-May-12,14-May-17,Black,2012,Black2012,15,55,0,0,
16-May-12,16-May-17,Black,2012,Black2012,1,7,0,0,0
16-May-12,16-May-17,Black,2012,Black2012,2,12,0,0,
16-May-12,16-May-17,Black,2012,Black2012,3,12,0,0,
16-May-12,16-May-17,Black,2012,Black2012,4,21,0,0,
16-May-12,16-May-17,Black,2012,Black2012,5,35,0,0,
16-May-12,16-May-17,Black,2012,Black2012,6,18,0,0,
16-May-12,16-May-17,Black,2012,Black2012,7,10,0,0,
16-May-12,16-May-17,Black,2012,Black2012,8,30,0,0,
16-May-12,16-May-17,Black,2012,Black2012,9,14,0,0,
16-May-12,16-May-17,Black,2012,Black2012,10,17,0,0,
16-May-12,16-May-17,Black,2012,Black2012,11,53,0,0,
16-May-12,16-May-17,Black,2012,Black2012,12,30,0,0,
16-May-12,16-May-17,Black,2012,Black2012,13,36,0,0,
16-May-12,16-May-17,Black,2012,Black2012,14,41,0,0,
16-May-12,16-May-17,Black,2012,Black2012,15,24,0,0,
18-May-12,18-May-17,Black,2012,Black2012,1,17,0,0,0
18-May-12,18-May-17,Black,2012,Black2012,2,18,0,0,
18-May-12,18-May-17,Black,2012,Black2012,3,10,0,0,
18-May-12,18-May-17,Black,2012,Black2012,4,14,0,0,
18-May-12,18-May-17,Black,2012,Black2012,5,16,0,0,
18-May-12,18-May-17,Black,2012,Black2012,6,25,0,0,
18-May-12,18-May-17,Black,2012,Black2012,7,10,0,0,
18-May-12,18-May-17,Black,2012,Black2012,8,9,0,0,
18-May-12,18-May-17,Black,2012,Black2012,9,6,0,0,
18-May-12,18-May-17,Black,2012,Black2012,10,6,0,0,
18-May-12,18-May-17,Black,2012,Black2012,11,23,0,0,
18-May-12,18-May-17,Black,2012,Black2012,12,9,0,0,
18-May-12,18-May-17,Black,2012,Black2012,13,8,0,0,
18-May-12,18-May-17,Black,2012,Black2012,14,20,0,0,
18-May-12,18-May-17,Black,2012,Black2012,15,21,0,0,
21-May-12,21-May-17,Black,2012,Black2012,1,26,0,0,0
21-May-12,21-May-17,Black,2012,Black2012,2,4,0,0,
21-May-12,21-May-17,Black,2012,Black2012,3,17,1,1,
21-May-12,21-May-17,Black,2012,Black2012,4,13,1,0,
21-May-12,21-May-17,Black,2012,Black2012,5,29,0,0,
21-May-12,21-May-17,Black,2012,Black2012,6,8,0,0,
21-May-12,21-May-17,Black,2012,Black2012,7,13,0,0,
21-May-12,21-May-17,Black,2012,Black2012,8,15,0,0,
21-May-12,21-May-17,Black,2012,Black2012,9,4,0,0,
21-May-12,21-May-17,Black,2012,Black2012,10,8,0,0,
21-May-12,21-May-17,Black,2012,Black2012,11,9,0,0,
21-May-12,21-May-17,Black,2012,Black2012,12,36,0,1,
21-May-12,21-May-17,Black,2012,Black2012,13,6,0,0,
21-May-12,21-May-17,Black,2012,Black2012,14,15,0,0,
21-May-12,21-May-17,Black,2012,Black2012,15,16,0,0,
23-May-12,23-May-17,Black,2012,Black2012,1,4,2,2,0
23-May-12,23-May-17,Black,2012,Black2012,2,10,0,0,
23-May-12,23-May-17,Black,2012,Black2012,3,6,2,0,
23-May-12,23-May-17,Black,2012,Black2012,4,4,0,0,
23-May-12,23-May-17,Black,2012,Black2012,5,3,5,1,
23-May-12,23-May-17,Black,2012,Black2012,6,5,13,0,
23-May-12,23-May-17,Black,2012,Black2012,7,5,1,0,
23-May-12,23-May-17,Black,2012,Black2012,8,4,0,0,
23-May-12,23-May-17,Black,2012,Black2012,9,3,4,0,
23-May-12,23-May-17,Black,2012,Black2012,10,1,0,1,
23-May-12,23-May-17,Black,2012,Black2012,11,2,0,0,
23-May-12,23-May-17,Black,2012,Black2012,12,7,2,0,
23-May-12,23-May-17,Black,2012,Black2012,13,5,2,1,
23-May-12,23-May-17,Black,2012,Black2012,14,14,9,0,
23-May-12,23-May-17,Black,2012,Black2012,15,3,2,0,
28-May-12,28-May-17,Black,2012,Black2012,1,0,11,0,0
28-May-12,28-May-17,Black,2012,Black2012,2,0,2,3,
28-May-12,28-May-17,Black,2012,Black2012,3,0,0,0,
28-May-12,28-May-17,Black,2012,Black2012,4,0,6,0,
28-May-12,28-May-17,Black,2012,Black2012,5,1,3,1,
28-May-12,28-May-17,Black,2012,Black2012,6,0,5,1,
28-May-12,28-May-17,Black,2012,Black2012,7,1,4,2,
28-May-12,28-May-17,Black,2012,Black2012,8,0,3,0,
28-May-12,28-May-17,Black,2012,Black2012,9,0,2,1,
28-May-12,28-May-17,Black,2012,Black2012,10,0,1,2,
28-May-12,28-May-17,Black,2012,Black2012,11,0,2,1,
28-May-12,28-May-17,Black,2012,Black2012,12,0,6,3,
28-May-12,28-May-17,Black,2012,Black2012,13,0,1,0,
28-May-12,28-May-17,Black,2012,Black2012,14,1,17,1,
28-May-12,28-May-17,Black,2012,Black2012,15,0,12,0,
31-May-12,31-May-17,Black,2012,Black2012,1,0,4,0,2.5
31-May-12,31-May-17,Black,2012,Black2012,2,0,3,0,
31-May-12,31-May-17,Black,2012,Black2012,3,0,0,0,
31-May-12,31-May-17,Black,2012,Black2012,4,0,0,0,
31-May-12,31-May-17,Black,2012,Black2012,5,0,0,0,
31-May-12,31-May-17,Black,2012,Black2012,6,0,4,0,
31-May-12,31-May-17,Black,2012,Black2012,7,0,0,0,
31-May-12,31-May-17,Black,2012,Black2012,8,0,2,1,
31-May-12,31-May-17,Black,2012,Black2012,9,0,1,0,
31-May-12,31-May-17,Black,2012,Black2012,10,0,7,0,
31-May-12,31-May-17,Black,2012,Black2012,11,0,2,0,
31-May-12,31-May-17,Black,2012,Black2012,12,0,8,0,
31-May-12,31-May-17,Black,2012,Black2012,13,0,1,0,
31-May-12,31-May-17,Black,2012,Black2012,14,0,5,0,
31-May-12,31-May-17,Black,2012,Black2012,15,0,10,0,
1-Jun-12,1-Jun-17,Black,2012,Black2012,1,0,0,1,8.5
4-Jun-12,4-Jun-17,Black,2012,Black2012,1,0,0,1,48
4-Jun-12,4-Jun-17,Black,2012,Black2012,2,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,3,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,4,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,5,0,1,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,6,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,7,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,8,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,9,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,10,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,11,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,12,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,13,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,14,0,0,0,
4-Jun-12,4-Jun-17,Black,2012,Black2012,15,0,0,0,
5-Jun-12,5-Jun-17,Black,2012,Black2012,1,,,,50
7-Jun-12,7-Jun-17,Black,2012,Black2012,1,0,0,1,50
7-Jun-12,7-Jun-17,Black,2012,Black2012,2,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,3,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,4,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,5,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,6,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,7,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,8,0,0,1,
7-Jun-12,7-Jun-17,Black,2012,Black2012,9,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,10,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,11,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,12,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,13,0,0,1,
7-Jun-12,7-Jun-17,Black,2012,Black2012,14,0,0,0,
7-Jun-12,7-Jun-17,Black,2012,Black2012,15,0,0,0,
8-Jun-12,8-Jun-17,Black,2012,Black2012,1,,,,50.5
12-Jun-12,12-Jun-17,Black,2012,Black2012,1,0,0,0,50.5
12-Jun-12,12-Jun-17,Black,2012,Black2012,2,0,0,4,
12-Jun-12,12-Jun-17,Black,2012,Black2012,3,0,0,1,
12-Jun-12,12-Jun-17,Black,2012,Black2012,4,0,0,1,
12-Jun-12,12-Jun-17,Black,2012,Black2012,5,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,6,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,7,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,8,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,9,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,10,0,0,1,
12-Jun-12,12-Jun-17,Black,2012,Black2012,11,0,0,1,
12-Jun-12,12-Jun-17,Black,2012,Black2012,12,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,13,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,14,0,0,0,
12-Jun-12,12-Jun-17,Black,2012,Black2012,15,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,1,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,2,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,3,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,4,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,5,1,0,0,
17-May-17,17-May-17,Black,2017,Black2017,6,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,7,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,8,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,9,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,10,6,0,0,
17-May-17,17-May-17,Black,2017,Black2017,11,1,0,0,
17-May-17,17-May-17,Black,2017,Black2017,12,1,0,0,
17-May-17,17-May-17,Black,2017,Black2017,13,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,14,0,0,0,
17-May-17,17-May-17,Black,2017,Black2017,15,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,1,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,2,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,3,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,4,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,5,1,0,0,
22-May-17,22-May-17,Black,2017,Black2017,6,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,7,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,8,0,0,1,
22-May-17,22-May-17,Black,2017,Black2017,9,0,0,0,
22-May-17,22-May-17,Black,2017,Black2017,10,0,0,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,1,1,41,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,2,0,19,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,3,1,27,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,4,7,15,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,5,4,16,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,6,0,5,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,7,3,34,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,8,5,20,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,9,4,48,0,
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,10,2,10,0,
24-May-11,24-May-17,East,2011,East2011,1,47,0,0,
24-May-11,24-May-17,East,2011,East2011,2,26,0,0,
24-May-11,24-May-17,East,2011,East2011,3,24,0,0,
24-May-11,24-May-17,East,2011,East2011,4,31,0,0,
24-May-11,24-May-17,East,2011,East2011,5,26,0,0,
24-May-11,24-May-17,East,2011,East2011,6,28,0,0,
24-May-11,24-May-17,East,2011,East2011,7,12,0,0,
24-May-11,24-May-17,East,2011,East2011,8,19,0,0,
24-May-11,24-May-17,East,2011,East2011,9,12,0,0,
24-May-11,24-May-17,East,2011,East2011,10,35,0,0,
24-May-11,24-May-17,East,2011,East2011,11,24,0,0,
24-May-11,24-May-17,East,2011,East2011,12,4,0,0,
24-May-11,24-May-17,East,2011,East2011,13,24,0,0,
24-May-11,24-May-17,East,2011,East2011,14,16,0,0,
24-May-11,24-May-17,East,2011,East2011,15,53,0,0,
30-May-11,30-May-17,East,2011,East2011,1,39,0,1,
30-May-11,30-May-17,East,2011,East2011,2,4,0,0,
30-May-11,30-May-17,East,2011,East2011,3,5,0,1,
30-May-11,30-May-17,East,2011,East2011,4,42,0,0,
30-May-11,30-May-17,East,2011,East2011,5,25,0,0,
30-May-11,30-May-17,East,2011,East2011,6,26,0,3,
30-May-11,30-May-17,East,2011,East2011,7,34,0,0,
30-May-11,30-May-17,East,2011,East2011,8,13,1,0,
30-May-11,30-May-17,East,2011,East2011,9,16,0,4,
30-May-11,30-May-17,East,2011,East2011,10,18,0,0,
30-May-11,30-May-17,East,2011,East2011,11,3,1,0,
30-May-11,30-May-17,East,2011,East2011,12,5,0,1,
30-May-11,30-May-17,East,2011,East2011,13,15,0,0,
30-May-11,30-May-17,East,2011,East2011,14,17,0,0,
30-May-11,30-May-17,East,2011,East2011,15,14,1,0,
1-Jun-11,1-Jun-17,East,2011,East2011,1,11,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,2,24,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,3,33,1,1,
1-Jun-11,1-Jun-17,East,2011,East2011,4,7,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,5,17,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,6,4,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,7,12,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,8,19,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,9,7,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,10,2,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,11,4,0,0,
1-Jun-11,1-Jun-17,East,2011,East2011,12,5,1,0,
1-Jun-11,1-Jun-17,East,2011,East2011,13,7,0,2,
1-Jun-11,1-Jun-17,East,2011,East2011,14,13,0,1,
1-Jun-11,1-Jun-17,East,2011,East2011,15,7,0,3,
6-Jun-11,6-Jun-17,East,2011,East2011,1,10,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,2,5,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,3,4,0,1,
6-Jun-11,6-Jun-17,East,2011,East2011,4,2,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,5,2,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,6,7,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,7,10,0,1,
6-Jun-11,6-Jun-17,East,2011,East2011,8,7,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,9,1,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,10,7,1,0,
6-Jun-11,6-Jun-17,East,2011,East2011,11,7,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,12,2,1,0,
6-Jun-11,6-Jun-17,East,2011,East2011,13,7,1,0,
6-Jun-11,6-Jun-17,East,2011,East2011,14,8,0,0,
6-Jun-11,6-Jun-17,East,2011,East2011,15,3,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,1,2,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,2,4,1,0,
8-Jun-11,8-Jun-17,East,2011,East2011,3,6,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,4,2,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,5,6,1,1,
8-Jun-11,8-Jun-17,East,2011,East2011,6,2,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,7,5,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,8,3,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,9,1,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,10,1,0,0,
8-Jun-11,8-Jun-17,East,2011,East2011,11,4,0,1,
8-Jun-11,8-Jun-17,East,2011,East2011,12,1,3,0,
8-Jun-11,8-Jun-17,East,2011,East2011,13,0,2,1,
