Site,Year,Day,Sample,Larvae,LogLarvae,Pupae,Total,Beetle
Ice,2011,5/30,3,5,0.77815125,0,5,0
Ice,2011,5/30,4,2,0.477121255,0,2,0
Ice,2011,5/30,5,0,0,0,0,1
Ice,2011,5/30,6,5,0.77815125,0,5,0
Ice,2011,5/30,7,1,0.301029996,0,1,2
Ice,2011,5/30,8,5,0.77815125,0,5,0
Ice,2011,5/30,9,11,1.079181246,0,11,0
Ice,2011,5/30,10,4,0.698970004,0,4,0
Ice,2011,5/30,11,6,0.84509804,0,6,0
Ice,2011,5/30,12,16,1.230448921,0,16,0
Ice,2011,5/30,13,2,0.477121255,0,2,0
Ice,2011,5/30,14,1,0.301029996,0,1,1
Ice,2011,5/30,15,9,1,0,9,0
Ice,2011,6/1,1,13,1.146128036,0,13,0
Ice,2011,6/1,2,0,0,0,0,0
Ice,2011,6/1,3,0,0,0,0,0
Ice,2011,6/1,4,1,0.301029996,0,1,0
Ice,2011,6/1,5,3,0.602059991,0,3,0
Ice,2011,6/1,6,6,0.84509804,0,6,1
Ice,2011,6/1,7,2,0.477121255,0,2,1
Ice,2011,6/1,8,0,0,0,0,0
Ice,2011,6/1,9,0,0,0,0,0
Ice,2011,6/1,10,1,0.301029996,0,1,0
Ice,2011,6/1,11,2,0.477121255,0,2,0
Ice,2011,6/1,12,5,0.77815125,0,5,0
Ice,2011,6/1,13,12,1.113943352,0,12,0
Ice,2011,6/1,14,4,0.698970004,0,4,0
Ice,2011,6/1,15,7,0.903089987,0,7,0
Ice,2011,6/6,1,0,0,0,0,2
Ice,2011,6/6,2,1,0.301029996,0,1,3
Ice,2011,6/6,3,1,0.301029996,0,1,5
Ice,2011,6/6,4,5,0.77815125,0,5,17
Ice,2011,6/6,5,1,0.301029996,0,1,5
Ice,2011,6/6,6,5,0.77815125,0,5,5
Ice,2011,6/6,7,1,0.301029996,0,1,2
Ice,2011,6/6,8,2,0.477121255,0,2,6
Ice,2011,6/6,9,3,0.602059991,0,3,1
Ice,2011,6/6,10,1,0.301029996,0,1,1
Ice,2011,6/6,11,1,0.301029996,0,1,3
Ice,2011,6/6,12,2,0.477121255,0,2,1
Ice,2011,6/6,13,0,0,0,0,0
Ice,2011,6/6,14,1,0.301029996,0,1,1
Ice,2011,6/6,15,5,0.77815125,0,5,6
Ice,2011,6/8,1,0,0,0,0,4
Ice,2011,6/8,2,0,0,0,0,2
Ice,2011,6/8,3,2,0.477121255,0,2,2
Ice,2011,6/8,4,0,0,0,0,0
Ice,2011,6/8,5,0,0,0,0,1
Ice,2011,6/8,6,0,0,0,0,0
Ice,2011,6/8,7,0,0,0,0,4
Ice,2011,6/8,8,0,0,0,0,4
Ice,2011,6/8,9,0,0,0,0,1
Ice,2011,6/8,10,0,0,0,0,1
Ice,2011,6/8,11,3,0.602059991,0,3,4
Ice,2011,6/8,12,0,0,0,0,2
Ice,2011,6/8,13,0,0,0,0,1
Ice,2011,6/8,14,2,0.477121255,0,2,1
Ice,2011,6/8,15,7,0.903089987,0,7,0
Ice,2011,6/10,1,0,0,0,0,0
Ice,2011,6/10,2,0,0,4,4,0
Ice,2011,6/10,3,0,0,0,0,1
Ice,2011,6/10,4,0,0,0,0,2
Ice,2011,6/10,5,2,0.477121255,0,2,1
Ice,2011,6/10,6,1,0.301029996,0,1,1
Ice,2011,6/10,7,0,0,0,0,3
Ice,2011,6/10,8,1,0.301029996,0,1,1
Ice,2011,6/10,9,1,0.301029996,1,2,1
Ice,2011,6/10,10,0,0,0,0,0
Ice,2011,6/10,11,0,0,0,0,2
Ice,2011,6/10,12,0,0,0,0,0
Ice,2011,6/10,13,3,0.602059991,0,3,2
Ice,2011,6/10,14,1,0.301029996,1,2,1
Ice,2011,6/10,15,2,0.477121255,1,3,3
Ice,2011,6/13,1,1,0.301029996,7,8,2
Ice,2011,6/13,2,0,0,0,0,1
Ice,2011,6/13,3,0,0,1,1,2
Ice,2011,6/13,4,1,0.301029996,0,1,0
Ice,2011,6/13,5,0,0,0,0,2
Ice,2011,6/13,6,0,0,0,0,2
Ice,2011,6/13,7,0,0,1,1,1
Ice,2011,6/13,8,0,0,0,0,0
Ice,2011,6/13,9,0,0,0,0,6
Ice,2011,6/13,10,0,0,2,2,0
Ice,2011,6/13,11,2,0.477121255,2,4,0
Ice,2011,6/13,12,0,0,4,4,1
Ice,2011,6/13,13,1,0.301029996,5,6,2
Ice,2011,6/13,14,0,0,7,7,1
Ice,2011,6/13,15,1,0.301029996,12,13,0
Ice,2011,6/15,1,0,0,6,6,0
Ice,2011,6/15,2,0,0,3,3,1
Ice,2011,6/15,3,0,0,0,0,0
Ice,2011,6/15,4,0,0,5,5,0
Ice,2011,6/15,5,0,0,1,1,0
Ice,2011,6/15,6,0,0,0,0,0
Ice,2011,6/15,7,0,0,0,0,1
Ice,2011,6/15,8,0,0,0,0,1
Ice,2011,6/15,9,0,0,0,0,0
Ice,2011,6/15,10,0,0,2,2,1
Ice,2011,6/15,11,0,0,4,4,1
Ice,2011,6/15,12,0,0,0,0,0
Ice,2011,6/15,13,0,0,0,0,0
Ice,2011,6/15,14,0,0,1,1,0
Ice,2011,6/15,15,0,0,1,1,0
Ice,2011,6/17,1,0,0,0,0,0
Ice,2011,6/17,2,0,0,0,0,0
Ice,2011,6/17,3,0,0,0,0,1
Ice,2011,6/17,4,0,0,0,0,0
Ice,2011,6/17,5,0,0,0,0,5
Ice,2011,6/17,6,0,0,0,0,3
Ice,2011,6/17,7,0,0,0,0,3
Ice,2011,6/17,8,0,0,3,3,1
Ice,2011,6/17,9,0,0,1,1,2
Ice,2011,6/17,10,0,0,4,4,3
Ice,2011,6/17,11,0,0,1,1,0
Ice,2011,6/17,12,0,0,5,5,2
Ice,2011,6/17,13,0,0,0,0,0
Ice,2011,6/17,14,0,0,0,0,0
Ice,2011,6/17,15,0,0,0,0,0
Ice,2011,6/20,1,0,0,0,0,2
Ice,2011,6/20,2,0,0,0,0,1
Ice,2011,6/20,3,0,0,0,0,3
Ice,2011,6/20,4,0,0,0,0,0
Ice,2011,6/20,5,0,0,0,0,0
Ice,2011,6/20,6,0,0,0,0,1
Ice,2011,6/20,7,0,0,0,0,1
Ice,2011,6/20,8,0,0,0,0,0
Ice,2011,6/20,9,0,0,0,0,3
Ice,2011,6/20,10,0,0,0,0,1
Ice,2011,6/20,11,0,0,0,0,0
Ice,2011,6/20,12,0,0,0,0,0
Ice,2011,6/20,13,0,0,0,0,0
Ice,2011,6/20,14,0,0,0,0,0
Ice,2011,6/20,15,0,0,0,0,3
Vulgaris,2011,5/24,1,2,0.477121255,0,2,0
Vulgaris,2011,5/24,2,26,1.431363764,0,26,0
Vulgaris,2011,5/24,3,11,1.079181246,0,11,0
Vulgaris,2011,5/24,4,29,1.477121255,0,29,0
Vulgaris,2011,5/24,5,50,1.707570176,0,50,0
Vulgaris,2011,5/24,6,50,1.707570176,0,50,0
Vulgaris,2011,5/24,7,41,1.62324929,0,41,0
Vulgaris,2011,5/24,8,63,1.806179974,0,63,0
Vulgaris,2011,5/24,9,65,1.819543936,0,65,0
Vulgaris,2011,5/24,10,30,1.491361694,0,30,0
Vulgaris,2011,5/24,11,56,1.755874856,0,56,0
Vulgaris,2011,5/24,12,68,1.838849091,0,68,0
Vulgaris,2011,5/24,13,118,2.075546961,0,118,0
Vulgaris,2011,5/24,14,40,1.612783857,0,40,0
Vulgaris,2011,5/24,15,10,1.041392685,0,10,0
Vulgaris,2011,5/30,1,26,1.431363764,0,26,2
Vulgaris,2011,5/30,2,34,1.544068044,0,34,0
Vulgaris,2011,5/30,3,54,1.740362689,0,54,3
Vulgaris,2011,5/30,4,51,1.716003344,0,51,0
Vulgaris,2011,5/30,5,69,1.84509804,0,69,0
Vulgaris,2011,5/30,6,45,1.662757832,0,45,0
Vulgaris,2011,5/30,7,35,1.556302501,0,35,0
Vulgaris,2011,5/30,8,19,1.301029996,0,19,0
Vulgaris,2011,5/30,9,41,1.62324929,0,41,0
Vulgaris,2011,5/30,10,24,1.397940009,0,24,1
Vulgaris,2011,5/30,11,14,1.176091259,0,14,0
Vulgaris,2011,5/30,12,3,0.602059991,0,3,0
Vulgaris,2011,5/30,13,12,1.113943352,0,12,0
Vulgaris,2011,5/30,14,16,1.230448921,0,16,0
Vulgaris,2011,5/30,15,41,1.62324929,0,41,0
Vulgaris,2011,6/1,1,27,1.447158031,0,27,5
Vulgaris,2011,6/1,2,23,1.380211242,0,23,1
Vulgaris,2011,6/1,3,61,1.792391689,0,61,2
Vulgaris,2011,6/1,4,53,1.73239376,0,53,0
Vulgaris,2011,6/1,5,37,1.579783597,0,37,0
Vulgaris,2011,6/1,6,39,1.602059991,0,39,0
Vulgaris,2011,6/1,7,37,1.579783597,0,37,2
Vulgaris,2011,6/1,8,62,1.799340549,0,62,0
Vulgaris,2011,6/1,9,11,1.079181246,0,11,0
Vulgaris,2011,6/1,10,25,1.414973348,0,25,1
Vulgaris,2011,6/1,11,10,1.041392685,0,10,0
Vulgaris,2011,6/1,12,28,1.462397998,0,28,0
Vulgaris,2011,6/1,13,12,1.113943352,0,12,0
Vulgaris,2011,6/1,14,15,1.204119983,0,15,0
Vulgaris,2011,6/1,15,20,1.322219295,0,20,0
Vulgaris,2011,6/6,1,29,1.477121255,2,31,2
Vulgaris,2011,6/6,2,28,1.462397998,0,28,1
Vulgaris,2011,6/6,3,16,1.230448921,0,16,2
Vulgaris,2011,6/6,4,22,1.361727836,0,22,0
Vulgaris,2011,6/6,5,19,1.301029996,1,20,0
Vulgaris,2011,6/6,6,85,1.934498451,1,86,2
Vulgaris,2011,6/6,7,56,1.755874856,0,56,5
Vulgaris,2011,6/6,8,38,1.591064607,1,39,0
Vulgaris,2011,6/6,9,22,1.361727836,0,22,0
Vulgaris,2011,6/6,10,80,1.908485019,0,80,4
Vulgaris,2011,6/6,11,24,1.397940009,0,24,2
Vulgaris,2011,6/6,12,12,1.113943352,0,12,2
Vulgaris,2011,6/6,13,7,0.903089987,0,7,4
Vulgaris,2011,6/6,14,29,1.477121255,0,29,3
Vulgaris,2011,6/6,15,26,1.431363764,0,26,2
Vulgaris,2011,6/8,1,4,0.698970004,6,10,1
Vulgaris,2011,6/8,2,1,0.301029996,9,10,3
Vulgaris,2011,6/8,3,8,0.954242509,6,14,0
Vulgaris,2011,6/8,4,3,0.602059991,7,10,0
Vulgaris,2011,6/8,5,16,1.230448921,5,21,3
Vulgaris,2011,6/8,6,82,1.919078092,17,99,3
Vulgaris,2011,6/8,7,63,1.806179974,11,74,3
Vulgaris,2011,6/8,8,5,0.77815125,3,8,4
Vulgaris,2011,6/8,9,10,1.041392685,0,10,5
Vulgaris,2011,6/8,10,4,0.698970004,2,6,1
Vulgaris,2011,6/8,11,6,0.84509804,2,8,1
Vulgaris,2011,6/8,12,30,1.491361694,1,31,0
Vulgaris,2011,6/8,13,27,1.447158031,0,27,1
Vulgaris,2011,6/8,14,24,1.397940009,2,26,0
Vulgaris,2011,6/8,15,15,1.204119983,30,45,0
Vulgaris,2011,6/10,1,1,0.301029996,6,7,0
Vulgaris,2011,6/10,2,0,0,5,5,0
Vulgaris,2011,6/10,3,1,0.301029996,7,8,3
Vulgaris,2011,6/10,4,14,1.176091259,15,29,3
Vulgaris,2011,6/10,5,2,0.477121255,0,2,4
Vulgaris,2011,6/10,6,89,1.954242509,13,102,6
Vulgaris,2011,6/10,7,3,0.602059991,1,4,1
Vulgaris,2011,6/10,8,3,0.602059991,1,4,2
Vulgaris,2011,6/10,9,4,0.698970004,0,4,0
Vulgaris,2011,6/10,10,2,0.477121255,15,17,0
Vulgaris,2011,6/10,11,1,0.301029996,0,1,0
Vulgaris,2011,6/10,12,4,0.698970004,0,4,0
Vulgaris,2011,6/10,13,14,1.176091259,5,19,2
Vulgaris,2011,6/10,14,5,0.77815125,11,16,0
Vulgaris,2011,6/10,15,8,0.954242509,28,36,4
Vulgaris,2011,6/13,1,0,0,0,0,0
Vulgaris,2011,6/13,2,0,0,0,0,4
Vulgaris,2011,6/13,3,0,0,0,0,1
Vulgaris,2011,6/13,4,0,0,0,0,3
Vulgaris,2011,6/13,5,0,0,0,0,0
Vulgaris,2011,6/13,6,0,0,0,0,2
Vulgaris,2011,6/13,7,0,0,1,1,1
Vulgaris,2011,6/13,8,1,0.301029996,0,1,1
Vulgaris,2011,6/13,9,2,0.477121255,4,6,1
Vulgaris,2011,6/13,10,1,0.301029996,8,9,1
Vulgaris,2011,6/13,11,0,0,1,1,1
Vulgaris,2011,6/13,12,0,0,0,0,1
Vulgaris,2011,6/13,13,1,0.301029996,1,2,0
Vulgaris,2011,6/13,14,0,0,0,0,0
Vulgaris,2011,6/15,1,0,0,2,2,1
Vulgaris,2011,6/15,2,0,0,2,2,0
Vulgaris,2011,6/15,3,0,0,1,1,0
Vulgaris,2011,6/15,4,0,0,0,0,2
Vulgaris,2011,6/15,5,0,0,0,0,1
Vulgaris,2011,6/15,6,0,0,0,0,0
Vulgaris,2011,6/15,7,0,0,0,0,0
Vulgaris,2011,6/15,8,0,0,0,0,3
Vulgaris,2011,6/15,9,0,0,0,0,1
Vulgaris,2011,6/15,10,0,0,0,0,1
Vulgaris,2011,6/15,11,0,0,0,0,2
Vulgaris,2011,6/15,12,0,0,0,0,2
Vulgaris,2011,6/15,13,0,0,0,0,1
Vulgaris,2011,6/15,14,0,0,0,0,2
Vulgaris,2011,6/15,15,0,0,0,0,2
East,2012,5/8,1,21,1.342422681,0,21,0
East,2012,5/8,2,35,1.556302501,0,35,0
East,2012,5/8,3,3,0.602059991,0,3,0
East,2012,5/8,4,15,1.204119983,0,15,0
East,2012,5/8,5,0,0,0,0,0
East,2012,5/8,6,0,0,0,0,0
East,2012,5/8,7,0,0,0,0,0
East,2012,5/8,8,0,0,0,0,0
East,2012,5/8,9,0,0,0,0,0
East,2012,5/8,10,7,0.903089987,0,7,0
East,2012,5/8,11,0,0,0,0,0
East,2012,5/8,12,2,0.477121255,0,2,0
East,2012,5/8,13,0,0,0,0,0
East,2012,5/8,14,0,0,0,0,0
East,2012,5/8,15,0,0,0,0,0
East,2012,5/11,1,0,0,0,0,0
East,2012,5/11,2,7,0.903089987,0,7,0
East,2012,5/11,3,29,1.477121255,0,29,0
East,2012,5/11,4,26,1.431363764,0,26,0
East,2012,5/11,5,22,1.361727836,0,22,0
East,2012,5/11,6,6,0.84509804,0,6,0
East,2012,5/11,7,0,0,0,0,0
East,2012,5/11,8,0,0,0,0,0
East,2012,5/11,9,0,0,0,0,0
East,2012,5/11,10,0,0,0,0,0
East,2012,5/11,11,0,0,0,0,0
East,2012,5/11,12,0,0,0,0,0
East,2012,5/11,13,0,0,0,0,0
East,2012,5/11,14,1,0.301029996,0,1,0
East,2012,5/11,15,9,1,0,9,0
East,2012,5/14,1,8,0.954242509,0,8,0
East,2012,5/14,2,14,1.176091259,0,14,0
East,2012,5/14,3,18,1.278753601,0,18,0
East,2012,5/14,4,17,1.255272505,0,17,0
East,2012,5/14,5,14,1.176091259,0,14,0
East,2012,5/14,6,1,0.301029996,0,1,0
East,2012,5/14,7,0,0,0,0,0
East,2012,5/14,8,0,0,0,0,0
East,2012,5/14,9,1,0.301029996,0,1,0
East,2012,5/14,10,0,0,0,0,0
East,2012,5/14,11,0,0,0,0,0
East,2012,5/14,12,0,0,0,0,0
East,2012,5/14,13,0,0,0,0,0
East,2012,5/14,14,7,0.903089987,0,7,0
East,2012,5/14,15,4,0.698970004,0,4,0
East,2012,5/16,1,11,1.079181246,0,11,0
East,2012,5/16,2,20,1.322219295,0,20,0
East,2012,5/16,3,7,0.903089987,0,7,0
East,2012,5/16,4,8,0.954242509,0,8,0
East,2012,5/16,5,10,1.041392685,0,10,0
East,2012,5/16,6,7,0.903089987,0,7,0
East,2012,5/16,7,8,0.954242509,0,8,0
East,2012,5/16,8,12,1.113943352,0,12,0
East,2012,5/16,9,1,0.301029996,0,1,0
East,2012,5/16,10,0,0,0,0,0
East,2012,5/16,11,0,0,0,0,0
East,2012,5/16,12,0,0,0,0,0
East,2012,5/16,13,0,0,0,0,0
East,2012,5/16,14,0,0,0,0,0
East,2012,5/16,15,3,0.602059991,0,3,0
East,2012,5/18,1,6,0.84509804,0,6,0
East,2012,5/18,2,10,1.041392685,0,10,0
East,2012,5/18,3,1,0.301029996,0,1,0
East,2012,5/18,4,1,0.301029996,0,1,0
East,2012,5/18,5,7,0.903089987,0,7,0
East,2012,5/18,6,4,0.698970004,0,4,0
East,2012,5/18,7,4,0.698970004,0,4,0
East,2012,5/18,8,0,0,0,0,0
East,2012,5/18,9,0,0,0,0,0
East,2012,5/18,10,0,0,0,0,0
East,2012,5/18,11,0,0,0,0,0
East,2012,5/18,12,0,0,0,0,0
East,2012,5/18,13,1,0.301029996,0,1,0
East,2012,5/18,14,12,1.113943352,0,12,0
East,2012,5/18,15,9,1,0,9,0
East,2012,5/21,1,5,0.77815125,0,5,0
East,2012,5/21,2,5,0.77815125,0,5,0
East,2012,5/21,3,4,0.698970004,0,4,0
East,2012,5/21,4,2,0.477121255,0,2,0
East,2012,5/21,5,2,0.477121255,0,2,0
East,2012,5/21,6,3,0.602059991,0,3,0
East,2012,5/21,7,5,0.77815125,0,5,0
East,2012,5/21,8,8,0.954242509,0,8,0
East,2012,5/21,9,0,0,0,0,0
East,2012,5/21,10,0,0,0,0,0
East,2012,5/21,11,12,1.113943352,0,12,0
East,2012,5/21,12,0,0,0,0,0
East,2012,5/21,13,0,0,0,0,0
East,2012,5/21,14,0,0,0,0,0
East,2012,5/21,15,7,0.903089987,0,7,0
East,2012,5/23,1,3,0.602059991,0,3,0
East,2012,5/23,2,3,0.602059991,0,3,0
East,2012,5/23,3,5,0.77815125,0,5,0
East,2012,5/23,4,5,0.77815125,0,5,0
East,2012,5/23,5,8,0.954242509,0,8,0
East,2012,5/23,6,2,0.477121255,0,2,1
East,2012,5/23,7,4,0.698970004,0,4,0
East,2012,5/23,8,1,0.301029996,0,1,0
East,2012,5/23,9,0,0,0,0,0
East,2012,5/23,10,4,0.698970004,0,4,0
East,2012,5/23,11,1,0.301029996,0,1,0
East,2012,5/23,12,2,0.477121255,0,2,0
East,2012,5/23,13,3,0.602059991,0,3,0
East,2012,5/23,14,1,0.301029996,0,1,0
East,2012,5/23,15,2,0.477121255,0,2,0
East,2012,5/28,1,3,0.602059991,0,3,0
East,2012,5/28,2,3,0.602059991,0,3,0
East,2012,5/28,3,1,0.301029996,2,3,0
East,2012,5/28,4,0,0,1,1,0
East,2012,5/28,5,5,0.77815125,0,5,2
East,2012,5/28,6,4,0.698970004,0,4,1
East,2012,5/28,7,6,0.84509804,1,7,1
East,2012,5/28,8,2,0.477121255,0,2,0
East,2012,5/28,9,0,0,0,0,0
East,2012,5/28,10,0,0,0,0,0
East,2012,5/28,11,1,0.301029996,0,1,0
East,2012,5/28,12,1,0.301029996,0,1,0
East,2012,5/28,13,0,0,0,0,0
East,2012,5/28,14,1,0.301029996,0,1,0
East,2012,5/28,15,1,0.301029996,0,1,1
East,2012,5/31,1,1,0.301029996,0,1,0
East,2012,5/31,2,0,0,1,1,0
East,2012,5/31,3,0,0,0,0,0
East,2012,5/31,4,1,0.301029996,4,5,0
East,2012,5/31,5,1,0.301029996,1,2,1
East,2012,5/31,6,3,0.602059991,4,7,0
East,2012,5/31,7,3,0.602059991,2,5,0
East,2012,5/31,8,3,0.602059991,1,4,1
East,2012,5/31,9,1,0.301029996,0,1,0
East,2012,5/31,10,0,0,0,0,0
East,2012,5/31,11,3,0.602059991,0,3,0
East,2012,5/31,12,1,0.301029996,0,1,0
East,2012,5/31,13,1,0.301029996,0,1,0
East,2012,5/31,14,0,0,0,0,0
East,2012,5/31,15,0,0,0,0,2
East,2012,6/4,1,0,0,0,0,1
East,2012,6/4,2,1,0.301029996,0,1,0
East,2012,6/4,3,0,0,1,1,0
East,2012,6/4,4,0,0,4,4,0
East,2012,6/4,5,0,0,3,3,0
East,2012,6/4,6,0,0,0,0,0
East,2012,6/4,7,1,0.301029996,0,1,0
East,2012,6/4,8,0,0,1,1,0
East,2012,6/4,9,0,0,4,4,0
East,2012,6/4,10,1,0.301029996,1,2,0
East,2012,6/4,11,0,0,4,4,0
East,2012,6/4,12,0,0,1,1,0
East,2012,6/4,13,0,0,0,0,0
East,2012,6/4,14,0,0,1,1,0
East,2012,6/4,15,0,0,0,0,0
East,2012,6/7,1,0,0,0,0,0
East,2012,6/7,2,0,0,0,0,0
East,2012,6/7,3,0,0,0,0,1
