Date,Year,Samplingno,Site,Sample,Larvae,Pupae,Total,Beetles
30-May-11,2011,2,Vulgaris,7,35,0,35,0
30-May-11,2011,2,Vulgaris,8,19,0,19,0
30-May-11,2011,2,Vulgaris,9,41,0,41,0
30-May-11,2011,2,Vulgaris,10,24,0,24,1
30-May-11,2011,2,Vulgaris,11,14,0,14,0
30-May-11,2011,2,Vulgaris,12,3,0,3,0
30-May-11,2011,2,Vulgaris,13,12,0,12,0
30-May-11,2011,2,Vulgaris,14,16,0,16,0
30-May-11,2011,2,Vulgaris,15,41,0,41,0
1-Jun-11,2011,3,East,1,11,0,11,0
1-Jun-11,2011,3,East,2,24,0,24,0
1-Jun-11,2011,3,East,3,33,1,34,1
1-Jun-11,2011,3,East,4,7,0,7,0
1-Jun-11,2011,3,East,5,17,0,17,0
1-Jun-11,2011,3,East,6,4,0,4,0
1-Jun-11,2011,3,East,7,12,0,12,0
1-Jun-11,2011,3,East,8,19,0,19,0
1-Jun-11,2011,3,East,9,7,0,7,0
1-Jun-11,2011,3,East,10,2,0,2,0
1-Jun-11,2011,3,East,11,4,0,4,0
1-Jun-11,2011,3,East,12,5,1,6,0
1-Jun-11,2011,3,East,13,7,0,7,2
1-Jun-11,2011,3,East,14,13,0,13,1
1-Jun-11,2011,3,East,15,7,0,7,3
1-Jun-11,2011,3,Black,1,28,0,28,0
1-Jun-11,2011,3,Black,2,56,0,56,0
1-Jun-11,2011,3,Black,3,19,0,19,0
1-Jun-11,2011,3,Black,4,42,0,42,0
1-Jun-11,2011,3,Black,5,25,0,25,0
1-Jun-11,2011,3,Black,6,23,0,23,0
1-Jun-11,2011,3,Black,7,22,0,22,0
1-Jun-11,2011,3,Black,8,39,0,39,0
1-Jun-11,2011,3,Black,9,45,0,45,0
1-Jun-11,2011,3,Black,10,38,0,38,0
1-Jun-11,2011,3,Black,11,16,0,16,0
1-Jun-11,2011,3,Black,12,7,0,7,0
1-Jun-11,2011,3,Black,13,25,0,25,0
1-Jun-11,2011,3,Black,14,7,0,7,0
1-Jun-11,2011,3,Black,15,24,0,24,0
1-Jun-11,2011,3,Ice,1,13,0,13,0
1-Jun-11,2011,3,Ice,2,0,0,0,0
1-Jun-11,2011,3,Ice,3,0,0,0,0
1-Jun-11,2011,3,Ice,4,1,0,1,0
1-Jun-11,2011,3,Ice,5,3,0,3,0
1-Jun-11,2011,3,Ice,6,6,0,6,1
1-Jun-11,2011,3,Ice,7,2,0,2,1
1-Jun-11,2011,3,Ice,8,0,0,0,0
1-Jun-11,2011,3,Ice,9,0,0,0,0
1-Jun-11,2011,3,Ice,10,1,0,1,0
1-Jun-11,2011,3,Ice,11,2,0,2,0
1-Jun-11,2011,3,Ice,12,5,0,5,0
1-Jun-11,2011,3,Ice,13,12,0,12,0
1-Jun-11,2011,3,Ice,14,4,0,4,0
1-Jun-11,2011,3,Ice,15,7,0,7,0
1-Jun-11,2011,3,Vulgaris,1,27,0,27,5
1-Jun-11,2011,3,Vulgaris,2,23,0,23,1
1-Jun-11,2011,3,Vulgaris,3,61,0,61,2
1-Jun-11,2011,3,Vulgaris,4,53,0,53,0
1-Jun-11,2011,3,Vulgaris,5,37,0,37,0
1-Jun-11,2011,3,Vulgaris,6,39,0,39,0
1-Jun-11,2011,3,Vulgaris,7,37,0,37,2
1-Jun-11,2011,3,Vulgaris,8,62,0,62,0
1-Jun-11,2011,3,Vulgaris,9,11,0,11,0
1-Jun-11,2011,3,Vulgaris,10,25,0,25,1
1-Jun-11,2011,3,Vulgaris,11,10,0,10,0
1-Jun-11,2011,3,Vulgaris,12,28,0,28,0
1-Jun-11,2011,3,Vulgaris,13,12,0,12,0
1-Jun-11,2011,3,Vulgaris,14,15,0,15,0
1-Jun-11,2011,3,Vulgaris,15,20,0,20,0
6-Jun-11,2011,4,East,1,10,0,10,0
6-Jun-11,2011,4,East,2,5,0,5,0
6-Jun-11,2011,4,East,3,4,0,4,1
6-Jun-11,2011,4,East,4,2,0,2,0
6-Jun-11,2011,4,East,5,2,0,2,0
6-Jun-11,2011,4,East,6,7,0,7,0
6-Jun-11,2011,4,East,7,10,0,10,1
6-Jun-11,2011,4,East,8,7,0,7,0
6-Jun-11,2011,4,East,9,1,0,1,0
6-Jun-11,2011,4,East,10,7,1,8,0
6-Jun-11,2011,4,East,11,7,0,7,0
6-Jun-11,2011,4,East,12,2,1,3,0
6-Jun-11,2011,4,East,13,7,1,8,0
6-Jun-11,2011,4,East,14,8,0,8,0
6-Jun-11,2011,4,East,15,3,0,3,0
6-Jun-11,2011,4,Black,1,1,0,1,0
6-Jun-11,2011,4,Black,2,7,0,7,0
6-Jun-11,2011,4,Black,3,1,0,1,0
6-Jun-11,2011,4,Black,4,7,1,8,0
6-Jun-11,2011,4,Black,5,12,2,14,0
6-Jun-11,2011,4,Black,6,16,2,18,0
6-Jun-11,2011,4,Black,7,2,0,2,0
6-Jun-11,2011,4,Black,8,16,0,16,0
6-Jun-11,2011,4,Black,9,4,0,4,0
6-Jun-11,2011,4,Black,10,39,9,48,0
6-Jun-11,2011,4,Black,11,39,3,42,0
6-Jun-11,2011,4,Black,12,38,11,49,2
6-Jun-11,2011,4,Black,13,7,2,9,1
6-Jun-11,2011,4,Black,14,9,3,12,0
6-Jun-11,2011,4,Black,15,14,0,14,1
6-Jun-11,2011,4,Ice,1,0,0,0,2
6-Jun-11,2011,4,Ice,2,1,0,1,3
6-Jun-11,2011,4,Ice,3,1,0,1,5
6-Jun-11,2011,4,Ice,4,5,0,5,17
6-Jun-11,2011,4,Ice,5,1,0,1,5
6-Jun-11,2011,4,Ice,6,5,0,5,5
6-Jun-11,2011,4,Ice,7,1,0,1,2
6-Jun-11,2011,4,Ice,8,2,0,2,6
6-Jun-11,2011,4,Ice,9,3,0,3,1
6-Jun-11,2011,4,Ice,10,1,0,1,1
6-Jun-11,2011,4,Ice,11,1,0,1,3
6-Jun-11,2011,4,Ice,12,2,0,2,1
6-Jun-11,2011,4,Ice,13,0,0,0,0
6-Jun-11,2011,4,Ice,14,1,0,1,1
6-Jun-11,2011,4,Ice,15,5,0,5,6
6-Jun-11,2011,4,Vulgaris,1,29,2,31,2
6-Jun-11,2011,4,Vulgaris,2,28,0,28,1
6-Jun-11,2011,4,Vulgaris,3,16,0,16,2
6-Jun-11,2011,4,Vulgaris,4,22,0,22,0
6-Jun-11,2011,4,Vulgaris,5,19,1,20,0
6-Jun-11,2011,4,Vulgaris,6,85,1,86,2
6-Jun-11,2011,4,Vulgaris,7,56,0,56,5
6-Jun-11,2011,4,Vulgaris,8,38,1,39,0
6-Jun-11,2011,4,Vulgaris,9,22,0,22,0
6-Jun-11,2011,4,Vulgaris,10,80,0,80,4
6-Jun-11,2011,4,Vulgaris,11,24,0,24,2
6-Jun-11,2011,4,Vulgaris,12,12,0,12,2
6-Jun-11,2011,4,Vulgaris,13,7,0,7,4
6-Jun-11,2011,4,Vulgaris,14,29,0,29,3
6-Jun-11,2011,4,Vulgaris,15,26,0,26,2
8-Jun-11,2011,5,East,1,2,0,2,0
8-Jun-11,2011,5,East,2,4,1,5,0
8-Jun-11,2011,5,East,3,6,0,6,0
8-Jun-11,2011,5,East,4,2,0,2,0
8-Jun-11,2011,5,East,5,6,1,7,1
8-Jun-11,2011,5,East,6,2,0,2,0
8-Jun-11,2011,5,East,7,5,0,5,0
8-Jun-11,2011,5,East,8,3,0,3,0
8-Jun-11,2011,5,East,9,1,0,1,0
8-Jun-11,2011,5,East,10,1,0,1,0
8-Jun-11,2011,5,East,11,4,0,4,1
8-Jun-11,2011,5,East,12,1,3,4,0
8-Jun-11,2011,5,East,13,0,2,2,1
8-Jun-11,2011,5,East,14,2,0,2,0
8-Jun-11,2011,5,East,15,10,1,11,0
8-Jun-11,2011,5,Black,1,6,0,6,0
8-Jun-11,2011,5,Black,2,8,1,9,0
8-Jun-11,2011,5,Black,3,9,4,13,0
8-Jun-11,2011,5,Black,4,16,8,24,0
8-Jun-11,2011,5,Black,5,20,4,24,0
8-Jun-11,2011,5,Black,6,29,18,47,2
8-Jun-11,2011,5,Black,7,19,21,40,0
8-Jun-11,2011,5,Black,8,42,42,84,0
8-Jun-11,2011,5,Black,9,11,7,18,0
8-Jun-11,2011,5,Black,10,5,0,5,0
8-Jun-11,2011,5,Black,11,17,7,24,0
8-Jun-11,2011,5,Black,12,15,7,22,1
8-Jun-11,2011,5,Black,13,8,6,14,0
8-Jun-11,2011,5,Black,14,24,3,27,0
8-Jun-11,2011,5,Black,15,8,1,9,0
8-Jun-11,2011,5,Ice,1,0,0,0,4
8-Jun-11,2011,5,Ice,2,0,0,0,2
8-Jun-11,2011,5,Ice,3,2,0,2,2
8-Jun-11,2011,5,Ice,4,0,0,0,0
8-Jun-11,2011,5,Ice,5,0,0,0,1
8-Jun-11,2011,5,Ice,6,0,0,0,0
8-Jun-11,2011,5,Ice,7,0,0,0,4
8-Jun-11,2011,5,Ice,8,0,0,0,4
8-Jun-11,2011,5,Ice,9,0,0,0,1
8-Jun-11,2011,5,Ice,10,0,0,0,1
8-Jun-11,2011,5,Ice,11,3,0,3,4
8-Jun-11,2011,5,Ice,12,0,0,0,2
8-Jun-11,2011,5,Ice,13,0,0,0,1
8-Jun-11,2011,5,Ice,14,2,0,2,1
8-Jun-11,2011,5,Ice,15,7,0,7,0
8-Jun-11,2011,5,Vulgaris,1,4,6,10,1
8-Jun-11,2011,5,Vulgaris,2,1,9,10,3
8-Jun-11,2011,5,Vulgaris,3,8,6,14,0
8-Jun-11,2011,5,Vulgaris,4,3,7,10,0
8-Jun-11,2011,5,Vulgaris,5,16,5,21,3
8-Jun-11,2011,5,Vulgaris,6,82,17,99,3
8-Jun-11,2011,5,Vulgaris,7,63,11,74,3
8-Jun-11,2011,5,Vulgaris,8,5,3,8,4
8-Jun-11,2011,5,Vulgaris,9,10,0,10,5
8-Jun-11,2011,5,Vulgaris,10,4,2,6,1
8-Jun-11,2011,5,Vulgaris,11,6,2,8,1
8-Jun-11,2011,5,Vulgaris,12,30,1,31,0
8-Jun-11,2011,5,Vulgaris,13,27,0,27,1
8-Jun-11,2011,5,Vulgaris,14,24,2,26,0
8-Jun-11,2011,5,Vulgaris,15,15,30,45,0
10-Jun-11,2011,6,Ice,1,0,0,0,0
10-Jun-11,2011,6,Ice,2,0,4,4,0
10-Jun-11,2011,6,Ice,3,0,0,0,1
10-Jun-11,2011,6,Ice,4,0,0,0,2
10-Jun-11,2011,6,Ice,5,2,0,2,1
10-Jun-11,2011,6,Ice,6,1,0,1,1
10-Jun-11,2011,6,Ice,7,0,0,0,3
10-Jun-11,2011,6,Ice,8,1,0,1,1
10-Jun-11,2011,6,Ice,9,1,1,2,1
10-Jun-11,2011,6,Ice,10,0,0,0,0
10-Jun-11,2011,6,Ice,11,0,0,0,2
10-Jun-11,2011,6,Ice,12,0,0,0,0
10-Jun-11,2011,6,Ice,13,3,0,3,2
10-Jun-11,2011,6,Ice,14,1,1,2,1
10-Jun-11,2011,6,Ice,15,2,1,3,3
10-Jun-11,2011,6,Vulgaris,1,1,6,7,0
10-Jun-11,2011,6,Vulgaris,2,0,5,5,0
10-Jun-11,2011,6,Vulgaris,3,1,7,8,3
10-Jun-11,2011,6,Vulgaris,4,14,15,29,3
10-Jun-11,2011,6,Vulgaris,5,2,0,2,4
10-Jun-11,2011,6,Vulgaris,6,89,13,102,6
10-Jun-11,2011,6,Vulgaris,7,3,1,4,1
10-Jun-11,2011,6,Vulgaris,8,3,1,4,2
10-Jun-11,2011,6,Vulgaris,9,4,0,4,0
10-Jun-11,2011,6,Vulgaris,10,2,15,17,0
10-Jun-11,2011,6,Vulgaris,11,1,0,1,0
10-Jun-11,2011,6,Vulgaris,12,4,0,4,0
10-Jun-11,2011,6,Vulgaris,13,14,5,19,2
10-Jun-11,2011,6,Vulgaris,14,5,11,16,0
10-Jun-11,2011,6,Vulgaris,15,8,28,36,4
13-Jun-11,2011,7,East,1,1,6,7,0
13-Jun-11,2011,7,East,2,0,0,0,0
13-Jun-11,2011,7,East,3,1,1,2,1
13-Jun-11,2011,7,East,4,0,0,0,0
13-Jun-11,2011,7,East,5,1,2,3,0
13-Jun-11,2011,7,East,6,0,2,2,0
13-Jun-11,2011,7,East,7,1,6,7,1
13-Jun-11,2011,7,East,8,0,3,3,1
13-Jun-11,2011,7,East,9,0,2,2,0
13-Jun-11,2011,7,East,10,1,6,7,0
13-Jun-11,2011,7,East,11,0,4,4,0
13-Jun-11,2011,7,East,12,0,1,1,0
13-Jun-11,2011,7,East,13,2,3,5,0
13-Jun-11,2011,7,East,14,3,1,4,1
13-Jun-11,2011,7,East,15,2,1,3,2
13-Jun-11,2011,7,Black,1,0,6,6,2
13-Jun-11,2011,7,Black,2,0,4,4,3
13-Jun-11,2011,7,Black,3,0,7,7,1
13-Jun-11,2011,7,Black,4,0,6,6,1
13-Jun-11,2011,7,Black,5,0,8,8,1
13-Jun-11,2011,7,Black,6,0,8,8,0
13-Jun-11,2011,7,Black,7,0,2,2,1
13-Jun-11,2011,7,Black,8,0,6,6,1
13-Jun-11,2011,7,Black,9,0,19,19,3
13-Jun-11,2011,7,Black,10,0,9,9,1
13-Jun-11,2011,7,Black,11,0,4,4,2
13-Jun-11,2011,7,Black,12,0,14,14,5
13-Jun-11,2011,7,Black,13,0,4,4,0
13-Jun-11,2011,7,Black,14,0,12,12,3
13-Jun-11,2011,7,Black,15,0,4,4,2
13-Jun-11,2011,7,Ice,1,1,7,8,2
13-Jun-11,2011,7,Ice,2,0,0,0,1
13-Jun-11,2011,7,Ice,3,0,1,1,2
13-Jun-11,2011,7,Ice,4,1,0,1,0
13-Jun-11,2011,7,Ice,5,0,0,0,2
13-Jun-11,2011,7,Ice,6,0,0,0,2
13-Jun-11,2011,7,Ice,7,0,1,1,1
13-Jun-11,2011,7,Ice,8,0,0,0,0
13-Jun-11,2011,7,Ice,9,0,0,0,6
13-Jun-11,2011,7,Ice,10,0,2,2,0
13-Jun-11,2011,7,Ice,11,2,2,4,0
13-Jun-11,2011,7,Ice,12,0,4,4,1
13-Jun-11,2011,7,Ice,13,1,5,6,2
13-Jun-11,2011,7,Ice,14,0,7,7,1
13-Jun-11,2011,7,Ice,15,1,12,13,0
13-Jun-11,2011,7,Vulgaris,1,0,0,0,0
13-Jun-11,2011,7,Vulgaris,2,0,0,0,4
13-Jun-11,2011,7,Vulgaris,3,0,0,0,1
13-Jun-11,2011,7,Vulgaris,4,0,0,0,3
13-Jun-11,2011,7,Vulgaris,5,0,0,0,0
13-Jun-11,2011,7,Vulgaris,6,0,0,0,2
13-Jun-11,2011,7,Vulgaris,7,0,1,1,1
13-Jun-11,2011,7,Vulgaris,8,1,0,1,1
13-Jun-11,2011,7,Vulgaris,9,2,4,6,1
13-Jun-11,2011,7,Vulgaris,10,1,8,9,1
13-Jun-11,2011,7,Vulgaris,11,0,1,1,1
13-Jun-11,2011,7,Vulgaris,12,0,0,0,1
13-Jun-11,2011,7,Vulgaris,13,1,1,2,0
13-Jun-11,2011,7,Vulgaris,14,0,0,0,0
15-Jun-11,2011,8,East,1,0,3,3,0
15-Jun-11,2011,8,East,2,0,2,2,0
15-Jun-11,2011,8,East,3,0,4,4,2
15-Jun-11,2011,8,East,4,0,1,1,0
15-Jun-11,2011,8,East,5,1,2,3,2
15-Jun-11,2011,8,East,6,0,1,1,0
15-Jun-11,2011,8,East,7,0,1,1,0
15-Jun-11,2011,8,East,8,0,0,0,0
15-Jun-11,2011,8,East,9,0,1,1,1
15-Jun-11,2011,8,East,10,0,1,1,1
15-Jun-11,2011,8,East,11,0,1,1,0
15-Jun-11,2011,8,East,12,1,0,1,1
15-Jun-11,2011,8,East,13,0,3,3,1
15-Jun-11,2011,8,East,14,0,0,0,0
15-Jun-11,2011,8,East,15,0,3,3,0
15-Jun-11,2011,8,Black,1,0,1,1,1
15-Jun-11,2011,8,Black,2,0,5,5,0
15-Jun-11,2011,8,Black,3,0,7,7,0
15-Jun-11,2011,8,Black,4,0,1,1,1
15-Jun-11,2011,8,Black,5,0,3,3,0
15-Jun-11,2011,8,Black,6,0,3,3,2
15-Jun-11,2011,8,Black,7,0,4,4,1
15-Jun-11,2011,8,Black,8,0,3,3,1
15-Jun-11,2011,8,Black,9,0,1,1,0
15-Jun-11,2011,8,Black,10,0,0,0,2
15-Jun-11,2011,8,Black,11,0,0,0,1
15-Jun-11,2011,8,Black,12,0,1,1,0
15-Jun-11,2011,8,Black,13,0,2,2,0
15-Jun-11,2011,8,Black,14,0,2,2,0
15-Jun-11,2011,8,Black,15,0,3,3,1
15-Jun-11,2011,8,Ice,1,0,6,6,0
15-Jun-11,2011,8,Ice,2,0,3,3,1
15-Jun-11,2011,8,Ice,3,0,0,0,0
15-Jun-11,2011,8,Ice,4,0,5,5,0
15-Jun-11,2011,8,Ice,5,0,1,1,0
15-Jun-11,2011,8,Ice,6,0,0,0,0
15-Jun-11,2011,8,Ice,7,0,0,0,1
15-Jun-11,2011,8,Ice,8,0,0,0,1
15-Jun-11,2011,8,Ice,9,0,0,0,0
15-Jun-11,2011,8,Ice,10,0,2,2,1
15-Jun-11,2011,8,Ice,11,0,4,4,1
15-Jun-11,2011,8,Ice,12,0,0,0,0
15-Jun-11,2011,8,Ice,13,0,0,0,0
15-Jun-11,2011,8,Ice,14,0,1,1,0
15-Jun-11,2011,8,Ice,15,0,1,1,0
15-Jun-11,2011,8,Vulgaris,1,0,2,2,1
15-Jun-11,2011,8,Vulgaris,2,0,2,2,0
15-Jun-11,2011,8,Vulgaris,3,0,1,1,0
15-Jun-11,2011,8,Vulgaris,4,0,0,0,2
15-Jun-11,2011,8,Vulgaris,5,0,0,0,1
15-Jun-11,2011,8,Vulgaris,6,0,0,0,0
15-Jun-11,2011,8,Vulgaris,7,0,0,0,0
15-Jun-11,2011,8,Vulgaris,8,0,0,0,3
15-Jun-11,2011,8,Vulgaris,9,0,0,0,1
15-Jun-11,2011,8,Vulgaris,10,0,0,0,1
15-Jun-11,2011,8,Vulgaris,11,0,0,0,2
15-Jun-11,2011,8,Vulgaris,12,0,0,0,2
15-Jun-11,2011,8,Vulgaris,13,0,0,0,1
15-Jun-11,2011,8,Vulgaris,14,0,0,0,2
15-Jun-11,2011,8,Vulgaris,15,0,0,0,2
17-Jun-11,2011,9,East,1,0,0,0,0
17-Jun-11,2011,9,East,2,0,0,0,0
17-Jun-11,2011,9,East,3,0,0,0,1
17-Jun-11,2011,9,East,4,0,0,0,0
17-Jun-11,2011,9,East,5,0,0,0,0
17-Jun-11,2011,9,East,6,0,0,0,2
17-Jun-11,2011,9,East,7,0,1,1,1
17-Jun-11,2011,9,East,8,1,1,2,0
17-Jun-11,2011,9,East,9,0,0,0,0
17-Jun-11,2011,9,East,10,0,1,1,0
17-Jun-11,2011,9,East,11,0,1,1,0
17-Jun-11,2011,9,East,12,0,1,1,0
17-Jun-11,2011,9,East,13,0,0,0,0
17-Jun-11,2011,9,East,14,0,2,2,0
17-Jun-11,2011,9,East,15,0,0,0,0
17-Jun-11,2011,9,Black,1,0,0,0,1
17-Jun-11,2011,9,Black,2,0,0,0,1
17-Jun-11,2011,9,Black,3,0,3,3,2
17-Jun-11,2011,9,Black,4,0,0,0,3
17-Jun-11,2011,9,Black,5,0,0,0,0
17-Jun-11,2011,9,Black,6,0,0,0,1
17-Jun-11,2011,9,Black,7,0,0,0,0
17-Jun-11,2011,9,Black,8,0,0,0,2
17-Jun-11,2011,9,Black,9,0,0,0,2
17-Jun-11,2011,9,Black,10,0,0,0,1
17-Jun-11,2011,9,Black,11,0,1,1,1
17-Jun-11,2011,9,Black,12,0,0,0,0
17-Jun-11,2011,9,Black,13,0,2,2,0
17-Jun-11,2011,9,Black,14,0,3,3,1
17-Jun-11,2011,9,Black,15,0,6,6,0
17-Jun-11,2011,9,Ice,1,0,0,0,0
17-Jun-11,2011,9,Ice,2,0,0,0,0
17-Jun-11,2011,9,Ice,3,0,0,0,1
17-Jun-11,2011,9,Ice,4,0,0,0,0
17-Jun-11,2011,9,Ice,5,0,0,0,5
17-Jun-11,2011,9,Ice,6,0,0,0,3
17-Jun-11,2011,9,Ice,7,0,0,0,3
17-Jun-11,2011,9,Ice,8,0,3,3,1
17-Jun-11,2011,9,Ice,9,0,1,1,2
17-Jun-11,2011,9,Ice,10,0,4,4,3
17-Jun-11,2011,9,Ice,11,0,1,1,0
17-Jun-11,2011,9,Ice,12,0,5,5,2
17-Jun-11,2011,9,Ice,13,0,0,0,0
17-Jun-11,2011,9,Ice,14,0,0,0,0
17-Jun-11,2011,9,Ice,15,0,0,0,0
8-May-12,East,2012,1,1,21,0,21,0
8-May-12,East,2012,1,2,35,0,35,0
8-May-12,East,2012,1,3,3,0,3,0
8-May-12,East,2012,1,4,15,0,15,0
8-May-12,East,2012,1,5,0,0,0,0
8-May-12,East,2012,1,6,0,0,0,0
8-May-12,East,2012,1,7,0,0,0,0
8-May-12,East,2012,1,8,0,0,0,0
8-May-12,East,2012,1,9,0,0,0,0
8-May-12,East,2012,1,10,7,0,7,0
8-May-12,East,2012,1,11,0,0,0,0
8-May-12,East,2012,1,12,2,0,2,0
8-May-12,East,2012,1,13,0,0,0,0
8-May-12,East,2012,1,14,0,0,0,0
8-May-12,East,2012,1,15,0,0,0,0
8-May-12,Black,2012,1,1,13,0,13,0
8-May-12,Black,2012,1,2,10,0,10,0
8-May-12,Black,2012,1,3,87,0,87,0
8-May-12,Black,2012,1,4,113,0,113,0
8-May-12,Black,2012,1,5,72,0,72,0
8-May-12,Black,2012,1,6,107,0,107,0
8-May-12,Black,2012,1,7,81,0,81,0
8-May-12,Black,2012,1,8,77,0,77,0
8-May-12,Black,2012,1,9,47,0,47,0
8-May-12,Black,2012,1,10,30,0,30,0
8-May-12,Black,2012,1,11,25,0,25,0
8-May-12,Black,2012,1,12,15,0,15,0
8-May-12,Black,2012,1,13,19,0,19,0
8-May-12,Black,2012,1,14,10,0,10,0
8-May-12,Black,2012,1,15,6,0,6,0
8-May-12,Ice,2012,1,1,0,0,0,0
8-May-12,Ice,2012,1,2,0,0,0,0
8-May-12,Ice,2012,1,3,1,0,1,0
8-May-12,Ice,2012,1,4,1,0,1,0
8-May-12,Ice,2012,1,5,0,0,0,0
