,Site,Year,SiteYear,Date,Time,DateTime,Temp,Type,FirstEmergence,PeakEmergence
24,Airport,2011,Airport2011,5/25/2011,0:00,5/25/2011 0:00,1,Air,,
25,Airport,2011,Airport2011,5/25/2011,1:00,5/25/2011 1:00,0,Air,,
26,Airport,2011,Airport2011,5/25/2011,2:00,5/25/2011 2:00,-2,Air,,
27,Airport,2011,Airport2011,5/25/2011,3:00,5/25/2011 3:00,-2,Air,,
28,Airport,2011,Airport2011,5/25/2011,4:00,5/25/2011 4:00,-3,Air,,
29,Airport,2011,Airport2011,5/25/2011,5:00,5/25/2011 5:00,-4,Air,,
30,Airport,2011,Airport2011,5/25/2011,6:00,5/25/2011 6:00,-2,Air,,
31,Airport,2011,Airport2011,5/25/2011,7:00,5/25/2011 7:00,-1,Air,,
32,Airport,2011,Airport2011,5/25/2011,8:00,5/25/2011 8:00,0,Air,,
33,Airport,2011,Airport2011,5/25/2011,9:00,5/25/2011 9:00,2,Air,,
34,Airport,2011,Airport2011,5/25/2011,10:00,5/25/2011 10:00,3,Air,,
35,Airport,2011,Airport2011,5/25/2011,11:00,5/25/2011 11:00,4,Air,,
36,Airport,2011,Airport2011,5/25/2011,12:00,5/25/2011 12:00,6,Air,,
37,Airport,2011,Airport2011,5/25/2011,13:00,5/25/2011 13:00,7,Air,,
38,Airport,2011,Airport2011,5/25/2011,14:00,5/25/2011 14:00,7,Air,,
39,Airport,2011,Airport2011,5/25/2011,15:00,5/25/2011 15:00,8,Air,,
40,Airport,2011,Airport2011,5/25/2011,16:00,5/25/2011 16:00,8,Air,,
41,Airport,2011,Airport2011,5/25/2011,17:00,5/25/2011 17:00,9,Air,,
43,Airport,2011,Airport2011,5/25/2011,19:00,5/25/2011 19:00,8,Air,,
44,Airport,2011,Airport2011,5/25/2011,20:00,5/25/2011 20:00,7,Air,,
45,Airport,2011,Airport2011,5/25/2011,21:00,5/25/2011 21:00,6,Air,,
46,Airport,2011,Airport2011,5/25/2011,22:00,5/25/2011 22:00,5,Air,,
47,Airport,2011,Airport2011,5/25/2011,23:00,5/25/2011 23:00,4,Air,,
48,Airport,2011,Airport2011,5/26/2011,0:00,5/26/2011 0:00,4,Air,,
49,Airport,2011,Airport2011,5/26/2011,1:00,5/26/2011 1:00,3,Air,,
50,Airport,2011,Airport2011,5/26/2011,2:00,5/26/2011 2:00,3,Air,,
51,Airport,2011,Airport2011,5/26/2011,3:00,5/26/2011 3:00,2,Air,,
52,Airport,2011,Airport2011,5/26/2011,4:00,5/26/2011 4:00,2,Air,,
53,Airport,2011,Airport2011,5/26/2011,5:00,5/26/2011 5:00,2,Air,,
54,Airport,2011,Airport2011,5/26/2011,6:00,5/26/2011 6:00,2,Air,,
55,Airport,2011,Airport2011,5/26/2011,7:00,5/26/2011 7:00,2,Air,,
56,Airport,2011,Airport2011,5/26/2011,8:00,5/26/2011 8:00,3,Air,,
57,Airport,2011,Airport2011,5/26/2011,9:00,5/26/2011 9:00,3,Air,,
58,Airport,2011,Airport2011,5/26/2011,10:00,5/26/2011 10:00,3,Air,,
59,Airport,2011,Airport2011,5/26/2011,11:00,5/26/2011 11:00,4,Air,,
60,Airport,2011,Airport2011,5/26/2011,12:00,5/26/2011 12:00,5,Air,,
61,Airport,2011,Airport2011,5/26/2011,13:00,5/26/2011 13:00,6,Air,,
62,Airport,2011,Airport2011,5/26/2011,14:00,5/26/2011 14:00,7,Air,,
63,Airport,2011,Airport2011,5/26/2011,15:00,5/26/2011 15:00,8,Air,,
64,Airport,2011,Airport2011,5/26/2011,16:00,5/26/2011 16:00,8,Air,,
65,Airport,2011,Airport2011,5/26/2011,17:00,5/26/2011 17:00,8,Air,,
66,Airport,2011,Airport2011,5/26/2011,18:00,5/26/2011 18:00,8,Air,,
67,Airport,2011,Airport2011,5/26/2011,19:00,5/26/2011 19:00,6,Air,,
68,Airport,2011,Airport2011,5/26/2011,20:00,5/26/2011 20:00,5,Air,,
69,Airport,2011,Airport2011,5/26/2011,21:00,5/26/2011 21:00,4,Air,,
70,Airport,2011,Airport2011,5/26/2011,22:00,5/26/2011 22:00,2,Air,,
71,Airport,2011,Airport2011,5/26/2011,23:00,5/26/2011 23:00,1,Air,,
72,Airport,2011,Airport2011,5/27/2011,0:00,5/27/2011 0:00,1,Air,,
73,Airport,2011,Airport2011,5/27/2011,1:00,5/27/2011 1:00,1,Air,,
74,Airport,2011,Airport2011,5/27/2011,2:00,5/27/2011 2:00,0,Air,,
75,Airport,2011,Airport2011,5/27/2011,3:00,5/27/2011 3:00,0,Air,,
76,Airport,2011,Airport2011,5/27/2011,4:00,5/27/2011 4:00,0,Air,,
77,Airport,2011,Airport2011,5/27/2011,5:00,5/27/2011 5:00,0,Air,,
78,Airport,2011,Airport2011,5/27/2011,6:00,5/27/2011 6:00,0,Air,,
79,Airport,2011,Airport2011,5/27/2011,7:00,5/27/2011 7:00,1,Air,,
80,Airport,2011,Airport2011,5/27/2011,8:00,5/27/2011 8:00,1,Air,,
81,Airport,2011,Airport2011,5/27/2011,9:00,5/27/2011 9:00,2,Air,,
82,Airport,2011,Airport2011,5/27/2011,10:00,5/27/2011 10:00,1,Air,,
83,Airport,2011,Airport2011,5/27/2011,11:00,5/27/2011 11:00,2,Air,,
84,Airport,2011,Airport2011,5/27/2011,12:00,5/27/2011 12:00,1,Air,,
85,Airport,2011,Airport2011,5/27/2011,13:00,5/27/2011 13:00,2,Air,,
86,Airport,2011,Airport2011,5/27/2011,14:00,5/27/2011 14:00,4,Air,,
87,Airport,2011,Airport2011,5/27/2011,15:00,5/27/2011 15:00,4,Air,,
88,Airport,2011,Airport2011,5/27/2011,16:00,5/27/2011 16:00,4,Air,,
89,Airport,2011,Airport2011,5/27/2011,17:00,5/27/2011 17:00,4,Air,,
90,Airport,2011,Airport2011,5/27/2011,18:00,5/27/2011 18:00,3,Air,,
91,Airport,2011,Airport2011,5/27/2011,19:00,5/27/2011 19:00,2,Air,,
92,Airport,2011,Airport2011,5/27/2011,20:00,5/27/2011 20:00,3,Air,,
93,Airport,2011,Airport2011,5/27/2011,21:00,5/27/2011 21:00,2,Air,,
94,Airport,2011,Airport2011,5/27/2011,22:00,5/27/2011 22:00,2,Air,,
95,Airport,2011,Airport2011,5/27/2011,23:00,5/27/2011 23:00,1,Air,,
96,Airport,2011,Airport2011,5/28/2011,0:00,5/28/2011 0:00,1,Air,,
97,Airport,2011,Airport2011,5/28/2011,1:00,5/28/2011 1:00,0,Air,,
98,Airport,2011,Airport2011,5/28/2011,2:00,5/28/2011 2:00,0,Air,,
99,Airport,2011,Airport2011,5/28/2011,3:00,5/28/2011 3:00,0,Air,,
100,Airport,2011,Airport2011,5/28/2011,4:00,5/28/2011 4:00,0,Air,,
101,Airport,2011,Airport2011,5/28/2011,5:00,5/28/2011 5:00,0,Air,,
102,Airport,2011,Airport2011,5/28/2011,6:00,5/28/2011 6:00,0,Air,,
103,Airport,2011,Airport2011,5/28/2011,7:00,5/28/2011 7:00,0,Air,,
105,Airport,2011,Airport2011,5/28/2011,9:00,5/28/2011 9:00,1,Air,,
106,Airport,2011,Airport2011,5/28/2011,10:00,5/28/2011 10:00,2,Air,,
107,Airport,2011,Airport2011,5/28/2011,11:00,5/28/2011 11:00,2,Air,,
108,Airport,2011,Airport2011,5/28/2011,12:00,5/28/2011 12:00,3,Air,,
109,Airport,2011,Airport2011,5/28/2011,13:00,5/28/2011 13:00,3,Air,,
111,Airport,2011,Airport2011,5/28/2011,15:00,5/28/2011 15:00,4,Air,,
112,Airport,2011,Airport2011,5/28/2011,16:00,5/28/2011 16:00,3,Air,,
113,Airport,2011,Airport2011,5/28/2011,17:00,5/28/2011 17:00,3,Air,,
114,Airport,2011,Airport2011,5/28/2011,18:00,5/28/2011 18:00,5,Air,,
115,Airport,2011,Airport2011,5/28/2011,19:00,5/28/2011 19:00,3,Air,,
116,Airport,2011,Airport2011,5/28/2011,20:00,5/28/2011 20:00,3,Air,,
117,Airport,2011,Airport2011,5/28/2011,21:00,5/28/2011 21:00,2,Air,,
118,Airport,2011,Airport2011,5/28/2011,22:00,5/28/2011 22:00,2,Air,,
119,Airport,2011,Airport2011,5/28/2011,23:00,5/28/2011 23:00,2,Air,,
120,Airport,2011,Airport2011,5/29/2011,0:00,5/29/2011 0:00,0,Air,,
121,Airport,2011,Airport2011,5/29/2011,1:00,5/29/2011 1:00,0,Air,,
122,Airport,2011,Airport2011,5/29/2011,2:00,5/29/2011 2:00,0,Air,,
123,Airport,2011,Airport2011,5/29/2011,3:00,5/29/2011 3:00,0,Air,,
124,Airport,2011,Airport2011,5/29/2011,4:00,5/29/2011 4:00,0,Air,,
125,Airport,2011,Airport2011,5/29/2011,5:00,5/29/2011 5:00,0,Air,,
127,Airport,2011,Airport2011,5/29/2011,7:00,5/29/2011 7:00,1,Air,,
128,Airport,2011,Airport2011,5/29/2011,8:00,5/29/2011 8:00,1,Air,,
129,Airport,2011,Airport2011,5/29/2011,9:00,5/29/2011 9:00,1,Air,,
130,Airport,2011,Airport2011,5/29/2011,10:00,5/29/2011 10:00,2,Air,,
131,Airport,2011,Airport2011,5/29/2011,11:00,5/29/2011 11:00,2,Air,,
132,Airport,2011,Airport2011,5/29/2011,12:00,5/29/2011 12:00,2,Air,,
133,Airport,2011,Airport2011,5/29/2011,13:00,5/29/2011 13:00,4,Air,,
134,Airport,2011,Airport2011,5/29/2011,14:00,5/29/2011 14:00,4,Air,,
135,Airport,2011,Airport2011,5/29/2011,15:00,5/29/2011 15:00,5,Air,,
136,Airport,2011,Airport2011,5/29/2011,16:00,5/29/2011 16:00,5,Air,,
137,Airport,2011,Airport2011,5/29/2011,17:00,5/29/2011 17:00,5,Air,,
138,Airport,2011,Airport2011,5/29/2011,18:00,5/29/2011 18:00,5,Air,,
139,Airport,2011,Airport2011,5/29/2011,19:00,5/29/2011 19:00,5,Air,,
140,Airport,2011,Airport2011,5/29/2011,20:00,5/29/2011 20:00,4,Air,,
141,Airport,2011,Airport2011,5/29/2011,21:00,5/29/2011 21:00,4,Air,,
142,Airport,2011,Airport2011,5/29/2011,22:00,5/29/2011 22:00,3,Air,,
143,Airport,2011,Airport2011,5/29/2011,23:00,5/29/2011 23:00,3,Air,,
144,Airport,2011,Airport2011,5/30/2011,0:00,5/30/2011 0:00,2,Air,,
145,Airport,2011,Airport2011,5/30/2011,1:00,5/30/2011 1:00,1,Air,,
146,Airport,2011,Airport2011,5/30/2011,2:00,5/30/2011 2:00,1,Air,,
147,Airport,2011,Airport2011,5/30/2011,3:00,5/30/2011 3:00,0,Air,,
148,Airport,2011,Airport2011,5/30/2011,4:00,5/30/2011 4:00,0,Air,,
149,Airport,2011,Airport2011,5/30/2011,5:00,5/30/2011 5:00,0,Air,,
150,Airport,2011,Airport2011,5/30/2011,6:00,5/30/2011 6:00,0,Air,,
151,Airport,2011,Airport2011,5/30/2011,7:00,5/30/2011 7:00,1,Air,,
152,Airport,2011,Airport2011,5/30/2011,8:00,5/30/2011 8:00,2,Air,,
153,Airport,2011,Airport2011,5/30/2011,9:00,5/30/2011 9:00,2,Air,,
154,Airport,2011,Airport2011,5/30/2011,10:00,5/30/2011 10:00,3,Air,,
155,Airport,2011,Airport2011,5/30/2011,11:00,5/30/2011 11:00,5,Air,,
156,Airport,2011,Airport2011,5/30/2011,12:00,5/30/2011 12:00,5,Air,,
157,Airport,2011,Airport2011,5/30/2011,13:00,5/30/2011 13:00,7,Air,,
158,Airport,2011,Airport2011,5/30/2011,14:00,5/30/2011 14:00,5,Air,,
159,Airport,2011,Airport2011,5/30/2011,15:00,5/30/2011 15:00,5,Air,,
160,Airport,2011,Airport2011,5/30/2011,16:00,5/30/2011 16:00,5,Air,,
161,Airport,2011,Airport2011,5/30/2011,17:00,5/30/2011 17:00,5,Air,,
162,Airport,2011,Airport2011,5/30/2011,18:00,5/30/2011 18:00,5,Air,,
163,Airport,2011,Airport2011,5/30/2011,19:00,5/30/2011 19:00,5,Air,,
164,Airport,2011,Airport2011,5/30/2011,20:00,5/30/2011 20:00,4,Air,,
165,Airport,2011,Airport2011,5/30/2011,21:00,5/30/2011 21:00,4,Air,,
166,Airport,2011,Airport2011,5/30/2011,22:00,5/30/2011 22:00,3,Air,,
167,Airport,2011,Airport2011,5/30/2011,23:00,5/30/2011 23:00,3,Air,,
168,Airport,2011,Airport2011,5/31/2011,0:00,5/31/2011 0:00,3,Air,,
169,Airport,2011,Airport2011,5/31/2011,1:00,5/31/2011 1:00,2,Air,,
170,Airport,2011,Airport2011,5/31/2011,2:00,5/31/2011 2:00,1,Air,,
171,Airport,2011,Airport2011,5/31/2011,3:00,5/31/2011 3:00,1,Air,,
172,Airport,2011,Airport2011,5/31/2011,4:00,5/31/2011 4:00,0,Air,,
173,Airport,2011,Airport2011,5/31/2011,5:00,5/31/2011 5:00,0,Air,,
174,Airport,2011,Airport2011,5/31/2011,6:00,5/31/2011 6:00,0,Air,,
175,Airport,2011,Airport2011,5/31/2011,7:00,5/31/2011 7:00,0,Air,,
176,Airport,2011,Airport2011,5/31/2011,8:00,5/31/2011 8:00,1,Air,,
177,Airport,2011,Airport2011,5/31/2011,9:00,5/31/2011 9:00,3,Air,,
178,Airport,2011,Airport2011,5/31/2011,10:00,5/31/2011 10:00,3,Air,,
179,Airport,2011,Airport2011,5/31/2011,11:00,5/31/2011 11:00,5,Air,,
180,Airport,2011,Airport2011,5/31/2011,12:00,5/31/2011 12:00,5,Air,,
181,Airport,2011,Airport2011,5/31/2011,13:00,5/31/2011 13:00,5,Air,,
182,Airport,2011,Airport2011,5/31/2011,14:00,5/31/2011 14:00,5,Air,,
183,Airport,2011,Airport2011,5/31/2011,15:00,5/31/2011 15:00,5,Air,,
184,Airport,2011,Airport2011,5/31/2011,16:00,5/31/2011 16:00,5,Air,,
185,Airport,2011,Airport2011,5/31/2011,17:00,5/31/2011 17:00,4,Air,,
186,Airport,2011,Airport2011,5/31/2011,18:00,5/31/2011 18:00,4,Air,,
187,Airport,2011,Airport2011,5/31/2011,19:00,5/31/2011 19:00,4,Air,,
188,Airport,2011,Airport2011,5/31/2011,20:00,5/31/2011 20:00,3,Air,,
189,Airport,2011,Airport2011,5/31/2011,21:00,5/31/2011 21:00,4,Air,,
190,Airport,2011,Airport2011,5/31/2011,22:00,5/31/2011 22:00,3,Air,,
191,Airport,2011,Airport2011,5/31/2011,23:00,5/31/2011 23:00,3,Air,,
192,Airport,2011,Airport2011,6/1/2011,0:00,6/1/2011 0:00,2,Air,,
193,Airport,2011,Airport2011,6/1/2011,1:00,6/1/2011 1:00,2,Air,,
194,Airport,2011,Airport2011,6/1/2011,2:00,6/1/2011 2:00,1,Air,,
195,Airport,2011,Airport2011,6/1/2011,3:00,6/1/2011 3:00,1,Air,,
196,Airport,2011,Airport2011,6/1/2011,4:00,6/1/2011 4:00,0,Air,,
197,Airport,2011,Airport2011,6/1/2011,5:00,6/1/2011 5:00,0,Air,,
198,Airport,2011,Airport2011,6/1/2011,6:00,6/1/2011 6:00,2,Air,,
199,Airport,2011,Airport2011,6/1/2011,7:00,6/1/2011 7:00,2,Air,,
200,Airport,2011,Airport2011,6/1/2011,8:00,6/1/2011 8:00,4,Air,,
201,Airport,2011,Airport2011,6/1/2011,9:00,6/1/2011 9:00,5,Air,,
202,Airport,2011,Airport2011,6/1/2011,10:00,6/1/2011 10:00,5,Air,,
203,Airport,2011,Airport2011,6/1/2011,11:00,6/1/2011 11:00,7,Air,,
204,Airport,2011,Airport2011,6/1/2011,12:00,6/1/2011 12:00,7,Air,,
205,Airport,2011,Airport2011,6/1/2011,13:00,6/1/2011 13:00,7,Air,,
206,Airport,2011,Airport2011,6/1/2011,14:00,6/1/2011 14:00,8,Air,,
207,Airport,2011,Airport2011,6/1/2011,15:00,6/1/2011 15:00,8,Air,,
208,Airport,2011,Airport2011,6/1/2011,16:00,6/1/2011 16:00,9,Air,,
209,Airport,2011,Airport2011,6/1/2011,17:00,6/1/2011 17:00,9,Air,,
210,Airport,2011,Airport2011,6/1/2011,18:00,6/1/2011 18:00,7,Air,,
211,Airport,2011,Airport2011,6/1/2011,19:00,6/1/2011 19:00,7,Air,,
212,Airport,2011,Airport2011,6/1/2011,20:00,6/1/2011 20:00,5,Air,,
213,Airport,2011,Airport2011,6/1/2011,21:00,6/1/2011 21:00,5,Air,,
214,Airport,2011,Airport2011,6/1/2011,22:00,6/1/2011 22:00,4,Air,,
215,Airport,2011,Airport2011,6/1/2011,23:00,6/1/2011 23:00,3,Air,,
216,Airport,2011,Airport2011,6/2/2011,0:00,6/2/2011 0:00,2,Air,,
217,Airport,2011,Airport2011,6/2/2011,1:00,6/2/2011 1:00,0,Air,,
218,Airport,2011,Airport2011,6/2/2011,2:00,6/2/2011 2:00,0,Air,,
219,Airport,2011,Airport2011,6/2/2011,3:00,6/2/2011 3:00,-1,Air,,
220,Airport,2011,Airport2011,6/2/2011,4:00,6/2/2011 4:00,-1,Air,,
222,Airport,2011,Airport2011,6/2/2011,6:00,6/2/2011 6:00,1,Air,,
223,Airport,2011,Airport2011,6/2/2011,7:00,6/2/2011 7:00,3,Air,,
224,Airport,2011,Airport2011,6/2/2011,8:00,6/2/2011 8:00,4,Air,,
225,Airport,2011,Airport2011,6/2/2011,9:00,6/2/2011 9:00,6,Air,,
226,Airport,2011,Airport2011,6/2/2011,10:00,6/2/2011 10:00,6,Air,,
227,Airport,2011,Airport2011,6/2/2011,11:00,6/2/2011 11:00,8,Air,,
228,Airport,2011,Airport2011,6/2/2011,12:00,6/2/2011 12:00,5,Air,,
229,Airport,2011,Airport2011,6/2/2011,13:00,6/2/2011 13:00,6,Air,,
230,Airport,2011,Airport2011,6/2/2011,14:00,6/2/2011 14:00,6,Air,,
231,Airport,2011,Airport2011,6/2/2011,15:00,6/2/2011 15:00,7,Air,,
232,Airport,2011,Airport2011,6/2/2011,16:00,6/2/2011 16:00,6,Air,,
233,Airport,2011,Airport2011,6/2/2011,17:00,6/2/2011 17:00,8,Air,,
234,Airport,2011,Airport2011,6/2/2011,18:00,6/2/2011 18:00,8,Air,,
235,Airport,2011,Airport2011,6/2/2011,19:00,6/2/2011 19:00,8,Air,,
237,Airport,2011,Airport2011,6/2/2011,21:00,6/2/2011 21:00,4,Air,,
238,Airport,2011,Airport2011,6/2/2011,22:00,6/2/2011 22:00,3,Air,,
239,Airport,2011,Airport2011,6/2/2011,23:00,6/2/2011 23:00,3,Air,,
240,Airport,2011,Airport2011,6/3/2011,0:00,6/3/2011 0:00,2,Air,,
241,Airport,2011,Airport2011,6/3/2011,1:00,6/3/2011 1:00,1,Air,,
242,Airport,2011,Airport2011,6/3/2011,2:00,6/3/2011 2:00,0,Air,,
243,Airport,2011,Airport2011,6/3/2011,3:00,6/3/2011 3:00,0,Air,,
244,Airport,2011,Airport2011,6/3/2011,4:00,6/3/2011 4:00,0,Air,,
245,Airport,2011,Airport2011,6/3/2011,5:00,6/3/2011 5:00,0,Air,,
246,Airport,2011,Airport2011,6/3/2011,6:00,6/3/2011 6:00,2,Air,,
247,Airport,2011,Airport2011,6/3/2011,7:00,6/3/2011 7:00,3,Air,,
248,Airport,2011,Airport2011,6/3/2011,8:00,6/3/2011 8:00,5,Air,,
249,Airport,2011,Airport2011,6/3/2011,9:00,6/3/2011 9:00,7,Air,,
250,Airport,2011,Airport2011,6/3/2011,10:00,6/3/2011 10:00,8,Air,,
251,Airport,2011,Airport2011,6/3/2011,11:00,6/3/2011 11:00,9,Air,,
252,Airport,2011,Airport2011,6/3/2011,12:00,6/3/2011 12:00,7,Air,,
253,Airport,2011,Airport2011,6/3/2011,13:00,6/3/2011 13:00,9,Air,,
254,Airport,2011,Airport2011,6/3/2011,14:00,6/3/2011 14:00,8,Air,,
255,Airport,2011,Airport2011,6/3/2011,15:00,6/3/2011 15:00,9,Air,,
256,Airport,2011,Airport2011,6/3/2011,16:00,6/3/2011 16:00,7,Air,,
257,Airport,2011,Airport2011,6/3/2011,17:00,6/3/2011 17:00,9,Air,,
258,Airport,2011,Airport2011,6/3/2011,18:00,6/3/2011 18:00,9,Air,,
259,Airport,2011,Airport2011,6/3/2011,19:00,6/3/2011 19:00,9,Air,,
260,Airport,2011,Airport2011,6/3/2011,20:00,6/3/2011 20:00,7,Air,,
261,Airport,2011,Airport2011,6/3/2011,21:00,6/3/2011 21:00,6,Air,,
262,Airport,2011,Airport2011,6/3/2011,22:00,6/3/2011 22:00,4,Air,,
263,Airport,2011,Airport2011,6/3/2011,23:00,6/3/2011 23:00,4,Air,,
264,Airport,2011,Airport2011,6/4/2011,0:00,6/4/2011 0:00,3,Air,,
265,Airport,2011,Airport2011,6/4/2011,1:00,6/4/2011 1:00,3,Air,,
266,Airport,2011,Airport2011,6/4/2011,2:00,6/4/2011 2:00,3,Air,,
267,Airport,2011,Airport2011,6/4/2011,3:00,6/4/2011 3:00,2,Air,,
268,Airport,2011,Airport2011,6/4/2011,4:00,6/4/2011 4:00,2,Air,,
269,Airport,2011,Airport2011,6/4/2011,5:00,6/4/2011 5:00,2,Air,,
270,Airport,2011,Airport2011,6/4/2011,6:00,6/4/2011 6:00,3,Air,,
271,Airport,2011,Airport2011,6/4/2011,7:00,6/4/2011 7:00,3,Air,,
272,Airport,2011,Airport2011,6/4/2011,8:00,6/4/2011 8:00,3,Air,,
273,Airport,2011,Airport2011,6/4/2011,9:00,6/4/2011 9:00,4,Air,,
274,Airport,2011,Airport2011,6/4/2011,10:00,6/4/2011 10:00,5,Air,,
275,Airport,2011,Airport2011,6/4/2011,11:00,6/4/2011 11:00,7,Air,,
276,Airport,2011,Airport2011,6/4/2011,12:00,6/4/2011 12:00,8,Air,,
277,Airport,2011,Airport2011,6/4/2011,13:00,6/4/2011 13:00,10,Air,,
278,Airport,2011,Airport2011,6/4/2011,14:00,6/4/2011 14:00,11,Air,,
279,Airport,2011,Airport2011,6/4/2011,15:00,6/4/2011 15:00,9,Air,,
280,Airport,2011,Airport2011,6/4/2011,16:00,6/4/2011 16:00,10,Air,,
281,Airport,2011,Airport2011,6/4/2011,17:00,6/4/2011 17:00,11,Air,,
282,Airport,2011,Airport2011,6/4/2011,18:00,6/4/2011 18:00,11,Air,,
283,Airport,2011,Airport2011,6/4/2011,19:00,6/4/2011 19:00,10,Air,,
284,Airport,2011,Airport2011,6/4/2011,20:00,6/4/2011 20:00,9,Air,,
285,Airport,2011,Airport2011,6/4/2011,21:00,6/4/2011 21:00,9,Air,,
286,Airport,2011,Airport2011,6/4/2011,22:00,6/4/2011 22:00,8,Air,,
287,Airport,2011,Airport2011,6/4/2011,23:00,6/4/2011 23:00,8,Air,,
288,Airport,2011,Airport2011,6/5/2011,0:00,6/5/2011 0:00,7,Air,,
289,Airport,2011,Airport2011,6/5/2011,1:00,6/5/2011 1:00,7,Air,,
290,Airport,2011,Airport2011,6/5/2011,2:00,6/5/2011 2:00,6,Air,,
291,Airport,2011,Airport2011,6/5/2011,3:00,6/5/2011 3:00,6,Air,,
292,Airport,2011,Airport2011,6/5/2011,4:00,6/5/2011 4:00,6,Air,,
293,Airport,2011,Airport2011,6/5/2011,5:00,6/5/2011 5:00,5,Air,,
294,Airport,2011,Airport2011,6/5/2011,6:00,6/5/2011 6:00,6,Air,,
295,Airport,2011,Airport2011,6/5/2011,7:00,6/5/2011 7:00,7,Air,,
296,Airport,2011,Airport2011,6/5/2011,8:00,6/5/2011 8:00,9,Air,,
297,Airport,2011,Airport2011,6/5/2011,9:00,6/5/2011 9:00,11,Air,,
298,Airport,2011,Airport2011,6/5/2011,10:00,6/5/2011 10:00,13,Air,,
299,Airport,2011,Airport2011,6/5/2011,11:00,6/5/2011 11:00,14,Air,,
300,Airport,2011,Airport2011,6/5/2011,12:00,6/5/2011 12:00,16,Air,,
301,Airport,2011,Airport2011,6/5/2011,13:00,6/5/2011 13:00,17,Air,,
302,Airport,2011,Airport2011,6/5/2011,14:00,6/5/2011 14:00,18,Air,,
303,Airport,2011,Airport2011,6/5/2011,15:00,6/5/2011 15:00,18,Air,,
304,Airport,2011,Airport2011,6/5/2011,16:00,6/5/2011 16:00,18,Air,,
305,Airport,2011,Airport2011,6/5/2011,17:00,6/5/2011 17:00,19,Air,,
306,Airport,2011,Airport2011,6/5/2011,18:00,6/5/2011 18:00,19,Air,,
307,Airport,2011,Airport2011,6/5/2011,19:00,6/5/2011 19:00,19,Air,,
308,Airport,2011,Airport2011,6/5/2011,20:00,6/5/2011 20:00,18,Air,,
309,Airport,2011,Airport2011,6/5/2011,21:00,6/5/2011 21:00,17,Air,,
310,Airport,2011,Airport2011,6/5/2011,22:00,6/5/2011 22:00,12,Air,,
311,Airport,2011,Airport2011,6/5/2011,23:00,6/5/2011 23:00,11,Air,,
312,Airport,2011,Airport2011,6/6/2011,0:00,6/6/2011 0:00,10,Air,,
313,Airport,2011,Airport2011,6/6/2011,1:00,6/6/2011 1:00,9,Air,,
314,Airport,2011,Airport2011,6/6/2011,2:00,6/6/2011 2:00,9,Air,,
315,Airport,2011,Airport2011,6/6/2011,3:00,6/6/2011 3:00,8,Air,,
316,Airport,2011,Airport2011,6/6/2011,4:00,6/6/2011 4:00,8,Air,,
317,Airport,2011,Airport2011,6/6/2011,5:00,6/6/2011 5:00,8,Air,,
318,Airport,2011,Airport2011,6/6/2011,6:00,6/6/2011 6:00,8,Air,,
319,Airport,2011,Airport2011,6/6/2011,7:00,6/6/2011 7:00,9,Air,,
320,Airport,2011,Airport2011,6/6/2011,8:00,6/6/2011 8:00,7,Air,,
321,Airport,2011,Airport2011,6/6/2011,9:00,6/6/2011 9:00,7,Air,,
322,Airport,2011,Airport2011,6/6/2011,10:00,6/6/2011 10:00,7,Air,,
