Date,Day,Site,Year,SiteYear,Sample,Larvae,Pupae,Total,Beetle,logTotal
8-Jun-11,8-Jun-17,Black,2011,Black2011,14,24,3,27,0,3.33220451
8-Jun-11,8-Jun-17,Black,2011,Black2011,4,16,8,24,0,3.218875825
8-Jun-11,8-Jun-17,Black,2011,Black2011,5,20,4,24,0,3.218875825
8-Jun-11,8-Jun-17,Black,2011,Black2011,11,17,7,24,0,3.218875825
8-Jun-11,8-Jun-17,Black,2011,Black2011,12,15,7,22,1,3.135494216
8-Jun-11,8-Jun-17,Black,2011,Black2011,9,11,7,18,0,2.944438979
8-Jun-11,8-Jun-17,Black,2011,Black2011,13,8,6,14,0,2.708050201
8-Jun-11,8-Jun-17,Black,2011,Black2011,3,9,4,13,0,2.63905733
8-Jun-11,8-Jun-17,Black,2011,Black2011,2,8,1,9,0,2.302585093
8-Jun-11,8-Jun-17,Black,2011,Black2011,15,8,1,9,0,2.302585093
8-Jun-11,8-Jun-17,Black,2011,Black2011,1,6,0,6,0,1.945910149
8-Jun-11,8-Jun-17,Black,2011,Black2011,10,5,0,5,0,1.791759469
13-Jun-11,13-Jun-17,Black,2011,Black2011,9,0,19,19,3,2.995732274
13-Jun-11,13-Jun-17,Black,2011,Black2011,12,0,14,14,5,2.708050201
13-Jun-11,13-Jun-17,Black,2011,Black2011,14,0,12,12,3,2.564949357
13-Jun-11,13-Jun-17,Black,2011,Black2011,10,0,9,9,1,2.302585093
13-Jun-11,13-Jun-17,Black,2011,Black2011,5,0,8,8,1,2.197224577
13-Jun-11,13-Jun-17,Black,2011,Black2011,6,0,8,8,0,2.197224577
13-Jun-11,13-Jun-17,Black,2011,Black2011,3,0,7,7,1,2.079441542
13-Jun-11,13-Jun-17,Black,2011,Black2011,1,0,6,6,2,1.945910149
13-Jun-11,13-Jun-17,Black,2011,Black2011,4,0,6,6,1,1.945910149
13-Jun-11,13-Jun-17,Black,2011,Black2011,8,0,6,6,1,1.945910149
13-Jun-11,13-Jun-17,Black,2011,Black2011,2,0,4,4,3,1.609437912
13-Jun-11,13-Jun-17,Black,2011,Black2011,11,0,4,4,2,1.609437912
13-Jun-11,13-Jun-17,Black,2011,Black2011,13,0,4,4,0,1.609437912
13-Jun-11,13-Jun-17,Black,2011,Black2011,15,0,4,4,2,1.609437912
13-Jun-11,13-Jun-17,Black,2011,Black2011,7,0,2,2,1,1.098612289
15-Jun-11,15-Jun-17,Black,2011,Black2011,3,0,7,7,0,2.079441542
15-Jun-11,15-Jun-17,Black,2011,Black2011,2,0,5,5,0,1.791759469
15-Jun-11,15-Jun-17,Black,2011,Black2011,7,0,4,4,1,1.609437912
15-Jun-11,15-Jun-17,Black,2011,Black2011,5,0,3,3,0,1.386294361
15-Jun-11,15-Jun-17,Black,2011,Black2011,6,0,3,3,2,1.386294361
15-Jun-11,15-Jun-17,Black,2011,Black2011,8,0,3,3,1,1.386294361
15-Jun-11,15-Jun-17,Black,2011,Black2011,15,0,3,3,1,1.386294361
15-Jun-11,15-Jun-17,Black,2011,Black2011,13,0,2,2,0,1.098612289
15-Jun-11,15-Jun-17,Black,2011,Black2011,14,0,2,2,0,1.098612289
15-Jun-11,15-Jun-17,Black,2011,Black2011,1,0,1,1,1,0.693147181
15-Jun-11,15-Jun-17,Black,2011,Black2011,4,0,1,1,1,0.693147181
15-Jun-11,15-Jun-17,Black,2011,Black2011,9,0,1,1,0,0.693147181
15-Jun-11,15-Jun-17,Black,2011,Black2011,12,0,1,1,0,0.693147181
15-Jun-11,15-Jun-17,Black,2011,Black2011,10,0,0,0,2,0
15-Jun-11,15-Jun-17,Black,2011,Black2011,11,0,0,0,1,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,15,0,6,6,0,1.945910149
17-Jun-11,17-Jun-17,Black,2011,Black2011,3,0,3,3,2,1.386294361
17-Jun-11,17-Jun-17,Black,2011,Black2011,14,0,3,3,1,1.386294361
17-Jun-11,17-Jun-17,Black,2011,Black2011,13,0,2,2,0,1.098612289
17-Jun-11,17-Jun-17,Black,2011,Black2011,11,0,1,1,1,0.693147181
17-Jun-11,17-Jun-17,Black,2011,Black2011,1,0,0,0,1,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,2,0,0,0,1,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,4,0,0,0,3,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,5,0,0,0,0,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,6,0,0,0,1,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,7,0,0,0,0,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,8,0,0,0,2,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,9,0,0,0,2,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,10,0,0,0,1,0
17-Jun-11,17-Jun-17,Black,2011,Black2011,12,0,0,0,0,0
8-May-12,8-May-17,Black,2012,Black2012,4,113,0,113,0,4.736198448
8-May-12,8-May-17,Black,2012,Black2012,6,107,0,107,0,4.682131227
8-May-12,8-May-17,Black,2012,Black2012,3,87,0,87,0,4.477336814
8-May-12,8-May-17,Black,2012,Black2012,7,81,0,81,0,4.406719247
8-May-12,8-May-17,Black,2012,Black2012,8,77,0,77,0,4.356708827
8-May-12,8-May-17,Black,2012,Black2012,5,72,0,72,0,4.290459441
8-May-12,8-May-17,Black,2012,Black2012,9,47,0,47,0,3.871201011
8-May-12,8-May-17,Black,2012,Black2012,10,30,0,30,0,3.433987204
8-May-12,8-May-17,Black,2012,Black2012,11,25,0,25,0,3.258096538
8-May-12,8-May-17,Black,2012,Black2012,13,19,0,19,0,2.995732274
8-May-12,8-May-17,Black,2012,Black2012,12,15,0,15,0,2.772588722
8-May-12,8-May-17,Black,2012,Black2012,1,13,0,13,0,2.63905733
8-May-12,8-May-17,Black,2012,Black2012,2,10,0,10,0,2.397895273
8-May-12,8-May-17,Black,2012,Black2012,14,10,0,10,0,2.397895273
8-May-12,8-May-17,Black,2012,Black2012,15,6,0,6,0,1.945910149
11-May-12,11-May-17,Black,2012,Black2012,8,98,0,98,0,4.59511985
11-May-12,11-May-17,Black,2012,Black2012,3,60,0,60,0,4.110873864
11-May-12,11-May-17,Black,2012,Black2012,11,57,0,57,0,4.060443011
11-May-12,11-May-17,Black,2012,Black2012,6,53,0,53,0,3.988984047
11-May-12,11-May-17,Black,2012,Black2012,4,43,0,43,0,3.784189634
11-May-12,11-May-17,Black,2012,Black2012,7,34,0,34,0,3.555348061
11-May-12,11-May-17,Black,2012,Black2012,9,33,0,33,0,3.526360525
11-May-12,11-May-17,Black,2012,Black2012,5,31,0,31,0,3.465735903
11-May-12,11-May-17,Black,2012,Black2012,15,28,0,28,0,3.36729583
11-May-12,11-May-17,Black,2012,Black2012,13,26,0,26,0,3.295836866
11-May-12,11-May-17,Black,2012,Black2012,10,19,0,19,0,2.995732274
11-May-12,11-May-17,Black,2012,Black2012,2,18,0,18,0,2.944438979
11-May-12,11-May-17,Black,2012,Black2012,12,17,0,17,0,2.890371758
11-May-12,11-May-17,Black,2012,Black2012,1,11,0,11,0,2.48490665
11-May-12,11-May-17,Black,2012,Black2012,14,11,0,11,0,2.48490665
14-May-12,14-May-17,Black,2012,Black2012,12,100,0,100,0,4.615120517
14-May-12,14-May-17,Black,2012,Black2012,3,62,0,62,0,4.143134726
14-May-12,14-May-17,Black,2012,Black2012,15,55,0,55,0,4.025351691
14-May-12,14-May-17,Black,2012,Black2012,13,52,0,52,0,3.970291914
14-May-12,14-May-17,Black,2012,Black2012,14,50,0,50,0,3.931825633
14-May-12,14-May-17,Black,2012,Black2012,1,47,0,47,0,3.871201011
14-May-12,14-May-17,Black,2012,Black2012,4,46,0,46,0,3.850147602
14-May-12,14-May-17,Black,2012,Black2012,5,45,0,45,0,3.828641396
14-May-12,14-May-17,Black,2012,Black2012,2,42,0,42,0,3.761200116
14-May-12,14-May-17,Black,2012,Black2012,10,38,0,38,0,3.663561646
14-May-12,14-May-17,Black,2012,Black2012,6,36,0,36,0,3.610917913
14-May-12,14-May-17,Black,2012,Black2012,7,34,0,34,0,3.555348061
14-May-12,14-May-17,Black,2012,Black2012,9,26,0,26,0,3.295836866
14-May-12,14-May-17,Black,2012,Black2012,8,21,0,21,0,3.091042453
14-May-12,14-May-17,Black,2012,Black2012,11,18,0,18,0,2.944438979
16-May-12,16-May-17,Black,2012,Black2012,11,53,0,53,0,3.988984047
16-May-12,16-May-17,Black,2012,Black2012,14,41,0,41,0,3.737669618
16-May-12,16-May-17,Black,2012,Black2012,13,36,0,36,0,3.610917913
16-May-12,16-May-17,Black,2012,Black2012,5,35,0,35,0,3.583518938
16-May-12,16-May-17,Black,2012,Black2012,8,30,0,30,0,3.433987204
16-May-12,16-May-17,Black,2012,Black2012,12,30,0,30,0,3.433987204
16-May-12,16-May-17,Black,2012,Black2012,15,24,0,24,0,3.218875825
16-May-12,16-May-17,Black,2012,Black2012,4,21,0,21,0,3.091042453
16-May-12,16-May-17,Black,2012,Black2012,6,18,0,18,0,2.944438979
16-May-12,16-May-17,Black,2012,Black2012,10,17,0,17,0,2.890371758
16-May-12,16-May-17,Black,2012,Black2012,9,14,0,14,0,2.708050201
16-May-12,16-May-17,Black,2012,Black2012,2,12,0,12,0,2.564949357
16-May-12,16-May-17,Black,2012,Black2012,3,12,0,12,0,2.564949357
16-May-12,16-May-17,Black,2012,Black2012,7,10,0,10,0,2.397895273
16-May-12,16-May-17,Black,2012,Black2012,1,7,0,7,0,2.079441542
18-May-12,18-May-17,Black,2012,Black2012,6,25,0,25,0,3.258096538
18-May-12,18-May-17,Black,2012,Black2012,11,23,0,23,0,3.17805383
18-May-12,18-May-17,Black,2012,Black2012,15,21,0,21,0,3.091042453
18-May-12,18-May-17,Black,2012,Black2012,14,20,0,20,0,3.044522438
18-May-12,18-May-17,Black,2012,Black2012,2,18,0,18,0,2.944438979
18-May-12,18-May-17,Black,2012,Black2012,1,17,0,17,0,2.890371758
18-May-12,18-May-17,Black,2012,Black2012,5,16,0,16,0,2.833213344
18-May-12,18-May-17,Black,2012,Black2012,4,14,0,14,0,2.708050201
18-May-12,18-May-17,Black,2012,Black2012,3,10,0,10,0,2.397895273
18-May-12,18-May-17,Black,2012,Black2012,7,10,0,10,0,2.397895273
18-May-12,18-May-17,Black,2012,Black2012,8,9,0,9,0,2.302585093
18-May-12,18-May-17,Black,2012,Black2012,12,9,0,9,0,2.302585093
18-May-12,18-May-17,Black,2012,Black2012,13,8,0,8,0,2.197224577
18-May-12,18-May-17,Black,2012,Black2012,9,6,0,6,0,1.945910149
18-May-12,18-May-17,Black,2012,Black2012,10,6,0,6,0,1.945910149
21-May-12,21-May-17,Black,2012,Black2012,12,36,0,36,1,3.610917913
21-May-12,21-May-17,Black,2012,Black2012,5,29,0,29,0,3.401197382
21-May-12,21-May-17,Black,2012,Black2012,1,26,0,26,0,3.295836866
21-May-12,21-May-17,Black,2012,Black2012,3,17,1,18,1,2.944438979
21-May-12,21-May-17,Black,2012,Black2012,15,16,0,16,0,2.833213344
21-May-12,21-May-17,Black,2012,Black2012,8,15,0,15,0,2.772588722
21-May-12,21-May-17,Black,2012,Black2012,14,15,0,15,0,2.772588722
21-May-12,21-May-17,Black,2012,Black2012,4,13,1,14,0,2.708050201
21-May-12,21-May-17,Black,2012,Black2012,7,13,0,13,0,2.63905733
21-May-12,21-May-17,Black,2012,Black2012,11,9,0,9,0,2.302585093
21-May-12,21-May-17,Black,2012,Black2012,6,8,0,8,0,2.197224577
21-May-12,21-May-17,Black,2012,Black2012,10,8,0,8,0,2.197224577
21-May-12,21-May-17,Black,2012,Black2012,13,6,0,6,0,1.945910149
21-May-12,21-May-17,Black,2012,Black2012,2,4,0,4,0,1.609437912
21-May-12,21-May-17,Black,2012,Black2012,9,4,0,4,0,1.609437912
23-May-12,23-May-17,Black,2012,Black2012,14,14,9,23,0,3.17805383
23-May-12,23-May-17,Black,2012,Black2012,6,5,13,18,0,2.944438979
23-May-12,23-May-17,Black,2012,Black2012,2,10,0,10,0,2.397895273
23-May-12,23-May-17,Black,2012,Black2012,12,7,2,9,0,2.302585093
23-May-12,23-May-17,Black,2012,Black2012,3,6,2,8,0,2.197224577
23-May-12,23-May-17,Black,2012,Black2012,5,3,5,8,1,2.197224577
23-May-12,23-May-17,Black,2012,Black2012,9,3,4,7,0,2.079441542
23-May-12,23-May-17,Black,2012,Black2012,13,5,2,7,1,2.079441542
23-May-12,23-May-17,Black,2012,Black2012,1,4,2,6,2,1.945910149
23-May-12,23-May-17,Black,2012,Black2012,7,5,1,6,0,1.945910149
23-May-12,23-May-17,Black,2012,Black2012,15,3,2,5,0,1.791759469
23-May-12,23-May-17,Black,2012,Black2012,4,4,0,4,0,1.609437912
23-May-12,23-May-17,Black,2012,Black2012,8,4,0,4,0,1.609437912
23-May-12,23-May-17,Black,2012,Black2012,11,2,0,2,0,1.098612289
23-May-12,23-May-17,Black,2012,Black2012,10,1,0,1,1,0.693147181
28-May-12,28-May-17,Black,2012,Black2012,14,1,17,18,1,2.944438979
28-May-12,28-May-17,Black,2012,Black2012,15,0,12,12,0,2.564949357
28-May-12,28-May-17,Black,2012,Black2012,1,0,11,11,0,2.48490665
28-May-12,28-May-17,Black,2012,Black2012,4,0,6,6,0,1.945910149
28-May-12,28-May-17,Black,2012,Black2012,12,0,6,6,3,1.945910149
28-May-12,28-May-17,Black,2012,Black2012,6,0,5,5,1,1.791759469
28-May-12,28-May-17,Black,2012,Black2012,7,1,4,5,2,1.791759469
28-May-12,28-May-17,Black,2012,Black2012,5,1,3,4,1,1.609437912
28-May-12,28-May-17,Black,2012,Black2012,8,0,3,3,0,1.386294361
28-May-12,28-May-17,Black,2012,Black2012,2,0,2,2,3,1.098612289
28-May-12,28-May-17,Black,2012,Black2012,9,0,2,2,1,1.098612289
28-May-12,28-May-17,Black,2012,Black2012,11,0,2,2,1,1.098612289
28-May-12,28-May-17,Black,2012,Black2012,10,0,1,1,2,0.693147181
28-May-12,28-May-17,Black,2012,Black2012,13,0,1,1,0,0.693147181
28-May-12,28-May-17,Black,2012,Black2012,3,0,0,0,0,0
31-May-12,31-May-17,Black,2012,Black2012,15,0,10,10,0,2.397895273
31-May-12,31-May-17,Black,2012,Black2012,12,0,8,8,0,2.197224577
31-May-12,31-May-17,Black,2012,Black2012,10,0,7,7,0,2.079441542
31-May-12,31-May-17,Black,2012,Black2012,14,0,5,5,0,1.791759469
31-May-12,31-May-17,Black,2012,Black2012,1,0,4,4,0,1.609437912
31-May-12,31-May-17,Black,2012,Black2012,6,0,4,4,0,1.609437912
31-May-12,31-May-17,Black,2012,Black2012,2,0,3,3,0,1.386294361
31-May-12,31-May-17,Black,2012,Black2012,8,0,2,2,1,1.098612289
31-May-12,31-May-17,Black,2012,Black2012,11,0,2,2,0,1.098612289
31-May-12,31-May-17,Black,2012,Black2012,9,0,1,1,0,0.693147181
31-May-12,31-May-17,Black,2012,Black2012,13,0,1,1,0,0.693147181
31-May-12,31-May-17,Black,2012,Black2012,3,0,0,0,0,0
31-May-12,31-May-17,Black,2012,Black2012,4,0,0,0,0,0
31-May-12,31-May-17,Black,2012,Black2012,5,0,0,0,0,0
31-May-12,31-May-17,Black,2012,Black2012,7,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,5,0,1,1,0,0.693147181
4-Jun-12,4-Jun-17,Black,2012,Black2012,1,0,0,0,1,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,2,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,3,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,4,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,6,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,7,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,8,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,9,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,10,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,11,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,12,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,13,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,14,0,0,0,0,0
4-Jun-12,4-Jun-17,Black,2012,Black2012,15,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,1,0,0,0,1,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,2,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,3,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,4,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,5,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,6,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,7,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,8,0,0,0,1,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,9,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,10,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,11,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,12,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,13,0,0,0,1,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,14,0,0,0,0,0
7-Jun-12,7-Jun-17,Black,2012,Black2012,15,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,1,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,2,0,0,0,4,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,3,0,0,0,1,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,4,0,0,0,1,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,5,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,6,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,7,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,8,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,9,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,10,0,0,0,1,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,11,0,0,0,1,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,12,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,13,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,14,0,0,0,0,0
12-Jun-12,12-Jun-17,Black,2012,Black2012,15,0,0,0,0,0
24-May-16,24-May-17,Black,2016,Black2016(dry),0,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,10,6,0,6,0,1.945910149
17-May-17,17-May-17,Black,2017,Black2017,5,1,0,1,0,0.693147181
17-May-17,17-May-17,Black,2017,Black2017,11,1,0,1,0,0.693147181
17-May-17,17-May-17,Black,2017,Black2017,12,1,0,1,0,0.693147181
17-May-17,17-May-17,Black,2017,Black2017,1,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,2,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,3,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,4,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,6,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,7,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,8,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,9,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,13,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,14,0,0,0,0,0
17-May-17,17-May-17,Black,2017,Black2017,15,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,5,1,0,1,0,0.693147181
22-May-17,22-May-17,Black,2017,Black2017,1,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,2,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,3,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,4,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,6,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,7,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,8,0,0,0,1,0
22-May-17,22-May-17,Black,2017,Black2017,9,0,0,0,0,0
22-May-17,22-May-17,Black,2017,Black2017,10,0,0,0,0,0
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,9,4,48,52,0,3.970291914
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,1,1,41,42,0,3.761200116
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,7,3,34,37,0,3.63758616
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,3,1,27,28,0,3.36729583
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,8,5,20,25,0,3.258096538
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,4,7,15,22,0,3.135494216
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,5,4,16,20,0,3.044522438
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,2,0,19,19,0,2.995732274
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,10,2,10,12,0,2.564949357
1-Jun-17,1-Jun-17,Dispersal pond,2017,Dispersal pond2017,6,0,5,5,0,1.791759469
24-May-11,24-May-17,East,2011,East2011,15,53,0,53,0,3.988984047
24-May-11,24-May-17,East,2011,East2011,1,47,0,47,0,3.871201011
24-May-11,24-May-17,East,2011,East2011,10,35,0,35,0,3.583518938
24-May-11,24-May-17,East,2011,East2011,4,31,0,31,0,3.465735903
24-May-11,24-May-17,East,2011,East2011,6,28,0,28,0,3.36729583
24-May-11,24-May-17,East,2011,East2011,2,26,0,26,0,3.295836866
24-May-11,24-May-17,East,2011,East2011,5,26,0,26,0,3.295836866
24-May-11,24-May-17,East,2011,East2011,3,24,0,24,0,3.218875825
24-May-11,24-May-17,East,2011,East2011,11,24,0,24,0,3.218875825
24-May-11,24-May-17,East,2011,East2011,13,24,0,24,0,3.218875825
24-May-11,24-May-17,East,2011,East2011,8,19,0,19,0,2.995732274
24-May-11,24-May-17,East,2011,East2011,14,16,0,16,0,2.833213344
