"","Date","Day","Site","Year","SiteYear","lnMeanmasslarvae","lnvariancemasslarvae","lnStdevmasslarvae","lnSterror"
"33","26-May-17","26-May-17","Vulgaris road",2017,"Vulgaris road2017",4.6503501357205,0.0587871559828731,0.242460627696278,0.0571485180049283
"34","26-May-17","26-May-17","Vulgaris small",2017,"Vulgaris small2017",4.59953249139384,0.117470353693311,0.342739483709291,0.080784471037072
"35","28-May-17","28-May-17","SBS",2017,"SBS2017",4.49440148129713,0.227530100351831,0.477001153407233,0.119250288351808
"36","28-May-17","28-May-17","ShotgunFairy",2017,"ShotgunFairy2017",4.81425981499082,0.216592839679978,0.465395358464154,0.120164564848927
"37","29-May-17","29-May-17","Ice",2017,"Ice2017",4.53668695030519,0.158063319461855,0.397571779005824,0.0613466573509871
"38","29-May-17","29-May-17","SeahorseWetland",2017,"SeahorseWetland2017",4.0220440444412,0.293127786770063,0.541412769308282,0.150160884687074
"39","29-May-17","29-May-17","Target",2017,"Target2017",4.76087442860882,0.0950787371011157,0.308348402138094,0.125882708040141
"40","4-Jun-17","4-Jun-17","East",2017,"East2017",4.77123997604566,0.0444172209605264,0.210753934626441,0.0483502685784335
"41","4-Jun-17","4-Jun-17","Ice",2017,"Ice2017",4.97916438595096,0.112987932043549,0.336136775797516,0.0485171644978071
"42","4-Jun-17","4-Jun-17","Mozvalley",2017,"Mozvalley2017",4.64917884336295,0.0787789579930911,0.280675894927033,0.0512441729998287
"43","4-Jun-17","4-Jun-17","SeahorseWetland",2017,"SeahorseWetland2017",4.65424924309347,0.0573379467334407,0.239453433329825,0.04232978662148
"44","4-Jun-17","4-Jun-17","Target",2017,"Target2017",5.06224094775412,0.0344624880250228,0.185640749904278,0.0301149062692525
"45","4-Jun-17","4-Jun-17","Vulgaris small",2017,"Vulgaris small2017",4.90589226251315,0.172458736203221,0.41528151440104,0.0656617727835651
"46","5-Jun-11","5-Jun-17","Black",2011,"Black2011",4.89513286206513,0.0495201628396885,0.222531262611995,0.0311606095109183
"47","5-Jun-11","5-Jun-17","East",2011,"East2011",4.27154074758048,0.310773432794631,0.557470566751852,0.0571952733412042
"48","5-Jun-11","5-Jun-17","Ice",2011,"Ice2011",4.33701369107083,0.230081324279618,0.479667931260385,0.068523990180055
"49","5-Jun-11","5-Jun-17","Vulgaris",2011,"Vulgaris2011",3.98224934527113,0.198082820574355,0.445064962195807,0.061719405465747
"50","5-Jun-17","5-Jun-17","SBS",2017,"SBS2017",4.80123324092663,0.0211598663426545,0.145464312952196,0.0245879566005418
"51","5-Jun-17","5-Jun-17","ShotgunFairy",2017,"ShotgunFairy2017",4.76502999859531,0.156402426503814,0.395477466493116,0.0668478926911823
"52","7-Jun-17","7-Jun-17","Vulgaris small",2017,"Vulgaris small2017",5.11069627996657,0.0236835232476923,0.15389451987544,0.0232004718053967
"53","8-May-12","8-May-17","Black",2012,"Black2012",2.91980466055669,0.0930404868541052,0.305025387228842,0.043575055318406
"54","8-May-12","8-May-17","East",2012,"East2012",2.32338972639489,0.587034793082954,0.766181958207679,0.115506276205211
"55","8-May-12","8-May-17","Ice",2012,"Ice2012",2.27899548802861,0.587141673851528,0.766251703979527,0.112977650141765
"56","8-May-12","8-May-17","Vulgaris",2012,"Vulgaris2012",2.69373599859845,0.204847947976964,0.452601312389794,0.0674698200806132
