Site,Year,SiteYear,Datefirst,Dayfirst,FirstEmer,FirstEmerDay,PeakEmer,PeakEmerDay,Emergencedata,Larvaepupaeliter,Stdevliter,Sterrorliter,Adultsemertrap,Beetleavg,Beetlestdev,Beetlesterror,Maxpupaeliter,SterrorPupaeliter,DOCmean,DOCmean2,Tempmean,Avgmass,Sdmass,semass,percapitamortint,percapitamortslope,
Ice,2017,Ice2017,5/17/2017,5/17/2017,6/7/2017,6/7/2017,6/10/2017,6/10/2017,Trap,1.83243564,0.5860576,0.15131943,7.66,1.5824176,1.4916108,0.23884889,4,0.65982888,26.32833333,26.32833333,9.191687,1.7,0.440750348,0.089967788,924.7083,-0.05334916,
JuncusTown,2017,JuncusTown2017,5/19/2017,5/19/2017,5/30/2017,5/30/2017,6/3/2017,6/3/2017,Pupae,0.85229464,0.7084643,0.1829247,,0,0,0,1.14285714,0.34376298,23.37333333,23.37333333,,0.692083333,0.150187685,0.030656933,479.708,-0.027672627,
Mozvalley,2017,Mozvalley2017,5/23/2017,5/23/2017,6/5/2017,6/5/2017,6/10/2017,6/10/2017,Pupae,3.09071317,0.597595,0.15429837,,0.6666667,0.2939976,0.06929589,9.33333333,1.90557806,46.01833333,46.01833333,,0.8183333,0.2102517,0.04291746,1264.1367,-0.07288035,
NoOil,2017,NoOil2017,5/19/2017,5/19/2017,5/28/2017,5/28/2017,5/30/2017,5/30/2017,Pupae,2.81112434,0.3825905,0.12753018,,0.6428571,0.2020305,0.07142857,18.62857143,4.81132451,45.39666667,45.39666667,,0.544,0.2171684,0.04856033,299.492,-0.01714697,
Oil,2017,Oil2017,5/17/2017,5/17/2017,5/30/2017,5/30/2017,6/2/2017,6/2/2017,Trap,1.70605482,0.6088064,0.15719312,130.667,0.7619048,0.2950844,0.12046772,3.23809524,0.76800281,38.69166667,38.69166667,9.668328,1.2073913,0.5251166,0.10949438,660.5404,-0.038097029,
SBS,2017,SBS2017,5/17/2017,5/17/2017,6/6/2017,6/6/2017,6/10/2017,6/10/2017,Pupae,2.77048415,0.9217143,0.2379856,,0.6984127,0.2950844,0.12046772,0.4952381,0.22902449,24.73666667,24.73666667,,0.867083333,0.141589706,0.028901878,2317.9628,-0.133817474,
SeahorseWetland,2017,SeahorseWetland2017,5/23/2017,5/23/2017,6/10/2017,6/10/2017,6/15/2017,6/15/2017,Pupae,1.24947597,0.8468887,0.21866573,,1.0225564,1.0359339,0.23765954,3.65714286,0.86355875,24.79,24.79,,0.8275,0.158010732,0.032253806,,,
ShotgunFairy,2017,ShotgunFairy2017,5/17/2017,5/17/2017,6/5/2017,6/5/2017,6/10/2017,6/10/2017,Pupae,0.84233511,0.8733531,0.22549881,,0.5714286,0,0,0.11428571,0.06108828,57.89555556,57.89555556,,,,,575.0581,-0.033194494,
Target,2017,Target2017,5/17/2017,5/17/2017,6/5/2017,6/5/2017,6/10/2017,6/10/2017,Pupae,1.224219606,0.822826011,0.212452762,,0.952381,0.3721937,0.10744306,2.13333333,0.61460467,48.79666667,48.79666667,,1.1804167,0.2301886,0.04698704,277.0284,-0.015951316,
Vulgaris road,2017,Vulgaris road2017,5/20/2017,5/20/2017,6/4/2017,6/4/2017,6/7/2017,6/7/2017,Trap,2.48993604,0.4147226,0.10708091,24,1.0173651,0.6226478,0.10377464,11.84761905,1.88490328,59.365,59.365,7.741122,0.971666667,0.226075529,0.046147474,457.1995,-0.026263397,
Vulgaris small,2017,Vulgaris small2017,5/20/2017,5/20/2017,6/9/2017,6/9/2017,6/10/2017,6/10/2017,Trap,2.03136012,1.7949927,0.46346512,6.33,1.0588235,0.5990279,0.10273244,2.32380952,0.88431606,45.02833333,45.02833333,,1.165,0.3720799,0.0759505,962.8961,-0.055533663,
Vulgaris,2011,Vulgaris2011,5/24/2011,5/24/2017,6/8/2011,6/8/2017,6/11/2011,6/11/2017,Pupae,2.99878497,0.8738909,0.22563765,,1.2807882,0.7362369,0.09667264,4.07619048,1.18147893,,75.15,7.071031,1.1998641,0.3909061,0.03851712,410.9715,-0.026986168,
Vulgaris,2012,Vulgaris2012,5/8/2012,5/8/2017,5/31/2012,5/31/2017,5/31/2012,5/31/2017,Trap,2.68212743,0.6963784,0.17980412,135,1.025641,0.9193421,0.14721255,6.05714286,1.33348882,,75.15,6.942135,,,,922.0112,-0.059439242,
Vulgaris,2016,Vulgaris2016,,,,,,,,,,,,1.0612245,0.5141345,0.19432458,1.63809524,0.28905081,,75.15,,,,,,,
Vulgaris,2017,Vulgaris2017,5/17/2017,5/17/2017,6/1/2017,6/1/2017,6/4/2017,6/4/2017,Trap,3.19712343,0.460425,0.11888123,34.66,1.1729323,0.9575421,0.15533384,13.44761905,2.34803918,75.15,75.15,7.975982,0.8804167,0.4866253,0.09933197,517.6196,-0.029747412,
Waterfall,2017,Waterfall2017,6/4/2017,6/4/2017,,,,,,2.186228749,0.548162776,0.17334429,,0.6666667,0.2332847,0.0952381,7.88571429,1.18891326,,,,,,,,,
