,Site,Year,Date,Day,Larvaepupaeliter,Stdevliter,Sterrorliter
61,Ice,2011,6/10/2011,6/10/2017,0.425135475,0.451131973,0.116481774
62,Ice,2011,6/13/2011,6/13/2017,0.762937154,0.736384915,0.190133767
63,Ice,2011,6/15/2011,6/15/2017,0.476280806,0.550319619,0.142091915
64,Ice,2011,6/17/2011,6/17/2017,0.296133991,0.487531919,0.1258802
65,Ice,2012,5/8/2012,5/8/2017,0.226038409,0.45147487,0.11657031
66,Ice,2012,5/14/2012,5/14/2017,0.171338703,0.261542867,0.067530078
67,Ice,2012,5/21/2012,5/21/2017,0.342275496,0.400729878,0.10346801
68,Ice,2012,5/28/2012,5/28/2017,0.141206362,0.252790225,0.065270155
69,Ice,2012,5/31/2012,5/31/2017,0.090397025,0.18713962,0.048319242
70,Ice,2012,6/4/2012,6/4/2017,0.030132342,0.116702057,0.030132342
71,Ice,2012,6/12/2012,6/12/2017,0,0,0
72,Ice,2016,6/4/2016,6/4/2017,0.957749658,0.602215458,0.155491363
73,Ice,2016,6/9/2016,6/9/2017,0.187097955,0.303448909,0.078350171
74,Ice,2017,5/17/2017,5/17/2017,1.305335842,0.954701914,0.246502974
75,Ice,2017,5/23/2017,5/23/2017,1.832435642,0.58605765,0.151319434
76,Ice,2017,5/29/2017,5/29/2017,0.785429106,0.405845048,0.104788741
77,Ice,2017,6/4/2017,6/4/2017,0.587354826,0.496935454,0.128308183
78,Ice,2017,6/7/2017,6/7/2017,0.393616972,0.414381109,0.106992742
79,Ice,2017,6/10/2017,6/10/2017,0,0,0
80,Ice,2017,6/17/2017,6/17/2017,0,0,0
81,JuncusTown,2017,5/19/2017,5/19/2017,0.852294641,0.708464321,0.182924701
82,JuncusTown,2017,5/23/2017,5/23/2017,0.688239551,0.690170321,0.178201211
83,JuncusTown,2017,5/28/2017,5/28/2017,0.599429244,0.576091676,0.148746231
84,JuncusTown,2017,6/5/2017,6/5/2017,0,0,0
85,Mozvalley,2017,5/23/2017,5/23/2017,3.090713173,0.597595009,0.154298368
86,Mozvalley,2017,5/29/2017,5/29/2017,1.332858612,0.733299333,0.189337074
87,Mozvalley,2017,6/4/2017,6/4/2017,2.216148868,0.775241953,0.200166611
88,Mozvalley,2017,6/10/2017,6/10/2017,1.180018429,0.522964811,0.135028934
89,Mozvalley,2017,6/16/2017,6/16/2017,0.030132342,0.116702057,0.030132342
90,NoOil,2017,5/19/2017,5/19/2017,2.811124339,0.382590549,0.127530183
91,NoOil,2017,5/22/2017,5/22/2017,2.641068664,0.479634616,0.151673783
92,NoOil,2017,5/28/2017,5/28/2017,2.633078657,0.926408524,0.292956098
93,NoOil,2017,6/5/2017,6/5/2017,0.045198512,0.142930246,0.045198512
94,Oil,2017,5/17/2017,5/17/2017,1.706054819,0.608806354,0.157193125
95,Oil,2017,5/19/2017,5/19/2017,0.943784561,0.489114874,0.126288918
96,Oil,2017,5/22/2017,5/22/2017,0.769588706,0.382080018,0.098652636
97,Oil,2017,5/25/2017,5/25/2017,1.485864036,0.642685042,0.165940564
98,Oil,2017,5/28/2017,5/28/2017,0.84190486,0.618385855,0.159666541
99,Oil,2017,6/1/2017,6/1/2017,0.573759199,0.498801033,0.128789873
100,Oil,2017,6/5/2017,6/5/2017,0.030132342,0.116702057,0.030132342
101,Oil,2017,6/8/2017,6/8/2017,0,0,0
102,SBS,2017,5/17/2017,5/17/2017,2.770484152,0.921714283,0.237985605
103,SBS,2017,5/22/2017,5/22/2017,1.839369272,0.344083667,0.088842021
104,SBS,2017,5/28/2017,5/28/2017,0.468211622,0.606785049,0.156671226
105,SBS,2017,6/5/2017,6/5/2017,0.314345071,0.514115522,0.132744057
106,SBS,2017,6/11/2017,6/11/2017,0.050809337,0.196783715,0.050809337
107,SeahorseWetland,2017,5/23/2017,5/23/2017,1.082250713,0.742832692,0.191798576
108,SeahorseWetland,2017,5/29/2017,5/29/2017,0.582812635,0.558270575,0.144144843
109,SeahorseWetland,2017,6/4/2017,6/4/2017,0.792233181,0.496772423,0.128266088
110,SeahorseWetland,2017,6/10/2017,6/10/2017,1.249475974,0.84688874,0.218665732
111,SeahorseWetland,2017,6/17/2017,6/17/2017,0,0,0
112,ShotgunFairy,2017,5/17/2017,5/17/2017,0.842335114,0.873353137,0.22549881
113,ShotgunFairy,2017,5/22/2017,5/22/2017,0.291868069,0.258757654,0.066810939
114,ShotgunFairy,2017,5/28/2017,5/28/2017,0.388699228,0.422687639,0.109137479
115,ShotgunFairy,2017,6/5/2017,6/5/2017,0.090397025,0.18713962,0.048319242
116,ShotgunFairy,2017,6/11/2017,6/11/2017,0,0,0
117,Target,2017,5/17/2017,5/17/2017,1.224219606,0.822826011,0.212452762
118,Target,2017,5/23/2017,5/23/2017,0.648681611,0.599268831,0.154730547
119,Target,2017,5/29/2017,5/29/2017,0.783660188,0.481687634,0.124371212
120,Target,2017,6/4/2017,6/4/2017,0.860200428,0.80272129,0.207261746
121,Target,2017,6/10/2017,6/10/2017,0.030132342,0.116702057,0.030132342
122,Vulgaris,2011,5/24/2011,5/24/2017,2.998784974,0.873890878,0.225637655
123,Vulgaris,2011,5/30/2011,5/30/2017,2.786948272,0.695642825,0.179614205
124,Vulgaris,2011,6/1/2011,6/1/2017,2.779976525,0.557869674,0.14404133
125,Vulgaris,2011,6/6/2011,6/6/2017,2.813869964,0.616482793,0.159175173
126,Vulgaris,2011,6/8/2011,6/8/2017,2.460032036,0.789158113,0.203759749
127,Vulgaris,2011,6/10/2011,6/10/2017,1.855384532,0.985374908,0.254422707
128,Vulgaris,2011,6/13/2011,6/13/2017,0.387247318,0.595103954,0.159048222
129,Vulgaris,2011,6/15/2011,6/15/2017,0.131751015,0.281022434,0.072559681
130,Vulgaris,2012,5/8/2012,5/8/2017,2.629267575,1.26946733,0.327775055
131,Vulgaris,2012,5/11/2012,5/11/2017,2.682127427,0.696378377,0.179804124
132,Vulgaris,2012,5/14/2012,5/14/2017,2.423944776,0.729163633,0.18826924
133,Vulgaris,2012,5/16/2012,5/16/2017,1.860024562,0.647601214,0.167209914
134,Vulgaris,2012,5/18/2012,5/18/2017,1.975597464,0.645182402,0.16658538
135,Vulgaris,2012,5/21/2012,5/21/2017,1.583912953,0.492272309,0.127104164
136,Vulgaris,2012,5/23/2012,5/23/2017,1.321285818,0.632931884,0.16342231
137,Vulgaris,2012,5/28/2012,5/28/2017,1.906191521,0.821776709,0.212181834
138,Vulgaris,2012,5/31/2012,5/31/2017,1.30643884,0.51166245,0.132110676
139,Vulgaris,2012,6/4/2012,6/4/2017,0.464973075,0.279198054,0.072088628
140,Vulgaris,2012,6/7/2012,6/7/2017,0.090397025,0.18713962,0.048319242
141,Vulgaris,2012,6/12/2012,6/12/2017,0.030132342,0.116702057,0.030132342
142,Vulgaris,2016,5/1/2016,5/1/2017,2.416190346,0.529220661,0.136644187
143,Vulgaris,2016,6/3/2016,6/3/2017,0.902295178,0.407843229,0.105304669
144,Vulgaris,2017,5/17/2017,5/17/2017,2.907141002,1.248715408,0.224275908
145,Vulgaris,2017,5/20/2017,5/20/2017,2.519983755,0.723886354,0.186906653
146,Vulgaris,2017,5/23/2017,5/23/2017,3.197123433,0.460425042,0.118881235
147,Vulgaris,2017,5/26/2017,5/26/2017,2.526234469,0.599993476,0.154917649
148,Vulgaris,2017,5/29/2017,5/29/2017,2.457804465,0.597346069,0.154234092
149,Vulgaris,2017,6/1/2017,6/1/2017,2.468337276,0.844100411,0.217945789
150,Vulgaris,2017,6/4/2017,6/4/2017,1.588724114,0.573437769,0.148060995
151,Vulgaris,2017,6/7/2017,6/7/2017,0.279261282,0.375918907,0.097061845
152,Vulgaris,2017,6/10/2017,6/10/2017,0.030132342,0.116702057,0.030132342
153,Vulgaris road,2017,5/20/2017,5/20/2017,2.390470849,0.647916898,0.167291424
154,Vulgaris road,2017,5/26/2017,5/26/2017,2.489936043,0.414722576,0.107080909
155,Vulgaris road,2017,5/29/2017,5/29/2017,2.394906282,0.379302913,0.097935591
156,Vulgaris road,2017,6/1/2017,6/1/2017,2.320286957,0.474607294,0.122543076
157,Vulgaris road,2017,6/4/2017,6/4/2017,2.440154822,0.49661447,0.128225305
158,Vulgaris road,2017,6/7/2017,6/7/2017,0.784028786,0.786428701,0.203055017
159,Vulgaris road,2017,6/10/2017,6/10/2017,0,0,0
160,Vulgaris Road,2017,5/23/2017,5/23/2017,3.042440409,0.578807222,0.149447382
161,Vulgaris small,2017,5/20/2017,5/20/2017,1.659184654,1.41345443,0.364952364
162,Vulgaris small,2017,5/23/2017,5/23/2017,2.031360117,1.794992704,0.463465123
163,Vulgaris small,2017,5/26/2017,5/26/2017,1.391781221,1.190111941,0.307285582
164,Vulgaris small,2017,5/29/2017,5/29/2017,1.182446121,0.938656915,0.242360173
165,Vulgaris small,2017,6/1/2017,6/1/2017,1.221796796,0.967837456,0.249894557
166,Vulgaris small,2017,6/4/2017,6/4/2017,0.939362099,0.628455069,0.162266401
167,Vulgaris small,2017,6/7/2017,6/7/2017,0.888902248,0.7727609,0.199526006
168,Vulgaris small,2017,6/10/2017,6/10/2017,0.37052644,0.488782928,0.126203209
169,Vulgaris small,2017,6/13/2017,6/13/2017,0,0,0
170,Waterfall,2017,6/4/2017,6/4/2017,2.186228749,0.548162776,0.17334429
