Site,Year,SiteYear,Date,Day,Totallarvliter,Totalpupaeliter,TotalBeetleliter,Totallnliter,Stdevtotalliter,Sterrortotalliter,Beetles,Emergence
East,2011,East2011,15-Jun-11,15-Jun-17,0.060264683,0.561424094,0.22214804,0.607315687,0.366621225,0.094661193,After,After
East,2011,East2011,17-Jun-11,17-Jun-17,0.030132342,0.201471045,0.11107402,0.22214804,0.297445175,0.076800014,After,After
East,2012,East2012,8-May-12,8-May-17,0.749224071,0,0,0.749224071,1.092125627,0.281985624,Before,Before
East,2012,East2012,11-May-12,11-May-17,0.906843404,0,0,0.906843404,1.15336067,0.297796444,Before,Before
East,2012,East2012,14-May-12,14-May-17,0.974013903,0,0,0.974013903,1.010207577,0.260834475,Before,Before
East,2012,East2012,16-May-12,16-May-17,1.105084448,0,0,1.105084448,0.930984319,0.240379118,Before,Before
East,2012,East2012,18-May-12,18-May-17,0.840905929,0,0,0.840905929,0.793355309,0.20484346,Before,Before
East,2012,East2012,21-May-12,21-May-17,0.876712373,0,0,0.876712373,0.722174525,0.186464661,Before,Before
East,2012,East2012,23-May-12,23-May-17,0.895642339,0,0.030132342,0.895642339,0.442327204,0.114208393,After,Before
East,2012,East2012,28-May-12,28-May-17,0.603114078,0.11107402,0.141206362,0.67777339,0.502176758,0.129661481,After,Before
East,2012,East2012,31-May-12,31-May-17,0.447068404,0.29981757,0.11107402,0.634631328,0.548245327,0.141556335,After,Before
East,2012,East2012,4-Jun-12,4-Jun-17,0.090397025,0.45514711,0.030132342,0.536088788,0.44224456,0.114187055,After,After
East,2012,East2012,7-Jun-12,7-Jun-17,0.090397025,0.201069134,0.090397025,0.25617075,0.450392924,0.116290953,After,After
East,2012,East2012,12-Jun-12,12-Jun-17,0,0,0.060264683,0,0,0,After,After
East,2016,East2016,4-Jun-16,4-Jun-17,0.090397025,0.681837111,0.342275496,0.720569853,0.485446887,0.125341847,After,
East,2016,East2016,7-Jun-16,7-Jun-17,0,0.030132342,0.291466159,0.030132342,0.116702057,0.030132342,After,
East,2017,East2017,17-May-17,17-May-17,1.960963159,0,0,1.960963159,1.346267591,0.347604797,Before,Before
East,2017,East2017,19-May-17,19-May-17,2.242097672,0,0,2.242097672,0.996636947,0.257330553,Before,Before
East,2017,East2017,22-May-17,22-May-17,1.904802079,0,0,1.904802079,0.609980465,0.157496279,Before,Before
East,2017,East2017,25-May-17,25-May-17,1.773570979,0,0,1.773570979,0.690249344,0.178221614,Before,Before
East,2017,East2017,28-May-17,28-May-17,1.979345468,0,0.071323488,1.979345468,0.539339787,0.144144621,After,Before
East,2017,East2017,1-Jun-17,1-Jun-17,1.206812695,0.242825035,0.348579401,1.2887915,0.498264015,0.128651215,After,Before
East,2017,East2017,5-Jun-17,5-Jun-17,0.736159088,0.594911822,0.310908991,1.012900406,0.850855151,0.219689855,After,Before
East,2017,East2017,8-Jun-17,8-Jun-17,0.080941678,1.217406647,0.050809337,1.248470862,0.644803398,0.166487521,After,After
East,2017,East2017,11-Jun-17,11-Jun-17,0,0.947684133,0.060264683,0.947684133,0.531664777,0.137275255,After,After
East,2017,East2017,14-Jun-17,14-Jun-17,0,0.030132342,0.030132342,0.030132342,0.116702057,0.030132342,After,After
Ice,2011,Ice2011,24-May-11,24-May-17,0.747813486,0,0,0.747813486,0.535217464,0.138192555,Before,Before
Ice,2011,Ice2011,30-May-11,30-May-17,1.150638819,0,0.141206362,1.150638819,0.724941421,0.18717907,After,Before
Ice,2011,Ice2011,1-Jun-11,1-Jun-17,0.883790351,0,0.060264683,0.883790351,0.740967083,0.191316878,After,Before
Ice,2011,Ice2011,6-Jun-11,6-Jun-17,0.649098997,0,0.981786032,0.649098997,0.442054652,0.11413802,After,Before
Ice,2011,Ice2011,8-Jun-11,8-Jun-17,0.275483123,0,0.620312136,0.275483123,0.507845651,0.131125183,After,Before
Ice,2011,Ice2011,10-Jun-11,10-Jun-17,0.288716629,0.169702629,0.466359237,0.425135475,0.451131973,0.116481774,After,Before
Ice,2011,Ice2011,13-Jun-11,13-Jun-17,0.171338703,0.683204,0.473781187,0.762937154,0.736384915,0.190133767,After,Before
Ice,2011,Ice2011,15-Jun-11,15-Jun-17,0,0.476280806,0.150661708,0.476280806,0.550319619,0.142091915,After,After
Ice,2011,Ice2011,17-Jun-11,17-Jun-17,0,0.296133991,0.451584237,0.296133991,0.487531919,0.1258802,After,After
Ice,2012,Ice2012,8-May-12,8-May-17,0.226038409,0,0,0.226038409,0.45147487,0.11657031,Before,Before
Ice,2012,Ice2012,14-May-12,14-May-17,0.171338703,0,0,0.171338703,0.261542867,0.067530078,Before,Before
Ice,2012,Ice2012,21-May-12,21-May-17,0.342275496,0,0,0.342275496,0.400729878,0.10346801,Before,Before
Ice,2012,Ice2012,28-May-12,28-May-17,0.11107402,0.030132342,0.657727702,0.141206362,0.252790225,0.065270155,After,Before
Ice,2012,Ice2012,31-May-12,31-May-17,0.060264683,0.030132342,0.4155499,0.090397025,0.18713962,0.048319242,After,Before
Ice,2012,Ice2012,4-Jun-12,4-Jun-17,0,0.030132342,0.5405951,0.030132342,0.116702057,0.030132342,After,Before
Ice,2012,Ice2012,12-Jun-12,12-Jun-17,0,0,0.283798885,0,0,0,After,After
Ice,2016,Ice2016,4-Jun-16,4-Jun-17,0.030132342,0.937072663,0.252280382,0.957749658,0.602215458,0.155491363,After,
Ice,2016,Ice2016,9-Jun-16,9-Jun-17,0,0.187097955,0,0.187097955,0.303448909,0.078350171,Before,
Ice,2017,Ice2017,17-May-17,17-May-17,1.305335842,0,0,1.305335842,0.954701914,0.246502974,Before,Before
Ice,2017,Ice2017,23-May-17,23-May-17,0.977578353,1.444203271,0,1.832435642,0.58605765,0.151319434,Before,Before
Ice,2017,Ice2017,29-May-17,29-May-17,0.763482068,0.060264683,1.304959074,0.785429106,0.405845048,0.104788741,After,Before
Ice,2017,Ice2017,4-Jun-17,4-Jun-17,0,0.587354826,0.445682242,0.587354826,0.496935454,0.128308183,After,Before
Ice,2017,Ice2017,7-Jun-17,7-Jun-17,0,0.393616972,0.150661708,0.393616972,0.414381109,0.106992742,After,After
Ice,2017,Ice2017,10-Jun-17,10-Jun-17,0,0,0.120529366,0,0,0,After,After
Ice,2017,Ice2017,17-Jun-17,17-Jun-17,0,0,0.120529366,0,0,0,After,After
JuncusTown,2017,JuncusTown2017,19-May-17,19-May-17,0.852294641,0,0,0.852294641,0.708464321,0.182924701,Before,Before
JuncusTown,2017,JuncusTown2017,23-May-17,23-May-17,0.63274993,0.080941678,0,0.688239551,0.690170321,0.178201211,Before,Before
JuncusTown,2017,JuncusTown2017,28-May-17,28-May-17,0,0.599429244,0,0.599429244,0.576091676,0.148746231,Before,Before
JuncusTown,2017,JuncusTown2017,5-Jun-17,5-Jun-17,0,0,0,0,0,0,Before,After
Mozvalley,2017,Mozvalley2017,23-May-17,23-May-17,3.090713173,0,0,3.090713173,0.597595009,0.154298368,Before,Before
Mozvalley,2017,Mozvalley2017,29-May-17,29-May-17,1.215256408,0.382885288,0.268039633,1.332858612,0.733299333,0.189337074,After,Before
Mozvalley,2017,Mozvalley2017,4-Jun-17,4-Jun-17,0.70392445,2.051217501,0.210926391,2.216148868,0.775241953,0.200166611,After,Before
Mozvalley,2017,Mozvalley2017,10-Jun-17,10-Jun-17,0.030132342,1.17280419,0.120529366,1.180018429,0.522964811,0.135028934,After,After
Mozvalley,2017,Mozvalley2017,16-Jun-17,16-Jun-17,0,0.030132342,0,0.030132342,0.116702057,0.030132342,After,After
NoOil,2017,NoOil2017,19-May-17,19-May-17,2.744307481,0.653901057,0.150661708,2.811124339,0.382590549,0.127530183,After,Before
NoOil,2017,NoOil2017,22-May-17,22-May-17,1.928110526,2.044313865,0.135595537,2.641068664,0.479634616,0.151673783,After,Before
NoOil,2017,NoOil2017,28-May-17,28-May-17,0.190249908,2.633078657,0.121412518,2.633078657,0.926408524,0.292956098,After,Before
NoOil,2017,NoOil2017,5-Jun-17,5-Jun-17,0,0.045198512,0,0.045198512,0.142930246,0.045198512,After,After
Oil,2017,Oil2017,17-May-17,17-May-17,1.706054819,0,0,1.706054819,0.608806354,0.157193125,Before,Before
Oil,2017,Oil2017,19-May-17,19-May-17,0.943784561,0,0.030132342,0.943784561,0.489114874,0.126288918,After,Before
Oil,2017,Oil2017,22-May-17,22-May-17,0.612613571,0.233369689,0.030132342,0.769588706,0.382080018,0.098652636,After,Before
Oil,2017,Oil2017,25-May-17,25-May-17,0.640332376,1.235497237,0.080941678,1.485864036,0.642685042,0.165940564,After,Before
Oil,2017,Oil2017,28-May-17,28-May-17,0,0.84190486,0.050809337,0.84190486,0.618385855,0.159666541,After,Before
Oil,2017,Oil2017,1-Jun-17,1-Jun-17,0,0.573759199,0,0.573759199,0.498801033,0.128789873,After,After
Oil,2017,Oil2017,5-Jun-17,5-Jun-17,0,0.030132342,0.030132342,0.030132342,0.116702057,0.030132342,After,After
Oil,2017,Oil2017,8-Jun-17,8-Jun-17,0,0,0,0,0,0,After,After
SBS,2017,SBS2017,17-May-17,17-May-17,2.770484152,0,0,2.770484152,0.921714283,0.237985605,Before,Before
SBS,2017,SBS2017,22-May-17,22-May-17,0.826185042,0,0,1.839369272,0.344083667,0.088842021,Before,Before
SBS,2017,SBS2017,28-May-17,28-May-17,0.468211622,0,0.268039633,0.468211622,0.606785049,0.156671226,After,Before
SBS,2017,SBS2017,5-Jun-17,5-Jun-17,0.066568589,0.289830085,0.150661708,0.314345071,0.514115522,0.132744057,After,Before
SBS,2017,SBS2017,11-Jun-17,11-Jun-17,0,0.050809337,0.201471045,0.050809337,0.196783715,0.050809337,After,After
SeahorseWetland,2017,SeahorseWetland2017,23-May-17,23-May-17,1.082250713,0,0,1.082250713,0.742832692,0.191798576,Before,Before
SeahorseWetland,2017,SeahorseWetland2017,29-May-17,29-May-17,0.567053383,0.030132342,0.553486526,0.582812635,0.558270575,0.144144843,After,Before
SeahorseWetland,2017,SeahorseWetland2017,4-Jun-17,4-Jun-17,0.339525965,0.551566837,0.180794049,0.792233181,0.496772423,0.128266088,After,Before
SeahorseWetland,2017,SeahorseWetland2017,10-Jun-17,10-Jun-17,0,1.249475974,0.030132342,1.249475974,0.84688874,0.218665732,After,Before
SeahorseWetland,2017,SeahorseWetland2017,17-Jun-17,17-Jun-17,0,0,0.030132342,0,0,0,After,After
ShotgunFairy,2017,ShotgunFairy2017,17-May-17,17-May-17,0.842335114,0,0,0.842335114,0.873353137,0.22549881,Before,Before
ShotgunFairy,2017,ShotgunFairy2017,22-May-17,22-May-17,0.291868069,0,0,0.291868069,0.258757654,0.066810939,Before,Before
ShotgunFairy,2017,ShotgunFairy2017,28-May-17,28-May-17,0.388699228,0,0.090397025,0.388699228,0.422687639,0.109137479,After,Before
ShotgunFairy,2017,ShotgunFairy2017,5-Jun-17,5-Jun-17,0,0.090397025,0.090397025,0.090397025,0.18713962,0.048319242,After,Before
ShotgunFairy,2017,ShotgunFairy2017,11-Jun-17,11-Jun-17,0,0,0.060264683,0,0,0,After,After
Target,2017,Target2017,17-May-17,17-May-17,1.224219606,0,0,1.224219606,0.822826011,0.212452762,Before,Before
Target,2017,Target2017,23-May-17,23-May-17,0.648681611,0,0.050809337,0.648681611,0.599268831,0.154730547,After,Before
Target,2017,Target2017,29-May-17,29-May-17,0.404708392,0.485554569,0.441144639,0.783660188,0.481687634,0.124371212,After,Before
Target,2017,Target2017,4-Jun-17,4-Jun-17,0.030132342,0.854270595,0,0.860200428,0.80272129,0.207261746,After,Before
Target,2017,Target2017,10-Jun-17,10-Jun-17,0,0.030132342,0.030132342,0.030132342,0.116702057,0.030132342,After,After
Vulgaris road,2017,Vulgaris road2017,20-May-17,20-May-17,2.390470849,0,0.030132342,2.390470849,0.647916898,0.167291424,After,Before
Vulgaris road,2017,Vulgaris road2017,23-May-17,23-May-17,3.042440409,0,0.030132342,3.042440409,0.578807222,0.149447382,After,Before
Vulgaris road,2017,Vulgaris road2017,26-May-17,26-May-17,2.489936043,0,0.488681828,2.489936043,0.414722576,0.107080909,After,Before
Vulgaris road,2017,Vulgaris road2017,29-May-17,29-May-17,2.152839935,1.147783764,0.57085767,2.394906282,0.379302913,0.097935591,After,Before
Vulgaris road,2017,Vulgaris road2017,1-Jun-17,1-Jun-17,1.341414556,1.890172598,0.328304317,2.320286957,0.474607294,0.122543076,After,Before
Vulgaris road,2017,Vulgaris road2017,4-Jun-17,4-Jun-17,0.090397025,2.432451015,0.060264683,2.440154822,0.49661447,0.128225305,After,After
Vulgaris road,2017,Vulgaris road2017,7-Jun-17,7-Jun-17,0,0.784028786,0.126833272,0.784028786,0.786428701,0.203055017,After,After
Vulgaris road,2017,Vulgaris road2017,10-Jun-17,10-Jun-17,0,0,0.030132342,0,0,0,After,After
Vulgaris small,2017,Vulgaris small2017,20-May-17,20-May-17,1.659184654,0,0,1.659184654,1.41345443,0.364952364,Before,Before
Vulgaris small,2017,Vulgaris small2017,23-May-17,23-May-17,2.031360117,0,0,2.031360117,1.794992704,0.463465123,Before,Before
Vulgaris small,2017,Vulgaris small2017,26-May-17,26-May-17,1.391781221,0,0,1.391781221,1.190111941,0.307285582,Before,Before
Vulgaris small,2017,Vulgaris small2017,29-May-17,29-May-17,1.182446121,0,0.133137177,1.182446121,0.938656915,0.242360173,After,Before
Vulgaris small,2017,Vulgaris small2017,1-Jun-17,1-Jun-17,1.202221962,0.126833272,0.585382758,1.221796796,0.967837456,0.249894557,After,Before
Vulgaris small,2017,Vulgaris small2017,4-Jun-17,4-Jun-17,0.675377873,0.457273149,0.217230297,0.939362099,0.628455069,0.162266401,After,Before
Vulgaris small,2017,Vulgaris small2017,7-Jun-17,7-Jun-17,0.030132342,0.879692226,0.237907292,0.888902248,0.7727609,0.199526006,After,Before
Vulgaris small,2017,Vulgaris small2017,10-Jun-17,10-Jun-17,0,0.37052644,0.176006535,0.37052644,0.488782928,0.126203209,After,After
Vulgaris small,2017,Vulgaris small2017,13-Jun-17,13-Jun-17,0,0,0.201471045,0,0,0,After,After
Vulgaris,2011,Vulgaris2011,24-May-11,24-May-17,2.998784974,0,0,2.998784974,0.873890878,0.225637655,Before,Before
Vulgaris,2011,Vulgaris2011,30-May-11,30-May-17,2.786948272,0,0.147510267,2.786948272,0.695642825,0.179614205,After,Before
Vulgaris,2011,Vulgaris2011,1-Jun-11,1-Jun-17,2.779976525,0,0.251878471,2.779976525,0.557869674,0.14404133,After,Before
Vulgaris,2011,Vulgaris2011,6-Jun-11,6-Jun-17,2.804110769,0.141206362,0.650163274,2.813869964,0.616482793,0.159175173,After,Before
Vulgaris,2011,Vulgaris2011,8-Jun-11,8-Jun-17,2.048692204,1.249567547,0.55610444,2.460032036,0.789158113,0.203759749,After,Before
Vulgaris,2011,Vulgaris2011,10-Jun-11,10-Jun-17,1.244465422,1.211310647,0.522704538,1.855384532,0.985374908,0.254422707,After,After
Vulgaris,2011,Vulgaris2011,13-Jun-11,13-Jun-17,0.15129253,0.304513638,0.436724915,0.387247318,0.595103954,0.159048222,After,After
Vulgaris,2011,Vulgaris2011,15-Jun-11,15-Jun-17,0,0.131751015,0.471276981,0.131751015,0.281022434,0.072559681,After,After
Vulgaris,2012,Vulgaris2012,8-May-12,8-May-17,2.629267575,0,0,2.629267575,1.26946733,0.327775055,Before,Before
Vulgaris,2012,Vulgaris2012,11-May-12,11-May-17,2.682127427,0,0,2.682127427,0.696378377,0.179804124,Before,Before
Vulgaris,2012,Vulgaris2012,14-May-12,14-May-17,2.423944776,0,0,2.423944776,0.729163633,0.18826924,Before,Before
Vulgaris,2012,Vulgaris2012,16-May-12,16-May-17,1.860024562,0,0,1.860024562,0.647601214,0.167209914,Before,Before
Vulgaris,2012,Vulgaris2012,18-May-12,18-May-17,1.975597464,0,0.177642609,1.975597464,0.645182402,0.16658538,After,Before
Vulgaris,2012,Vulgaris2012,21-May-12,21-May-17,1.229074042,0.761124696,0.671224161,1.583912953,0.492272309,0.127104164,After,Before
Vulgaris,2012,Vulgaris2012,23-May-12,23-May-17,0.81719168,0.886016975,0.180794049,1.321285818,0.632931884,0.16342231,After,Before
Vulgaris,2012,Vulgaris2012,28-May-12,28-May-17,0.851085185,1.66043682,0.257957569,1.906191521,0.821776709,0.212181834,After,Before
Vulgaris,2012,Vulgaris2012,31-May-12,31-May-17,0.120529366,1.247403175,0.192015698,1.30643884,0.51166245,0.132110676,After,After
Vulgaris,2012,Vulgaris2012,4-Jun-12,4-Jun-17,0.180794049,0.303089718,0.090397025,0.464973075,0.279198054,0.072088628,After,After
Vulgaris,2012,Vulgaris2012,7-Jun-12,7-Jun-17,0.060264683,0.030132342,0.090397025,0.090397025,0.18713962,0.048319242,After,After
Vulgaris,2012,Vulgaris2012,12-Jun-12,12-Jun-17,0,0.030132342,0,0.030132342,0.116702057,0.030132342,After,After
Vulgaris,2016,Vulgaris2016,1-May-16,1-May-17,2.416190346,0,0.060264683,2.416190346,0.529220661,0.136644187,After,
Vulgaris,2016,Vulgaris2016,3-Jun-16,3-Jun-17,0.030132342,0.894204454,0.264888193,0.902295178,0.407843229,0.105304669,After,
Vulgaris,2017,Vulgaris2017,17-May-17,17-May-17,2.907141002,0,0,2.907141002,1.248715408,0.224275908,Before,Before
Vulgaris,2017,Vulgaris2017,20-May-17,20-May-17,2.519983755,0,0,2.519983755,0.723886354,0.186906653,Before,Before
Vulgaris,2017,Vulgaris2017,23-May-17,23-May-17,3.197123433,0,0.389307928,3.197123433,0.460425042,0.118881235,After,Before
Vulgaris,2017,Vulgaris2017,26-May-17,26-May-17,2.499141611,0.214078856,0.597340135,2.526234469,0.599993476,0.154917649,After,Before
Vulgaris,2017,Vulgaris2017,29-May-17,29-May-17,1.435704214,2.080693138,0.22214804,2.457804465,0.597346069,0.154234092,After,Before
Vulgaris,2017,Vulgaris2017,1-Jun-17,1-Jun-17,0.355285217,2.431183161,0.30447588,2.468337276,0.844100411,0.217945789,After,After
Vulgaris,2017,Vulgaris2017,4-Jun-17,4-Jun-17,0,1.588724114,0.150661708,1.588724114,0.573437769,0.148060995,After,After
Vulgaris,2017,Vulgaris2017,7-Jun-17,7-Jun-17,0,0.279261282,0.060264683,0.279261282,0.375918907,0.097061845,After,After
Vulgaris,2017,Vulgaris2017,10-Jun-17,10-Jun-17,0,0.030132342,0.060264683,0.030132342,0.116702057,0.030132342,After,After
Waterfall,2017,Waterfall2017,4-Jun-17,4-Jun-17,0.577523473,2.078598928,0.302206567,2.186228749,0.548162776,0.17334429,After,
