"","Site","Year","SiteYear","Date","Day.x","Stage","Avgmass","varmass","Cvmass","Sterror","Day.y","Totallarvaeliter","Totalpupaeliter","lnTotallarvaeliter","LarvPupRatio","DevStage"
"1:26","Black","2011","Black2011","2011-06-13","2017-06-13","Pupae",1.49121739130435,0.0472135516908213,14.5711012498405,0.0320371902403459,"2017-06-13",0,4.3047619047619,0,0,"Pupae"
"1:27","East","2011","East2011","2011-06-13","2017-06-13","Pupae",1.20052083333333,0.0561864676418439,19.7445010631184,0.0342133221012675,"2017-06-13",0.457142857142857,1.44761904761905,0.31884897019468,0.315789473684211,"Pupae"
"1:28","Ice","2017","Ice2017","2017-06-04","2017-06-04","Pupae",1.51791666666667,0.135272163120567,24.2301603316328,0.0530864395586276,"2017-06-04",0,1.02857142857143,0,0,"Pupae"
"1:29","JuncusTown","2017","JuncusTown2017","2017-05-28","2017-05-28","Pupae",0.93625,0.032241847826087,19.1786543121025,0.0366525623399914,"2017-05-28",0,1.14285714285714,0,0,"Pupae"
"1:30","Mozvalley","2017","Mozvalley2017","2017-06-04","2017-06-04","Pupae",1.08833333333333,0.117821264367816,31.5391444763454,0.0626687759488503,"2017-06-04",1.2952380952381,9.33333333333333,0.703924449759597,0.138775510204082,"Pupae"
"1:31","NoOil","2017","NoOil2017","2017-05-22","2017-05-22","Pupae",0.886,0.0162828571428571,14.4022910921789,0.0329472883485699,"2017-05-22",6.11428571428571,8.4,1.92811052553057,0.727891156462585,"Pupae"
"1:32","Oil","2017","Oil2017","2017-05-25","2017-05-25","Pupae",1.38521739130435,0.0902832850241546,21.6913079959175,0.044302145650304,"2017-05-25",1.06666666666667,3.23809523809524,0.640332375728357,0.329411764705882,"Pupae"
"1:33","SBS","2017","SBS2017","2017-06-05","2017-06-05","Pupae",1.22914285714286,0.0319845378151261,14.5501569502824,0.0302298517623727,"2017-06-05",0.114285714285714,0.495238095238095,0.0665685886740752,0.230769230769231,"Pupae"
"1:34","SeahorseWetland","2017","SeahorseWetland2017","2017-06-04","2017-06-04","Pupae",1.0778125,0.0547337701612903,21.706233275517,0.0413573490149009,"2017-06-04",0.495238095238095,0.952380952380952,0.339525965414936,0.52,"Pupae"
"1:35","ShotgunFairy","2017","ShotgunFairy2017","2017-06-05","2017-06-05","Pupae",1.24228571428571,0.125635798319328,28.5321967933767,0.0599132225614269,"2017-06-05",0,0.114285714285714,0,0,"Pupae"
"1:36","Target","2017","Target2017","2017-06-04","2017-06-04","Pupae",1.60578947368421,0.0860953058321479,18.2726329248861,0.0475990119955369,"2017-06-04",0.0380952380952381,2.13333333333333,0.0301323415828705,0.0178571428571429,"Pupae"
"1:37","Vulgaris road","2017","Vulgaris road2017","2017-06-01","2017-06-01","Pupae",1.23347826086957,0.0337742995169082,14.8991562759819,0.0270965662500156,"2017-06-01",3.27619047619048,6.85714285714286,1.34141455595204,0.477777777777778,"Pupae"
"1:38","Vulgaris small","2017","Vulgaris small2017","2017-06-07","2017-06-07","Pupae",1.67704545454545,0.0657096723044397,15.2851539352838,0.038644555157004,"2017-06-07",0.0380952380952381,2.32380952380952,0.0301323415828705,0.0163934426229508,"Pupae"
"1:39","Vulgaris","2017","Vulgaris2017","2017-06-01","2017-06-01","Pupae",1.15136363636364,0.116528329809725,29.6485358979811,0.0514623273088111,"2017-06-01",0.533333333333333,13.447619047619,0.355285217285885,0.0396600566572238,"Pupae"
"2:1","Black","2012","Black2012",NA,NA,NA,1.18257446808511,0.033687814986124,15.5205791651753,0.0267724115645446,NA,NA,NA,NA,NA,"Adult"
"2:2","East","2012","East2012",NA,NA,NA,1.18796511627907,0.0789426458276334,23.6511439251925,0.0302974873905706,NA,NA,NA,NA,NA,"Adult"
"2:3","East","2017","East2017",NA,NA,NA,0.626666666666667,0.0193066666666667,22.1726220767881,0.056725459696487,NA,NA,NA,NA,NA,"Adult"
"2:4","Ice","2017","Ice2017",NA,NA,NA,1.7,0.194260869565217,25.9264910790495,0.0899677881163627,NA,NA,NA,NA,NA,"Adult"
"2:5","JuncusTown","2017","JuncusTown2017",NA,NA,NA,0.692083333333333,0.0225563405797101,21.7008093217259,0.0306569327258059,NA,NA,NA,NA,NA,"Adult"
"2:6","Mozvalley","2017","Mozvalley2017",NA,NA,NA,0.818333333333333,0.0442057971014493,25.6926778367516,0.042917458132564,NA,NA,NA,NA,NA,"Adult"
"2:7","NoOil","2017","NoOil2017",NA,NA,NA,0.544,0.0471621052631579,39.9206580845674,0.0485603260198889,NA,NA,NA,NA,NA,"Adult"
"2:8","Oil","2017","Oil2017",NA,NA,NA,1.20739130434783,0.27574743083004,43.4918311863032,0.109494377626163,NA,NA,NA,NA,NA,"Adult"
"2:9","SBS","2017","SBS2017",NA,NA,NA,0.867083333333333,0.0200476449275362,16.3294231186016,0.0289018777702651,NA,NA,NA,NA,NA,"Adult"
"2:10","SeahorseWetland","2017","SeahorseWetland2017",NA,NA,NA,0.8275,0.0249673913043478,19.0949524605837,0.0322538055276349,NA,NA,NA,NA,NA,"Adult"
"2:11","Target","2017","Target2017",NA,NA,NA,1.18041666666667,0.0529867753623188,19.5006196790565,0.0469870440309165,NA,NA,NA,NA,NA,"Adult"
"2:12","Vulgaris","2012","Vulgaris2012",NA,NA,NA,1.1998640776699,0.152807549971445,32.5791954374766,0.0385171188736217,NA,NA,NA,NA,NA,"Adult"
"2:13","Vulgaris","2017","Vulgaris2017",NA,NA,NA,0.880416666666667,0.236804166666667,55.2721571561177,0.099331970068945,NA,NA,NA,NA,NA,"Adult"
"2:14","Vulgaris road","2017","Vulgaris road2017",NA,NA,NA,0.971666666666667,0.0511101449275362,23.2667783108884,0.0461474741668564,NA,NA,NA,NA,NA,"Adult"
"2:15","Vulgaris small","2017","Vulgaris small2017",NA,NA,NA,1.165,0.13844347826087,31.9381918721694,0.0759504987532641,NA,NA,NA,NA,NA,"Adult"
