Date,Pond,Instar, Sampling station,FPOM_adjust,DOC,NH4,N03N02,TotalP,LogTotalP,Temp,Conduc,logConduc,DoPerc,DomgL,pH,ORP,Depth
6/11/2018,Golf,Pupae,South,3.453333333,26.3,0.036161517,0.01316592,0.005052421,-2.296500468,21.68,354,2.549003262,76.3,6.7,7,-258.1,7
5/20/2018,Ice,1st,East,1.98,12.8,0.020739731,0.017544591,0.00569836,-2.244250117,1.07,71,1.851258349,55.5,7.86,6.02,-247.6,25.5
5/20/2018,Ice,1st,N,1.99,15.5,0.020229981,0,0.007935333,-2.100434844,2.06,72,1.857332496,62,8.55,6.44,-248,25.5
5/20/2018,Ice,1st,S,1.97,14,0.024070831,0.02488985,0.006675523,-2.175514703,1.61,68,1.832508913,63.6,8.89,6.75,-266.2,21.5
6/4/2018,Ice,2nd3rd,East,1.166666667,27.1,0.021427297,0.024673811,0.006711056,-2.173209137,5.87,90,1.954242509,90,11.22,6.4,-257.8,12
6/4/2018,Ice,2nd3rd,N,1.155,17.6,0.028338284,0.024133715,0.007084073,-2.149716972,7.72,89,1.949390007,82,9.95,6.42,-254,10
6/4/2018,Ice,2nd3rd,S,1.225,17.9,0.029997804,0.02759034,0.007171856,-2.144368439,4.8,86,1.934498451,90,13,6.28,-275.5,29
6/12/2018,Ice,Pupae,East,1.003333333,23.4,0.039954398,0.008588641,0.006522892,-2.185559812,13.7,110,2.041392685,82.9,8.58,6.63,-257.8,
6/12/2018,Ice,Pupae,NW,1.575,24.1,0.015025652,0.013894129,0.006968671,-2.156850039,13.3,106,2.025305865,90,9.43,6.63,-256.6, 
6/12/2018,Ice,Pupae,S,1.971666667,23.6,0.024545001,0.026065868,0.005229967,-2.281501051,12.22,107,2.029383778,83.4,8.88,6.64,-261.3,
5/15/2018,NoOil,1st,N,2.2,39.6,0.059880253,0.043109434,0.015093062,-1.821222644,7.12,410,2.612783857,64.2,7.75,6.45,-244.8,20
5/15/2018,NoOil,1st,NW,3.17,56.1,0.060003198,0.060212704,0.022235212,-1.652958725,4.33,556,2.745074792,67.8,8.79,6.45,-252.3,30
5/15/2018,NoOil,1st,SW,2.58,42.1,0.06578186,0.056987327,0.009311703,-2.030970884,3.22,470,2.672097858,79.8,10.67,6.59,-258.7,30
5/27/2018,NoOil,2nd3rd,NE,1.96,23.8,0.05238099,0.016237853,0.062036747,-1.207350983,15.05,770,2.886490725,53.4,5.37,6.46,-236,13
5/27/2018,NoOil,2nd3rd,NW,7.155555556,24.1,0.056437872,0.023468152,0.129004495,-0.889395157,13.51,817,2.912222057,58.5,6.07,6.32,-250.2,12
5/27/2018,NoOil,2nd3rd,SW,2.1,22.2,0.046234635,0.039005016,0.079561362,-1.099297791,12.34,838,2.923244019,62.8,6.67,6.5,-236.7,14
6/4/2018,NoOil,Pupae,NE,3.885,32.8,0.068363965,0.010893579,0.013222585,-1.878683632,18.7,1007,3.003029471,55,5.13,6.12,-255.6,12
6/4/2018,NoOil,Pupae,NW,3.864,35.1,0.059634363,0,0.018749097,-1.727019644,17.08,1212,3.08350262,66,6.13,6.72,-254.6,8
6/4/2018,NoOil,Pupae,SW,2.228333333,33,0.040088803,0.029428595,0.009932333,-2.002948728,17.07,1120,3.049218023,87,8.37,6.74,-260,8.5
5/9/2018,Oil,1st,Center,2.856,19.7,0.046111713,0.01828965,0.010416936,-1.982260004,3.48,935,2.970811611,90.6,11.99,,-238.5,7
5/9/2018,Oil,1st,East,3.57,20.3,0.03984298,0.037148303,0.011224615,-1.949828546,4.1,540,2.73239376,70.3,9.17,,-224,10
5/9/2018,Oil,1st,West,3.22,20.5,0.018521075,0.039395907,0.01424284,-1.846403404,5.41,508,2.705863712,72.8,9.17,,-210.9,13
5/13/2018,Oil,2nd3rd,Center,3.052,18.7,0.025869354,0.084650229,0.00013875,-3.857767008,4.95,733,2.865103975,96.6,12.33,,-214.7,18
5/13/2018,Oil,2nd3rd,East,2.772,19.4,0.030502349,0.121218172,0.015178084,-1.818783048,4.56,675,2.829303773,98.8,12.74,,-220.5,25
5/13/2018,Oil,2nd3rd,West,3.052,20.4,0.031977106,0.03773463,0.006931243,-2.159188875,3.82,585,2.767155866,94.7,12.46,,-245.7,25
6/5/2018,Oil,Pupae,Center,2.856,27.3,0.040457538,0.046041248,0.008282997,-2.081812496,12.06,1586,3.200303183,106.8,11.45,6.45,,6
6/5/2018,Oil,Pupae,East,2.593181818,30,0.020659125,0.049461789,0.011709225,-1.931471849,10.21,1337,3.126131407,107,11.9,6.51,,11
6/5/2018,Oil,Pupae,West,3.416,26.6,0.025500693,0.08064213,0.010306413,-1.986892458,10.16,1303,3.114944416,99.6,11.11,6.52,,13
5/17/2018,Vulgaris,1st,N,1.345555556,21.4,0.028930973,0.034719704,0.152841428,-0.815758913,4.99,38,1.579783597,83.6,10.68,6.5,-247.5,24
5/17/2018,Vulgaris,1st,S,2.7,23.9,0.028930973,0.014196053,0.066375073,-1.177994988,4.61,51,1.707570176,81.9,10.57,6.43,-251.8,29
5/17/2018,Vulgaris,1st,West,3.304,23.5,0.028812435,0.009551343,0.088495019,-1.053081173,5.65,48,1.681241237,83.4,10.47,6.49,-254.1,24
5/29/2018,Vulgaris,2nd3rd,NE,3.161666667,34.5,0.040902598,0.012035717,0.012882502,-1.889999781,6.37,102,2.008600172,78.5,9.67,6.13,-225.8,22
5/29/2018,Vulgaris,2nd3rd,NW,0.83125,33.6,0.038532083,0.020893151,0.01466795,-1.833630579,6.74,90,1.954242509,84.9,10.37,6.12,-244.7,17.5
5/29/2018,Vulgaris,2nd3rd,SE,2.87,32.1,0.028693898,0.002098295,0.012389384,-1.906950286,6.56,96,1.982271233,74.6,9.15,6.12,-226.6,24
6/13/2018,Vulgaris,Pupae,N,1.4,71.2,0.045643474,0.045846035,0.06807643,-1.167003227,19,222,2.346352974,68.6,6.33,6.35,-228.8,13
6/13/2018,Vulgaris,Pupae,NE,2.35,61,0.056902234,0.023701639,0.032099039,-1.49350797,17.76,121,2.08278537,85.5,7.65,7.12,-254.3,18
6/13/2018,Vulgaris,Pupae,West,1.36,57,0.047065697,0.02100117,0.032099039,-1.49350797,19.89,191,2.281033367,96.7,8.79,7.28,-238,14
5/20/2018,Vulgaris small,1st,NE,3.192,21.3,0.033553834,0.021433244,0.016708502,-1.777062485,3.54,64,1.806179974,66.3,8.79,6.46,-250.3,23
5/20/2018,Vulgaris small,1st,SE,3.122,19.6,0.033435302,0.011819684,0.032439189,-1.488930012,3.2,74,1.86923172,55.3,7.41,6.56,-256,23
5/20/2018,Vulgaris small,1st,SW,3.325,23.3,0.032842638,0.003718514,0.039582607,-1.402495606,3.61,104,2.017033339,48.6,6.44,6.53,-254.4,21.5
6/4/2018,Vulgaris small,2nd3rd,East,1.24,31.9,0.02857536,0.026078064,0.004469229,-2.349767392,7.03,298,2.474216264,100.8,12.21,6.46,-265.7,15
6/4/2018,Vulgaris small,2nd3rd,N,1.621666667,35.4,0.042443405,0.052003432,0.003121778,-2.505597984,8.76,218,2.338456494,84.4,9.8,6.4,-267.8,9.5
6/4/2018,Vulgaris small,2nd3rd,S,1.563333333,31.8,0.021107224,0.02877856,0.006888736,-2.161860459,7.02,177,2.247973266,96.7,11.72,6.33,-292,17
6/13/2018,Vulgaris small,Pupae,East,6.86,39.7,0.03070902,0.017976662,0.010228825,-1.990174251,21.77,333,2.522444234,93,8.15,7.17,-256,13
6/13/2018,Vulgaris small,Pupae,NE,2.086,37.9,0.03,0.017220538,0.009849269,-2.006596001,17.49,311,2.492760389,86.7,8.28,7.15,-256,17
6/13/2018,Vulgaris small,Pupae,SW,2.688,43.5,0.034739152,0.004150573,0.009615074,-2.017047369,19.89,346,2.539076099,85.5,7.74,7.14,-241,11.4
5/16/2018,Waterfall,1st,East,3.021666667,25.4,0.038295029,0.01014907,0.007917427,-2.101415932,5.39,100,2,82.9,10.47,6.44,-261.5,16
5/16/2018,Waterfall,1st,NW,3.0625,34.6,0.049910088,0,0.009481738,-2.023112049,6.8,124,2.093421685,70.8,8.66,6.62,-256.8,13
5/16/2018,Waterfall,1st,S,2.66875,26.4,0.035568867,0.01295786,0.006676197,-2.175470857,5.95,96,1.982271233,85.4,10.64,6.4,-254.1,12
5/27/2018,Waterfall,2nd3rd,NE,0.641666667,36.8,0.040547024,0.094527275,0.004263497,-2.370234038,9.53,226,2.354108439,78.8,8.99,6.22,-229.8,19.5
5/27/2018,Waterfall,2nd3rd,NW,1.687,38.2,0.035687397,0.036123984,0.003510284,-2.454657745,10.48,199,2.298853076,82.9,9.24,6.25,-231.9,19
5/27/2018,Waterfall,2nd3rd,SE,0.570769231,39.2,0.040072924,0.016464415,0.00382058,-2.417870702,7.94,208,2.318063335,79,9.34,6.22,-219.2,28.5
6/11/2018,Waterfall,Pupae,NE,0.8575,49.8,0.043628627,0.034179597,0.003313055,-2.479771354,17.1,293,2.46686762,78.8,7.59,6.96,-260.9,17.5
6/11/2018,Waterfall,Pupae,NW,1.057,49.1,0.044221233,0.020245041,0.005137435,-2.28925366,19.01,240,2.380211242,83.2,7.73,6.97,-257.2,13.5
6/11/2018,Waterfall,Pupae,SE,0.924,48.7,0.034383558,0.022405412,0.003577444,-2.446427156,17.72,285,2.45484486,77.8,7.4,6.98,-250,21
