Date,Pond,Instar, Sampling station,FPOM_adjust,FPOM_liter,DOC,NH4,N03N02,TotalP,logTotalP,LogTotalP,Conduc,logConduc,DoPerc,DomgL,pH,ORP,Depth
6/11/2018,Golf,Pupae,SW,3.453333333,9.866666666,26.3,36.161517,13.16592,5.052421,1.619867534,-2.296500468,354,2.549003262,76.3,6.7,7,-258.1,7
5/20/2018,Ice,1st,East,1.98,5.657142857,12.8,20.739731,17.544591,5.69836,1.740178414,-2.244250117,71,1.851258349,55.5,7.86,6.02,-247.6,25.5
5/20/2018,Ice,1st,N,1.99,5.685714286,15.5,20.229981,0,7.935333,2.071325319,-2.100434844,72,1.857332496,62,8.55,6.44,-248,25.5
5/20/2018,Ice,1st,S,1.97,5.628571429,14,24.070831,24.88985,6.675523,1.898447553,-2.175514703,68,1.832508913,63.6,8.89,6.75,-266.2,21.5
6/4/2018,Ice,2nd3rd,East,1.166666667,3.333333334,27.1,21.427297,24.673811,6.711056,1.903756316,-2.173209137,90,1.954242509,90,11.22,6.4,-257.8,12
6/4/2018,Ice,2nd3rd,N,1.155,3.3,17.6,28.338284,24.133715,7.084073,1.957849025,-2.149716972,89,1.949390007,82,9.95,6.42,-254,10
6/4/2018,Ice,2nd3rd,S,1.225,3.5,17.9,29.997804,27.59034,7.171856,1.970164477,-2.144368439,86,1.934498451,90,13,6.28,-275.5,29
6/12/2018,Ice,Pupae,East,1.003333333,2.866666666,23.4,39.954398,8.588641,6.522892,1.875317836,-2.185559812,110,2.041392685,82.9,8.58,6.63,-257.8,
6/12/2018,Ice,Pupae,N,1.575,4.5,24.1,15.025652,13.894129,6.968671,1.941424532,-2.156850039,106,2.025305865,90,9.43,6.63,-256.6, 
6/12/2018,Ice,Pupae,S,1.971666667,5.633333334,23.6,24.545001,26.065868,5.229967,1.654404968,-2.281501051,107,2.029383778,83.4,8.88,6.64,-261.3,
5/15/2018,NoOil,1st,NE,2.2,6.285714286,39.6,59.880253,43.109434,15.093062,2.714235168,-1.821222644,410,2.612783857,64.2,7.75,6.45,-244.8,20
5/15/2018,NoOil,1st,NW,3.17,9.057142857,56.1,60.003198,60.212704,22.235212,3.101677158,-1.652958725,556,2.745074792,67.8,8.79,6.45,-252.3,30
5/15/2018,NoOil,1st,SW,2.58,7.371428571,42.1,65.78186,56.987327,9.311703,2.231271996,-2.030970884,470,2.672097858,79.8,10.67,6.59,-258.7,30
5/27/2018,NoOil,2nd3rd,NE,1.96,5.6,23.8,52.38099,16.237853,62.036747,4.127726903,-1.207350983,770,2.886490725,53.4,5.37,6.46,-236,13
5/27/2018,NoOil,2nd3rd,NW,7.155555556,20.44444445,24.1,56.437872,23.468152,129.004495,4.859847249,-0.889395157,817,2.912222057,58.5,6.07,6.32,-250.2,12
5/27/2018,NoOil,2nd3rd,SW,2.1,6,22.2,46.234635,39.005016,79.561362,4.376528573,-1.099297791,838,2.923244019,62.8,6.67,6.5,-236.7,14
6/4/2018,NoOil,Pupae,NE,3.885,11.1,32.8,68.363965,10.893579,13.222585,2.581926352,-1.878683632,1007,3.003029471,55,5.13,6.12,-255.6,12
6/4/2018,NoOil,Pupae,NW,3.864,11.04,35.1,59.634363,0,18.749097,2.931145591,-1.727019644,1212,3.08350262,66,6.13,6.72,-254.6,8
6/4/2018,NoOil,Pupae,SW,2.228333333,6.366666666,33,40.088803,29.428595,9.932333,2.295795395,-2.002948728,1120,3.049218023,87,8.37,6.74,-260,8.5
5/9/2018,Oil,1st,Center,2.856,8.16,19.7,46.111713,18.28965,10.416936,2.343432943,-1.982260004,935,2.970811611,90.6,11.99,,-238.5,7
5/9/2018,Oil,1st,East,3.57,10.2,20.3,39.84298,37.148303,11.224615,2.418109135,-1.949828546,540,2.73239376,70.3,9.17,,-224,10
5/9/2018,Oil,1st,West,3.22,9.2,20.5,18.521075,39.395907,14.24284,2.656254324,-1.846403404,508,2.705863712,72.8,9.17,,-210.9,13
5/13/2018,Oil,2nd3rd,Center,3.052,8.72,18.7,25.869354,84.650229,0.13875,-1.975081526,-3.857767008,733,2.865103975,96.6,12.33,,-214.7,18
5/13/2018,Oil,2nd3rd,East,2.772,7.92,19.4,30.502349,121.218172,15.178084,2.719852545,-1.818783048,675,2.829303773,98.8,12.74,,-220.5,25
5/13/2018,Oil,2nd3rd,West,3.052,8.72,20.4,31.977106,37.73463,6.931243,1.936039162,-2.159188875,585,2.767155866,94.7,12.46,,-245.7,25
6/5/2018,Oil,Pupae,Center,2.856,8.16,27.3,40.457538,46.041248,8.282997,2.114204859,-2.081812496,1586,3.200303183,106.8,11.45,6.45,,6
6/5/2018,Oil,Pupae,East,2.593181818,7.409090909,30,20.659125,49.461789,11.709225,2.460376993,-1.931471849,1337,3.126131407,107,11.9,6.51,,11
6/5/2018,Oil,Pupae,West,3.416,9.76,26.6,25.500693,80.64213,10.306413,2.332766323,-1.986892458,1303,3.114944416,99.6,11.11,6.52,,13
5/17/2018,Vulgaris,1st,NE,1.345555556,3.844444446,21.4,28.930973,34.719704,152.841428,5.029400966,-0.815758913,38,1.579783597,83.6,10.68,6.5,-247.5,24
5/17/2018,Vulgaris,1st,SE,2.7,7.714285714,23.9,28.930973,14.196053,66.375073,4.195321579,-1.177994988,51,1.707570176,81.9,10.57,6.43,-251.8,29
5/17/2018,Vulgaris,1st,West,3.304,9.44,23.5,28.812435,9.551343,88.495019,4.482946268,-1.053081173,48,1.681241237,83.4,10.47,6.49,-254.1,24
5/29/2018,Vulgaris,2nd3rd,NE,3.161666667,9.033333334,34.5,40.902598,12.035717,12.882502,2.555869956,-1.889999781,102,2.008600172,78.5,9.67,6.13,-225.8,22
5/29/2018,Vulgaris,2nd3rd,SE,2.87,8.2,32.1,28.693898,2.098295,12.389384,2.516839977,-1.906950286,96,1.982271233,74.6,9.15,6.12,-226.6,24
5/29/2018,Vulgaris,2nd3rd,West,0.83125,2.375,33.6,38.532083,20.893151,14.66795,2.685664841,-1.833630579,90,1.954242509,84.9,10.37,6.12,-244.7,17.5
6/13/2018,Vulgaris,Pupae,NE,2.35,6.714285714,61,56.902234,23.701639,32.099039,3.468826092,-1.49350797,121,2.08278537,85.5,7.65,7.12,-254.3,18
6/13/2018,Vulgaris,Pupae,SE,1.4,4,71.2,45.643474,45.846035,68.07643,4.220631045,-1.167003227,222,2.346352974,68.6,6.33,6.35,-228.8,13
6/13/2018,Vulgaris,Pupae,West,1.36,3.885714286,57,47.065697,21.00117,32.099039,3.468826092,-1.49350797,191,2.281033367,96.7,8.79,7.28,-238,14
5/20/2018,Vulgaris small,1st,East,3.122,8.92,19.6,33.435302,11.819684,32.439189,3.479367229,-1.488930012,74,1.86923172,55.3,7.41,6.56,-256,23
5/20/2018,Vulgaris small,1st,NE,3.192,9.12,21.3,33.553834,21.433244,16.708502,2.815917692,-1.777062485,64,1.806179974,66.3,8.79,6.46,-250.3,23
5/20/2018,Vulgaris small,1st,SW,3.325,9.5,23.3,32.842638,3.718514,39.582607,3.678389805,-1.402495606,104,2.017033339,48.6,6.44,6.53,-254.4,21.5
6/4/2018,Vulgaris small,2nd3rd,East,1.24,3.542857143,31.9,28.57536,26.078064,4.469229,1.497215911,-2.349767392,298,2.474216264,100.8,12.21,6.46,-265.7,15
6/4/2018,Vulgaris small,2nd3rd,NE,1.621666667,4.633333334,35.4,42.443405,52.003432,3.121778,1.138402711,-2.505597984,218,2.338456494,84.4,9.8,6.4,-267.8,9.5
6/4/2018,Vulgaris small,2nd3rd,SW,1.563333333,4.466666666,31.8,21.107224,28.77856,6.888736,1.929887614,-2.161860459,177,2.247973266,96.7,11.72,6.33,-292,17
6/13/2018,Vulgaris small,Pupae,East,6.86,19.6,39.7,30.70902,17.976662,10.228825,2.325209715,-1.990174251,333,2.522444234,93,8.15,7.17,-256,13
6/13/2018,Vulgaris small,Pupae,NE,2.086,5.96,37.9,30,17.220538,9.849269,2.287397239,-2.006596001,311,2.492760389,86.7,8.28,7.15,-256,17
6/13/2018,Vulgaris small,Pupae,SW,2.688,7.68,43.5,34.739152,4.150573,9.615074,2.263332075,-2.017047369,346,2.539076099,85.5,7.74,7.14,-241,11.4
5/16/2018,Waterfall,1st,NE,3.021666667,8.633333334,25.4,38.295029,10.14907,7.917427,2.069066279,-2.101415932,100,2,82.9,10.47,6.44,-261.5,16
5/16/2018,Waterfall,1st,NW,3.0625,8.75,34.6,49.910088,0,9.481738,2.249367633,-2.023112049,124,2.093421685,70.8,8.66,6.62,-256.8,13
5/16/2018,Waterfall,1st,SE,2.66875,7.625,26.4,35.568867,12.95786,6.676197,1.898548514,-2.175470857,96,1.982271233,85.4,10.64,6.4,-254.1,12
5/27/2018,Waterfall,2nd3rd,NE,0.641666667,1.833333334,36.8,40.547024,94.527275,4.263497,1.450089716,-2.370234038,226,2.354108439,78.8,8.99,6.22,-229.8,19.5
5/27/2018,Waterfall,2nd3rd,NW,1.687,4.82,38.2,35.687397,36.123984,3.510284,1.255696946,-2.454657745,199,2.298853076,82.9,9.24,6.25,-231.9,19
5/27/2018,Waterfall,2nd3rd,SE,0.570769231,1.630769231,39.2,40.072924,16.464415,3.82058,1.340402244,-2.417870702,208,2.318063335,79,9.34,6.22,-219.2,28.5
6/11/2018,Waterfall,Pupae,NE,0.8575,2.45,49.8,43.628627,34.179597,3.313055,1.197870724,-2.479771354,293,2.46686762,78.8,7.59,6.96,-260.9,17.5
6/11/2018,Waterfall,Pupae,NW,1.057,3.02,49.1,44.221233,20.245041,5.137435,1.636553928,-2.28925366,240,2.380211242,83.2,7.73,6.97,-257.2,13.5
6/11/2018,Waterfall,Pupae,SE,0.924,2.64,48.7,34.383558,22.405412,3.577444,1.274648579,-2.446427156,285,2.45484486,77.8,7.4,6.98,-250,21
