"","Site","Year","SiteYear","Date","Day","Larvalstage","Larvalstage2","Emergence","samplemeanbeetle","samplemean","samplelnmean1","samplelnmean2","samplevar","samplevarbeetles","samplelnvar","Totalarea","Samplearea","n","N","finitepopcorrection","Totalpop","variancepop","VMR","SEpop","lnTotalpop","lnupperSE","lnlowerSE","Totalpopbeetles","SEpopbeetles","lnTotalpopbeetles","lnupperSEbeetles","lnlowerSEbeetles"
"20","Ice","2018","Ice2018",2018-05-25,2017-05-25,"One","N0","Before",0,17.9473684210526,2.88744349811708,2.04136237721053,472.27485380117,0,2.43906178806734,42983.84615,1.75,19,24562.1978,0.999226453587146,440826.813147368,14984408123.6741,33991.5986885871,122410.817020695,12.9964096318071,13.241456896523,12.6711139707817,0,0,0,0,0
"21","Ice","2018","Ice2018",2018-05-29,2017-05-29,"Two","Two","Before",0,19.1,2.94968833505258,1.7598083409,899.042105263158,0,2.90281815073359,42426.92308,1.75,20,24243.9560457143,0.999175052125887,463059.560473143,26399675815.3463,57011.4042961811,162479.770480347,13.0456131246728,13.3463694861345,12.6134685218146,0,0,0,0,0
"22","Ice","2018","Ice2018",2018-06-04,2017-06-04,"TwoThree","TwoThree","Before",0,8.36842105263158,2.12446522305379,1.70648937221053,80.9122807017544,0,1.33960156869997,41591.53846,1.75,19,23766.5934057143,0.999200558545533,198888.860605714,2403518022.36019,12084.7292052471,49025.6873726436,12.2005064861958,12.4208394011677,11.9174779783443,0,0,0,0,0
"23","Ice","2018","Ice2018",2018-06-08,2017-06-08,"ThreeFour","ThreeFour","Before",0.0588235294117647,7.64705882352941,2.03432110639937,1.89830868723529,35.2426470588235,0.0588235294117647,0.663782258194846,41034.61538,1.75,17,23448.3516457143,0.999275002343156,179310.92434958,1139014517.30986,6352.17581662379,33749.2891378449,12.096882162399,12.2693300971708,11.8883548855991,1379.31480268908,1378.8147120315,7.23006687002696,7.92267051574711,0.405525544663591
"24","Ice","2018","Ice2018",2018-06-12,2017-06-12,"FourPupae","FourPupae","Before",0.5,11.0555555555556,2.40293306682833,1.81188258888889,363.232026143791,0.735294117647059,1.30047558209977,40477.69231,1.75,18,23130.1098914286,0.999221793580554,255716.214910794,10787701430.5516,42186.2236398068,103863.8600792,12.4518274836544,12.7926921712291,11.9306639779703,11565.0549457143,4673.07701184566,9.35582978933063,9.69517916139795,8.83825848164284
"25","Ice","2018","Ice2018",2018-06-16,2017-06-16,"FourPupae","FourPupae","Before",0.25,20.5,3.02042488614436,2.4306554505,761.466666666667,0.333333333333333,1.44407525968232,39920.76923,1.75,16,22811.8681314286,0.999298610709661,467643.296694286,24748444207.6845,52921.6271945482,157316.38251525,13.055463236117,13.3454424133727,12.6453815826694,5702.96703285714,3291.45464851657,8.64891718242405,9.10447102481597,7.78842396660538
"30","NoOil","2018","NoOil2018",2018-05-19,2017-05-19,"One","N0","Before",0,131.6,4.87976701889122,3.1115430556,43396.0444444444,0,4.95524929005829,17069.09091,1.75,10,9753.76623428571,0.998974755006446,1283595.636432,412429141539.585,321307.684315608,642206.463327476,14.0651765677968,14.4708531141187,13.3713916859998,0,0,0,0,0
"31","NoOil","2018","NoOil2018",2018-05-24,2017-05-24,"Two","Two","Before",0,44.1,3.7864597824528,3.4948056234,986.766666666666,0,0.841387078150224,16505.45455,1.75,10,9431.68831428571,0.998939744437393,415937.45466,8768648144.97857,21081.6507307483,93641.060144461,12.9382925827695,13.1413392214495,12.6832268810067,0,0,0,0,0
"32","NoOil","2018","NoOil2018",2018-05-27,2017-05-27,"TwoThree","TwoThree","Before",0,64.5,4.16666522380173,3.7881161979,3054.94444444444,0,0.987579766858735,16167.27273,1.75,10,9238.44156,0.998917566351959,595879.48062,26045362065.0443,43709.1105032593,161385.755458914,13.297795390065,13.537468848963,12.9819367820668,0,0,0,0,0
"33","NoOil","2018","NoOil2018",2018-06-01,2017-06-01,"Four","Four","Before",0.1,13.9,2.63188884013665,2.3879150743,104.322222222222,0.1,0.879690547966527,15603.63636,1.75,10,8916.36363428572,0.998878466557651,123937.454516571,828447562.206856,6684.40033271851,28782.7650201793,11.7275403868286,11.9363628959101,11.4632591568108,891.636363428572,891.136223158221,6.79417929013813,7.48648583112814,0.405558617302948
"34","NoOil","2018","NoOil2018",2018-06-04,2017-06-04,"Pupae","Pupae","Before",0.6,85.5,4.44851637594271,3.991429594,3784.05555555556,0.711111111111111,1.52295738961727,15265.45455,1.75,10,8723.11688571429,0.998853620772137,745826.493728571,28760917466.2618,38562.4776112188,169590.440374043,13.5222496107947,13.7271349061595,13.2642726705785,5233.87013142857,2324.83078717821,8.56309731524689,8.93058690736017,7.97592188043509
"38","Oil","2018","Oil2018",2018-05-16,2017-05-16,"OneTwo","N0","Before",0,87.7222222222222,4.47417525635948,3.83458478077778,9433.97712418301,0,1.92363772308917,39557.14286,1.75,18,22604.0816342857,0.999203683640361,1982880.27225206,267577797295.717,134944.000926397,517279.225656432,14.5000615329168,14.7318650869667,14.197775987009,0,0,0,0,0
"39","Oil","2018","Oil2018",2018-05-19,2017-05-19,"TwoThree","TwoThree","Before",0,70.2352941176471,4.25185094989633,3.763977703,6476.81617647059,0,1.00505584704958,39364.28571,1.75,17,22493.8775485714,0.999244238795055,1579864.10547025,192625134963.994,121925.129064603,438890.800728375,14.2728500250737,14.5179914962653,13.9473922322006,0,0,0,0,0
"40","Oil","2018","Oil2018",2018-05-23,2017-05-23,"TwoThree","TwoThree","Before",0,20.8125,3.03555376774066,2.7444445306875,550.029166666667,0,0.606626827225131,39107.14286,1.75,16,22346.9387771429,0.999284018264892,465095.663299286,17155001369.7374,36884.887827256,130977.102463512,13.0500005410288,13.2981180288011,12.7192511815332,0,0,0,0,0
"41","Oil","2018","Oil2018",2018-05-27,2017-05-27,"ThreeFour","ThreeFour","Before",0,17.3125,2.85142878394756,2.777368565375,96.0958333333333,0,0.279803570888435,38850,1.75,16,22200,0.999279279279279,384337.5,2957858578.75,7695.99265944645,54386.1984215665,12.8592789536844,12.9916251053478,12.7067003515786,0,0,0,0,0
"42","Oil","2018","Oil2018",2018-06-01,2017-06-01,"FourPupae","FourPupae","Before",0,18.3333333333333,2.90872089656436,2.85797096686667,95.6666666666667,0,0.209539120747009,38528.57143,1.75,15,22016.3265314286,0.999318687430504,403632.653076191,3089321503.43617,7653.79480547879,55581.6651732941,12.9082629462357,13.0372723043583,12.7601042649864,0,0,0,0,0
"43","Oil","2018","Oil2018",2018-06-05,2017-06-05,"FourPupae","FourPupae","Before",0.133333333333333,11,2.39789527279837,2.2978981506,58.7142857142857,0.266666666666667,0.405307900204959,38271.42857,1.75,15,21869.3877542857,0.999314109742416,240563.265297143,1870801855.72987,7776.75616191466,43252.7670297504,12.390742548205,12.5560815337506,12.1925339002626,2915.9183672381,2914.9181957067,7.97828298429893,8.67108724910939,0.69323294258031
"48","Vulgaris","2018","Vulgaris2018",2018-05-21,2017-05-21,"One","N0","Before",0,246.241379310345,5.50631227156264,4.57890504275862,80681.9753694581,0,3.15648730301267,88394.57143,1.75,29,50511.1836742857,0.999425869720516,12437943.5385543,7094212664525.78,570368.617813357,2663496.32335503,16.3362624016036,16.5303006523325,16.0952821113619,0,0,0,0,0
"49","Vulgaris","2018","Vulgaris2018",2018-05-25,2017-05-25,"Two","Two","Before",0,161.911764705882,5.08705152454062,4.61603073917647,22658.3859180036,0,1.20013645900513,87239.14286,1.75,34,49850.9387771429,0.999317966705662,8071453.4696521,1655009269250.16,205044.763681391,1286471.6356182,15.9038442556857,16.0517341470925,15.730222173876,0,0,0,0,0
"50","Vulgaris","2018","Vulgaris2018",2018-05-29,2017-05-29,"TwoThree","TwoThree","Before",0,54.5882352941176,3.99981838872998,3.81145332791176,1186.37076648841,0,0.478395843915358,86083.71429,1.75,34,49190.69388,0.99930881235213,2685233.17180235,84373707742.298,31421.3710110193,290471.526560346,14.8032784969461,14.905991442311,14.6887942620549,0,0,0,0,0
"51","Vulgaris","2018","Vulgaris2018",2018-06-04,2017-06-04,"Three","Three","Before",0,31.4285714285714,3.44771739729705,3.32843119542857,412.10582010582,0,0.289228148338274,84350.57143,1.75,28,48200.3265314286,0.999419091072303,1514867.40527347,34174196995.6552,22559.2001495906,184862.643591547,14.2308391319473,14.3459800016319,14.1006930804035,0,0,0,0,0
"52","Vulgaris","2018","Vulgaris2018",2018-06-08,2017-06-08,"FourPupae","FourPupae","Before",2.48148148148148,28.2962962962963,3.34273092316219,3.19938059674074,373.908831908832,10.7207977207977,0.359378827974763,83195.14286,1.75,27,47540.0816342857,0.99943205819023,1345208.23587386,31280600492.2451,23253.3519034879,176863.225381211,14.1120601246245,14.2355827685059,13.9710987844483,117969.832203598,29948.0279630403,11.6781926881774,11.9044191602893,11.3853511989869
"57","Vulgaris small","2018","Vulgaris small2018",2018-05-25,2017-05-25,"OneTwo","N0","Before",0,72.9677419354839,4.29001745219092,2.97472916058065,13368.0322580645,0,3.79883273355779,71002.30769,1.75,31,40572.7472514286,0.999235940326942,2960501.75105585,709320756173.588,239594.776770732,842211.823814881,14.9008696602073,15.1512254684997,14.5661196830468,0,0,0,0,0
"58","Vulgaris small","2018","Vulgaris small2018",2018-05-29,2017-05-29,"Two","Two","Before",0,88.25,4.48017369581341,3.31171911439286,11082.1203703704,0,3.91522551526366,70636.15385,1.75,28,40363.5164857143,0.999306304246066,3562080.32986429,644379104759.569,180899.655562826,802732.274646765,15.0858555752113,15.2890858149508,14.8305049979132,0,0,0,0,0
"59","Vulgaris small","2018","Vulgaris small2018",2018-06-04,2017-06-04,"TwoThree","TwoThree","Before",0,43.3928571428571,3.77029484559944,2.66775012921429,2790.76587301587,0,3.45055468460023,70086.92308,1.75,28,40049.6703314286,0.999300868152764,1737869.6233102,159756864436.413,91926.8409399528,399695.964998914,14.3681711420541,14.5751781639114,14.1068163007187,0,0,0,0,0
"60","Vulgaris small","2018","Vulgaris small2018",2018-06-08,2017-06-08,"ThreeFour","ThreeFour","Before",0,16.08,2.77757626375082,2.21860076732,504.41,0,1.45939585603144,69720.76923,1.75,25,39840.43956,0.999372496883164,640634.2681248,32005109344.6943,49958.472309601,178899.718682547,13.3702155694728,13.6164911489203,13.0427454366294,0,0,0,0,0
"61","Vulgaris small","2018","Vulgaris small2018",2018-06-13,2017-06-13,"FourPupae","FourPupae","Before",0.785714285714286,10.6785714285714,2.36823906321548,2.03690190414286,85.8558201058201,0.619047619047619,1.10798621908151,69263.07692,1.75,28,39578.9010971429,0.999292552364421,422646.122430204,4799895962.39004,11356.7727412019,69281.2814719101,12.954292883935,13.1060864315429,12.775256345968,31097.708004898,5882.9217307139,10.3449215540535,10.5181765747005,10.13522551682
"67","Waterfall","2018","Waterfall2018",2018-05-19,2017-05-19,"One","N0","Before",0,23.6296296296296,3.16250141734046,1.9915649822963,1645.85754985755,0,2.78796832693246,53122.5,1.75,27,30355.7142857143,0.999110546378653,717294.285714286,56120681490.989,78239.4096937545,236898.040285244,13.4832428698279,13.7686205296922,13.0823665536475,0,0,0,0,0
"68","Waterfall","2018","Waterfall2018",2018-05-24,2017-05-24,"OneTwo","OneTwo","Before",0,31.8,3.45946628978613,2.8501047204,1000.45714285714,0,1.8707617863888,38610,1.75,15,22062.8571428571,0.999320124320124,701598.857142857,32444072962.4257,46243.0527531767,180122.383290988,13.4611185164239,13.6896312311035,13.1644194399449,0,0,0,0,0
"69","Waterfall","2018","Waterfall2018",2018-05-28,2017-05-28,"Two","Two","Before",0,71.3076923076923,4.26700420810432,4.20775150869231,1035.23076923077,0,0.145084198323322,27000,1.75,13,15428.5714285714,0.999157407407407,1100175.82417582,18939964590.7499,17215.3979159999,137622.543904514,13.9109814741006,14.0288448498832,13.777344699738,0,0,0,0,0
"70","Waterfall","2018","Waterfall2018",2018-06-02,2017-06-02,"TwoThree","TwoThree","Before",0,40,3.68887945411394,3.50748357963636,571.6,0,0.528309043009816,25825.45455,1.75,11,14757.4026,0.999254611377208,590296.104,11308253799.9952,19156.9175594545,106340.27365018,13.2883812552367,13.4540188572706,13.0897489219265,0,0,0,0,0
"71","Waterfall","2018","Waterfall2018",2018-06-05,2017-06-05,"ThreeFour","ThreeFour","Before",1.91666666666667,17.0833333333333,2.83810332935041,2.79400094858333,56.9924242424242,1.17424242424242,0.256381438542978,25618.18182,1.75,12,14638.96104,0.999180269694877,250082.2511,1016951506.8059,4066.46814131264,31889.6771198126,12.4295491458107,12.5495627996455,12.2931333187139,28058.00866,4577.4165999631,10.242065023738,10.3931842828585,10.0639720765853
"72","Waterfall","2018","Waterfall2018",2018-06-11,2017-06-11,"FourPupae","FourPupae","Before",0.727272727272727,28.7272727272727,3.35784694078854,3.30940640590909,158.618181818182,0.818181818181818,0.186950512096393,25203.63636,1.75,11,14402.07792,0.999236221324374,413732.420247273,2988675498.43976,7223.69181669045,54668.779924558,12.9329771329606,13.0570804729822,12.7912549228537,10474.2384872727,3926.33914620084,9.25676951181257,9.57509303744317,8.78705227497806
