Site,Year,SiteYear,Date,Day,Larvalstage,Larvalstage2,Emergence,samplemean,Day0,samplemeanliter,samplevar,samplevarliter,samplelnmean,samplelnvar,Totalarea,Samplearea,n,N,finitepopcorrection,Sesampleliter,Totalpop,variancepop,VMR,SEpop,conf95,upper95,lower95,lnTotalpop,lnSEpop,Totalpop,variancepop,VMR,SEpop
Ice,2018,Ice2018,5/25/2018,5/25/2017,One,One,Before,17.94736842,0,10.2556391,472.2748538,154.2121972,2.041362377,2.439061788,42983.84615,1.75,19,24562.1978,0.999226454,2.84893514,440826.8131,14984408124,33991.59869,122410.817,239925.2014,680752.0145,200901.6118,50140.34649,8796.983687,440.8268131,47110737758,54747.85815,122.410817
Ice,2018,Ice2018,5/29/2018,5/29/2017,Two,Two,Before,19.1,4,10.91428571,899.0421053,293.5647691,1.759808341,2.902818151,42426.92308,1.75,20,24243.95605,0.999175052,3.831218925,463059.5605,26399675815,57011.4043,162479.7705,318460.3501,781519.9106,144599.2103,42664.71606,9232.497443,463.0595605,47110737758,54747.85815,162.4797705
Ice,2018,Ice2018,6/4/2018,6/4/2017,TwoThree,TwoThree,Before,8.368421053,10,4.781954887,80.9122807,26.42033656,1.706489372,1.339601569,41591.53846,1.75,19,23766.59341,0.999200559,1.179213309,198888.8606,2403518022,12084.72921,49025.68737,96090.34725,294979.2079,102798.5134,40557.43906,6308.183146,198.8888606,47110737758,54747.85815,49.02568737
Ice,2018,Ice2018,6/8/2018,6/8/2017,ThreeFour,ThreeFour,Before,7.647058824,14,4.369747899,35.24264706,11.50780312,1.898308687,0.663782258,41034.61538,1.75,17,23448.35165,0.999275002,0.822757313,179310.9243,1139014517,6352.175817,33749.28914,66148.60671,245459.5311,113162.3176,44512.20963,4631.729517,179.3109243,47110737758,54747.85815,33.74928914
Ice,2018,Ice2018,6/12/2018,6/12/2017,FourPupae,FourPupae,Before,11.05555556,18,6.317460317,363.2320261,118.6063759,1.811882589,1.300475582,40477.69231,1.75,18,23130.10989,0.999221794,2.566952104,255716.2149,10787701431,42186.22364,103863.8601,203573.1658,459289.3807,52143.04916,41909.04339,6214.747575,255.7162149,47110737758,54747.85815,103.8638601
Ice,2018,Ice2018,6/16/2018,6/16/2017,FourPupae,FourPupae,Before,20.5,22,11.71428571,761.4666667,248.6421769,2.430655451,1.44407526,39920.76923,1.75,16,22811.86813,0.999298611,3.942097926,467643.2967,24748444208,52921.62719,157316.3825,308340.1097,775983.4064,159303.187,55447.79161,6850.833564,467.6432967,47110737758,54747.85815,157.3163825
NoOil,2018,NoOil2018,5/19/2018,5/19/2017,One,One,Before,131.6,0,75.2,43396.04444,14170.13696,3.111543055,4.95524929,17069.09091,1.75,10,9753.766234,0.998974755,37.64324237,1283595.636,4.12E+11,321307.6843,642206.4633,1258724.668,2542320.305,24870.96831,30349.26359,6862.499937,1283.595636,47110737758,54747.85815,642.2064633
NoOil,2018,NoOil2018,5/24/2018,5/24/2017,Two,Two,Before,44.1,5,25.2,986.7666667,322.2095238,3.494805623,0.841387078,16505.45455,1.75,10,9431.688314,0.998939744,5.676350269,415937.4547,8768648145,21081.65073,93641.06014,183536.4779,599473.9325,232400.9768,32961.91736,2734.368269,415.9374547,47110737758,54747.85815,93.64106014
NoOil,2018,NoOil2018,5/27/2018,5/27/2017,TwoThree,TwoThree,Before,64.5,8,36.85714286,3054.944444,997.5328798,3.788116198,0.987579767,16167.27273,1.75,10,9238.44156,0.998917566,9.987656781,595879.4806,26045362065,43709.1105,161385.7555,316316.0807,912195.5613,279563.3999,34996.29012,2901.68078,595.8794806,47110737758,54747.85815,161.3857555
NoOil,2018,NoOil2018,6/1/2018,6/1/2017,Four,Four,Before,13.9,13,7.942857143,104.3222222,34.06439909,2.387915074,0.879690548,15603.63636,1.75,10,8916.363634,0.998878467,1.845654331,123937.4545,828447562.2,6684.400333,28782.76502,56414.21944,180351.674,67523.23508,21291.51913,2643.072403,123.9374545,47110737758,54747.85815,28.78276502
NoOil,2018,NoOil2018,6/4/2018,6/4/2017,Pupae,Pupae,Before,85.5,16,48.85714286,3784.055556,1235.609977,3.991429594,1.52295739,15265.45455,1.75,10,8723.116886,0.998853621,11.11579946,745826.4937,28760917466,38562.47761,169590.4404,332397.2631,1078223.757,413429.2306,34817.70689,3402.252111,745.8264937,47110737758,54747.85815,169.5904404
Oil,2018,Oil2018,5/16/2018,5/16/2017,OneTwo,OneTwo,Before,87.72222222,0,50.12698413,9433.977124,3080.482326,3.834584781,1.923637723,39557.14286,1.75,18,22604.08163,0.999203684,13.08196877,1982880.272,2.68E+11,134944.0009,517279.2257,1013867.282,2996747.555,969012.99,86677.26742,7386.509663,1982.880272,47110737758,54747.85815,517.2792257
Oil,2018,Oil2018,5/19/2018,5/19/2017,TwoThree,TwoThree,Before,70.23529412,3,40.13445378,6476.816176,2114.878752,3.763977703,1.005055847,39364.28571,1.75,17,22493.87755,0.999244239,11.15368246,1579864.105,1.93E+11,121925.1291,438890.8007,860225.9694,2440090.075,719638.136,84666.45355,5467.27337,1579.864105,47110737758,54747.85815,438.8908007
Oil,2018,Oil2018,5/23/2018,5/23/2017,TwoThree,TwoThree,Before,20.8125,7,11.89285714,550.0291667,179.6013605,2.744444531,0.606626827,39107.14286,1.75,16,22346.93878,0.999284018,3.350385804,465095.6633,17155001370,36884.88783,130977.1025,256715.1208,721810.7841,208380.5425,61329.9339,4349.740266,465.0956633,47110737758,54747.85815,130.9771025
Oil,2018,Oil2018,5/27/2018,5/27/2017,ThreeFour,ThreeFour,Before,17.3125,11,9.892857143,96.09583333,31.37823129,2.777368565,0.279803571,38850,1.75,16,22200,0.999279279,1.400406889,384337.5,2957858579,7695.992659,54386.19842,106596.9489,490934.4489,277740.5511,61657.58215,2934.69553,384.3375,47110737758,54747.85815,54.38619842
Oil,2018,Oil2018,6/1/2018,6/1/2017,FourPupae,FourPupae,Before,18.33333333,16,10.47619048,95.66666667,31.23809524,2.857970967,0.209539121,38528.57143,1.75,15,22016.32653,0.999318687,1.443100718,403632.6531,3089321503,7653.794805,55581.66517,108940.0637,512572.7168,294692.5893,62922.02202,2601.260171,403.6326531,47110737758,54747.85815,55.58166517
Oil,2018,Oil2018,6/5/2018,6/5/2017,FourPupae,FourPupae,Before,11,20,6.285714286,58.71428571,19.17201166,2.297898151,0.4053079,38271.42857,1.75,15,21869.38775,0.99931411,1.130545935,240563.2653,1870801856,7776.756162,43252.76703,84775.42338,325338.6887,155787.8419,50253.62568,3593.639759,240.5632653,47110737758,54747.85815,43.25276703
Vulgaris,2018,Vulgaris2018,5/21/2018,5/21/2017,One,One,Before,246.2413793,0,140.7093596,80681.97537,26345.13481,4.578905043,3.156487303,88394.57143,1.75,29,50511.18367,0.99942587,30.14055283,12437943.54,7.09E+12,570368.6178,2663496.323,5220452.794,17658396.33,7217490.745,231285.9136,16659.64964,12437.94354,47110737758,54747.85815,2663.496323
Vulgaris,2018,Vulgaris2018,5/25/2018,5/25/2017,Two,Two,Before,161.9117647,4,92.5210084,22658.38592,7398.656626,4.616030739,1.200136459,87239.14286,1.75,34,49850.93878,0.999317967,14.75152697,8071453.47,1.66E+12,205044.7637,1286471.636,2521484.406,10592937.88,5549969.064,230113.4658,9362.698649,8071.45347,47110737758,54747.85815,1286.471636
Vulgaris,2018,Vulgaris2018,5/29/2018,5/29/2017,TwoThree,TwoThree,Before,54.58823529,8,31.19327731,1186.370766,387.3863727,3.811453328,0.478395844,86083.71429,1.75,34,49190.69388,0.999308812,3.37545802,2685233.172,84373707742,31421.37101,290471.5266,569324.1921,3254557.364,2115908.98,187488.0339,5832.933805,2685.233172,47110737758,54747.85815,290.4715266
Vulgaris,2018,Vulgaris2018,6/4/2018,6/4/2017,Three,Three,Before,31.42857143,14,17.95918367,412.1058201,134.5651657,3.328431195,0.289228148,84350.57143,1.75,28,48200.32653,0.999419091,2.192236022,1514867.405,34174196996,22559.20015,184862.6436,362330.7814,1877198.187,1152536.624,160431.4705,4897.394215,1514.867405,47110737758,54747.85815,184.8626436
Vulgaris,2018,Vulgaris2018,6/8/2018,6/8/2017,FourPupae,FourPupae,Before,28.2962963,18,16.16931217,373.9088319,122.0926798,3.199380597,0.359378828,83195.14286,1.75,27,47540.08163,0.999432058,2.126487974,1345208.236,31280600492,23253.3519,176863.2254,346651.9217,1691860.158,998556.3141,152098.8148,5483.160052,1345.208236,47110737758,54747.85815,176.8632254
Vulgaris small,2018,Vulgaris small2018,5/25/2018,5/25/2017,OneTwo,OneTwo,Before,72.96774194,0,41.69585253,13368.03226,4365.071758,2.974729161,3.798832734,71002.30769,1.75,31,40572.74725,0.99923594,11.86628697,2960501.751,7.09E+11,239594.7768,842211.8238,1650735.175,4611236.926,1309766.576,120692.9344,14197.52616,2960.501751,47110737758,54747.85815,842.2118238
Vulgaris small,2018,Vulgaris small2018,5/29/2018,5/29/2017,Two,Two,Before,88.25,2,50.42857143,11082.12037,3618.65155,3.311719114,3.915225515,70636.15385,1.75,28,40363.51649,0.999306304,11.36826967,3562080.33,6.44E+11,180899.6556,802732.2746,1573355.258,5135435.588,1988725.072,133672.6291,15088.20876,3562.08033,47110737758,54747.85815,802.7322746
Vulgaris small,2018,Vulgaris small2018,6/4/2018,6/4/2017,TwoThree,TwoThree,Before,43.39285714,8,24.79591837,2790.765873,911.2704891,2.667750129,3.450554685,70086.92308,1.75,28,40049.67033,0.999300868,5.704855354,1737869.623,1.60E+11,91926.84094,399695.965,783404.0914,2521273.715,954465.5319,106842.5132,14054.40679,1737.869623,47110737758,54747.85815,399.695965
Vulgaris small,2018,Vulgaris small2018,6/8/2018,6/8/2017,ThreeFour,ThreeFour,Before,16.08,12,9.188571429,504.41,164.7053061,2.218600767,1.459395856,69720.76923,1.75,25,39840.43956,0.999372497,2.566751302,640634.2681,32005109345,49958.47231,178899.7187,350643.4486,991277.7167,289990.8195,88390.02978,9622.864446,640.6342681,47110737758,54747.85815,178.8997187
Vulgaris small,2018,Vulgaris small2018,6/13/2018,6/13/2017,FourPupae,FourPupae,Before,10.67857143,17,6.102040816,85.85582011,28.0345535,2.036901904,1.107986219,69263.07692,1.75,28,39578.9011,0.999292552,1.000616837,422646.1224,4799895962,11356.77274,69281.28147,135791.3117,558437.4341,286854.8107,80618.33901,7870.425657,422.6461224,47110737758,54747.85815,69.28128147
Waterfall,2018,Waterfall2018,5/19/2018,5/19/2017,One,One,Before,23.62962963,0,13.5026455,1645.85755,537.4228734,1.991564982,2.787968327,53122.5,1.75,27,30355.71429,0.999110546,4.461451655,717294.2857,56120681491,78239.40969,236898.0403,464320.159,1181614.445,252974.1268,60455.37758,9750.104353,717.2942857,47110737758,54747.85815,236.8980403
Waterfall,2018,Waterfall2018,5/24/2018,5/24/2017,OneTwo,OneTwo,Before,31.8,5,18.17142857,1000.457143,326.6798834,2.85010472,1.870761787,38610,1.75,15,22062.85714,0.999320124,4.666761071,701598.8571,32444072962,46243.05275,180122.3833,353039.8713,1054638.728,348558.9859,62881.45329,7788.927926,701.5988571,47110737758,54747.85815,180.1223833
Waterfall,2018,Waterfall2018,5/28/2018,5/28/2017,Two,Two,Before,71.30769231,9,40.74725275,1035.230769,338.0345369,4.207751509,0.145084198,27000,1.75,13,15428.57143,0.999157407,5.099280016,1100175.824,18939964591,17215.39792,137622.5439,269740.1861,1369916.01,830435.6381,64919.59471,1629.224952,1100.175824,47110737758,54747.85815,137.6225439
Waterfall,2018,Waterfall2018,6/2/2018,6/2/2017,TwoThree,TwoThree,Before,40,14,22.85714286,571.6,186.644898,3.50748358,0.528309043,25825.45455,1.75,11,14757.4026,0.999254611,4.119188997,590296.104,11308253800,19156.91756,106340.2737,208426.9364,798723.0404,381869.1676,51761.3473,3232.925418,590.296104,47110737758,54747.85815,106.3402737
Waterfall,2018,Waterfall2018,6/5/2018,6/5/2017,ThreeFour,ThreeFour,Before,16.27272727,17,9.298701299,54.01818182,17.63858998,2.748379502,0.254546206,25618.18182,1.75,11,14638.96104,0.999248581,1.266297035,238215.8206,1051577601,4414.390274,32428.03727,63558.95306,301774.7736,174656.8675,40233.42045,2226.04529,238.2158206,47110737758,54747.85815,32.42803727
Waterfall,2018,Waterfall2018,6/11/2018,6/11/2017,FourPupae,FourPupae,Before,28.72727273,23,16.41558442,158.6181818,51.79369202,3.309406406,0.186950512,25203.63636,1.75,11,14402.07792,0.999236221,2.169911855,413732.4202,2988675498,7223.691817,54668.77992,107150.8087,520883.2289,306581.6116,47662.32892,1876.835578,413.7324202,47110737758,54747.85815,54.66877992
