Site,Year,SiteYear,Date,Day,Totalpop,lnTotalpop,lnupperSE,lnlowerSE,Type
Vulgaris small,2018,Vulgaris small2018,6/4/2018,6/4/2017,1737869.623,14.36817114,14.57517816,14.1068163,mosquito
Vulgaris small,2018,Vulgaris small2018,6/8/2018,6/8/2017,640634.2681,13.37021557,13.61649115,13.04274544,mosquito
Vulgaris small,2018,Vulgaris small2018,6/13/2018,6/13/2017,422646.1224,12.95429288,13.10608643,12.77525635,mosquito
Waterfall,2018,Waterfall2018,5/19/2018,5/19/2017,717294.2857,13.48324287,13.76862053,13.08236655,mosquito
Waterfall,2018,Waterfall2018,5/24/2018,5/24/2017,701598.8571,13.46111852,13.68963123,13.16441944,mosquito
Waterfall,2018,Waterfall2018,5/28/2018,5/28/2017,1100175.824,13.91098147,14.02884485,13.7773447,mosquito
Waterfall,2018,Waterfall2018,6/2/2018,6/2/2017,590296.104,13.28838126,13.45401886,13.08974892,mosquito
Waterfall,2018,Waterfall2018,6/5/2018,6/5/2017,250082.2511,12.42954915,12.5495628,12.29313332,mosquito
Waterfall,2018,Waterfall2018,6/11/2018,6/11/2017,413732.4202,12.93297713,13.05708047,12.79125492,mosquito
East,2018,East2018,5/27/2018,5/27/2017,0,0,0,0,beetle
East,2018,East2018,6/1/2018,6/1/2017,0,0,0,0,beetle
East,2018,East2018,6/9/2018,6/9/2017,0,0,0,0,beetle
East,2018,East2018,6/14/2018,6/14/2017,9210.807049,9.128241315,9.426083175,8.702141625,beetle
East,2018,East2018,6/17/2018,6/17/2017,8950.040816,9.099525097,9.421775541,8.621117608,beetle
Golf,2018,Golf2018,5/24/2018,5/24/2017,0,0,0,0,beetle
Golf,2018,Golf2018,5/28/2018,5/28/2017,0,0,0,0,beetle
Golf,2018,Golf2018,6/2/2018,6/2/2017,0,0,0,0,beetle
Golf,2018,Golf2018,6/6/2018,6/6/2017,0,0,0,0,beetle
Golf,2018,Golf2018,6/11/2018,6/11/2017,4473.89011,8.406237074,8.829379546,7.65810178,beetle
Ice,2018,Ice2018,5/25/2018,5/25/2017,0,0,0,0,beetle
Ice,2018,Ice2018,5/29/2018,5/29/2017,0,0,0,0,beetle
Ice,2018,Ice2018,6/4/2018,6/4/2017,0,0,0,0,beetle
Ice,2018,Ice2018,6/8/2018,6/8/2017,1379.314803,7.23006687,7.922670516,0.405525545,beetle
Ice,2018,Ice2018,6/12/2018,6/12/2017,11565.05495,9.355829789,9.695179161,8.838258482,beetle
Ice,2018,Ice2018,6/16/2018,6/16/2017,5702.967033,8.648917182,9.104471025,7.788423967,beetle
NoOil,2018,NoOil2018,5/19/2018,5/19/2017,0,0,0,0,beetle
NoOil,2018,NoOil2018,5/24/2018,5/24/2017,0,0,0,0,beetle
NoOil,2018,NoOil2018,5/27/2018,5/27/2017,0,0,0,0,beetle
NoOil,2018,NoOil2018,6/1/2018,6/1/2017,891.6363634,6.79417929,7.486485831,0.405558617,beetle
NoOil,2018,NoOil2018,6/4/2018,6/4/2017,5233.870131,8.563097315,8.930586907,7.97592188,beetle
Oil,2018,Oil2018,5/16/2018,5/16/2017,0,0,0,0,beetle
Oil,2018,Oil2018,5/19/2018,5/19/2017,0,0,0,0,beetle
Oil,2018,Oil2018,5/23/2018,5/23/2017,0,0,0,0,beetle
Oil,2018,Oil2018,5/27/2018,5/27/2017,0,0,0,0,beetle
Oil,2018,Oil2018,6/1/2018,6/1/2017,0,0,0,0,beetle
Oil,2018,Oil2018,6/5/2018,6/5/2017,2915.918367,7.978282984,8.671087249,0.693232943,beetle
Vulgaris,2018,Vulgaris2018,5/21/2018,5/21/2017,0,0,0,0,beetle
Vulgaris,2018,Vulgaris2018,5/25/2018,5/25/2017,0,0,0,0,beetle
Vulgaris,2018,Vulgaris2018,5/29/2018,5/29/2017,0,0,0,0,beetle
Vulgaris,2018,Vulgaris2018,6/4/2018,6/4/2017,0,0,0,0,beetle
Vulgaris,2018,Vulgaris2018,6/8/2018,6/8/2017,117969.8322,11.67819269,11.90441916,11.3853512,beetle
Vulgaris small,2018,Vulgaris small2018,5/25/2018,5/25/2017,0,0,0,0,beetle
Vulgaris small,2018,Vulgaris small2018,5/29/2018,5/29/2017,0,0,0,0,beetle
Vulgaris small,2018,Vulgaris small2018,6/4/2018,6/4/2017,0,0,0,0,beetle
Vulgaris small,2018,Vulgaris small2018,6/8/2018,6/8/2017,0,0,0,0,beetle
Vulgaris small,2018,Vulgaris small2018,6/13/2018,6/13/2017,31097.708,10.34492155,10.51817657,10.13522552,beetle
Waterfall,2018,Waterfall2018,5/19/2018,5/19/2017,0,0,0,0,beetle
Waterfall,2018,Waterfall2018,5/24/2018,5/24/2017,0,0,0,0,beetle
Waterfall,2018,Waterfall2018,5/28/2018,5/28/2017,0,0,0,0,beetle
Waterfall,2018,Waterfall2018,6/2/2018,6/2/2017,0,0,0,0,beetle
Waterfall,2018,Waterfall2018,6/5/2018,6/5/2017,28058.00866,10.24206502,10.39318428,10.06397208,beetle
Waterfall,2018,Waterfall2018,6/11/2018,6/11/2017,10474.23849,9.256769512,9.575093037,8.787052275,beetle
